Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
6.64%,6.64,1,1,4,6.64,NUM,CD,nummod,d.dd,0.0
6.64%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
34.96%,34.96,1,1,5,34.96,NUM,CD,nummod,dd.dd,0.0
34.96%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-11.19%,-11.19,1,1,6,-11.19,PUNCT,NFP,ROOT,-dd.dd,0.0
-11.19%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-88.79%,-88.79,1,1,6,-88.79,PUNCT,NFP,ROOT,-dd.dd,0.0
-88.79%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-30.54%,-30.54,1,1,6,-30.54,NUM,CD,ROOT,-dd.dd,0.0
-30.54%,%,1,1,1,%,INTJ,UH,intj,%,0.0
533.71%,533.71,1,1,6,533.71,NUM,CD,nummod,ddd.dd,0.0
533.71%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
257.78%,257.78,1,1,6,257.78,NUM,CD,nummod,ddd.dd,0.0
257.78%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
111.31%,111.31,1,1,6,111.31,NUM,CD,nummod,ddd.dd,0.0
111.31%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
12.27%,12.27,1,1,5,12.27,NUM,CD,nummod,dd.dd,0.0
12.27%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-35.31%,-35.31,1,1,6,-35.31,NUM,CD,ROOT,-dd.dd,0.0
-35.31%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-29.07%,-29.07,1,1,6,-29.07,PUNCT,.,ROOT,-dd.dd,0.0
-29.07%,%,1,1,1,%,INTJ,UH,intj,%,0.0
81.63%,81.63,1,1,5,81.63,NUM,CD,nummod,dd.dd,0.0
81.63%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
29.84%,29.84,1,1,5,29.84,NUM,CD,nummod,dd.dd,0.0
29.84%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
308.16%,308.16,1,1,6,308.16,NUM,CD,nummod,ddd.dd,0.0
308.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
269.21%,269.21,1,1,6,269.21,NUM,CD,nummod,ddd.dd,0.0
269.21%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-51.55%,-51.55,1,1,6,-51.55,NUM,CD,ROOT,-dd.dd,0.0
-51.55%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-6.40%,-6.40,1,1,5,-6.40,NUM,CD,nummod,-d.dd,0.0
-6.40%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
22.09%,22.09,1,1,5,22.09,NUM,CD,nummod,dd.dd,0.0
22.09%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-77.25%,-77.25,1,1,6,-77.25,NOUN,NN,ROOT,-dd.dd,0.0
-77.25%,%,1,1,1,%,INTJ,UH,intj,%,0.0
26825%,26825,1,1,5,26825,NUM,CD,nummod,dddd,0.0
26825%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-31.58%,-31.58,1,1,6,-31.58,VERB,VBP,ROOT,-dd.dd,0.0
-31.58%,%,1,1,1,%,INTJ,UH,intj,%,0.0
2800%,2800,1,1,4,2800,NUM,CD,nummod,dddd,0.0
2800%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
30.86%,30.86,1,1,5,30.86,NUM,CD,nummod,dd.dd,0.0
30.86%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
374.36%,374.36,1,1,6,374.36,NUM,CD,nummod,ddd.dd,0.0
374.36%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
88.89%,88.89,1,1,5,88.89,NUM,CD,nummod,dd.dd,0.0
88.89%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
41.30%,41.30,1,1,5,41.30,NUM,CD,nummod,dd.dd,0.0
41.30%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
79.01%,79.01,1,1,5,79.01,NUM,CD,nummod,dd.dd,0.0
79.01%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
18.53%,18.53,1,1,5,18.53,NUM,CD,nummod,dd.dd,0.0
18.53%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
376.47%,376.47,1,1,6,376.47,NUM,CD,nummod,ddd.dd,0.0
376.47%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-35.43%,-35.43,1,1,6,-35.43,PUNCT,NFP,ROOT,-dd.dd,0.0
-35.43%,%,1,1,1,%,NOUN,NN,intj,%,0.0
127.15%,127.15,1,1,6,127.15,NUM,CD,nummod,ddd.dd,0.0
127.15%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
243.93%,243.93,1,1,6,243.93,NUM,CD,nummod,ddd.dd,0.0
243.93%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-46.61%,-46.61,1,1,6,-46.61,PUNCT,.,ROOT,-dd.dd,0.0
-46.61%,%,1,1,1,%,INTJ,UH,intj,%,0.0
20.90%,20.90,1,1,5,20.90,NUM,CD,nummod,dd.dd,0.0
20.90%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
15.15%,15.15,1,2,5,15.15,NUM,CD,nummod,dd.dd,0.0
15.15%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-6.28%,-6.28,1,1,5,-6.28,NUM,CD,nummod,-d.dd,0.0
-6.28%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
93.45%,93.45,1,1,5,93.45,NUM,CD,nummod,dd.dd,0.0
93.45%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-70.03%,-70.03,1,1,6,-70.03,NUM,CD,ROOT,-dd.dd,0.0
