Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
www.ycombinator.com,www.ycombinator.com,1,1,19,www.ycombinator.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
ec.europa.eu/easme/en,ec.europa.eu/easme/en,1,1,21,ec.europa.eu/easme/en,X,ADD,ROOT,xx.xxxx.xx/xxxx/xx,0.0
www.nsf.gov/,www.nsf.gov/,1,1,12,www.nsf.gov/,NOUN,NN,ROOT,xxx.xxx.xxx/,0.0
www.techstars.com,www.techstars.com,1,1,17,www.techstars.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
masschallenge.org/,masschallenge.org/,1,1,18,masschallenge.org/,NOUN,NN,ROOT,xxxx.xxx/,0.0
500.co,500.co,1,1,6,500.co,NUM,CD,ROOT,ddd.xx,0.0
sosv.com/,sosv.com/,1,1,9,sosv.com/,PROPN,NNP,ROOT,xxxx.xxx/,0.0
www.nea.com,www.nea.com,1,1,11,www.nea.com,NOUN,NN,ROOT,xxx.xxx.xxx,0.0
www.accel.com,www.accel.com,1,1,13,www.accel.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.sequoiacap.com,www.sequoiacap.com,1,1,18,www.sequoiacap.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.bossainvest.com/,www.bossainvest.com/,1,1,20,www.bossainvest.com/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
www.intelcapital.com/,www.intelcapital.com/,1,1,21,www.intelcapital.com/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
www.plugandplaytechcenter.com/,www.plugandplaytechcenter.com/,1,1,30,www.plugandplaytechcenter.com/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
en.idgcapital.com/,en.idgcapital.com/,1,1,18,en.idgcapital.com/,PROPN,NNP,ROOT,xx.xxxx.xxx/,0.0
www.kleinerperkins.com/,www.kleinerperkins.com/,1,1,23,www.kleinerperkins.com/,VERB,VB,ROOT,xxx.xxxx.xxx/,0.0
www.svangel.com,www.svangel.com,1,1,15,www.svangel.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.a16z.com,www.a16z.com,1,1,12,www.a16z.com,PROPN,NNP,ROOT,xxx.xddx.xxx,0.0
www.venturekick.ch,www.venturekick.ch,1,1,18,www.venturekick.ch,SPACE,_SP,ROOT,xxx.xxxx.xx,0.0
www.bvp.com,www.bvp.com,1,1,11,www.bvp.com,SPACE,_SP,ROOT,xxx.xxx.xxx,0.0
www.av.vc,www.av.vc,1,1,9,www.av.vc,VERB,VB,ROOT,xxx.xx.xx,0.0
rightsidecapital.com/,rightsidecapital.com/,1,1,21,rightsidecapital.com/,PROPN,NNP,ROOT,xxxx.xxx/,0.0
www.wayra.com/,www.wayra.com/,1,1,14,www.wayra.com/,VERB,VB,ROOT,xxx.xxxx.xxx/,0.0
lsvp.com,lsvp.com,1,1,8,lsvp.com,X,ADD,ROOT,xxxx.xxx,0.0
www.advantagecap.com/,www.advantagecap.com/,1,1,21,www.advantagecap.com/,PROPN,NNP,ROOT,xxx.xxxx.xxx/,0.0
www.generalcatalyst.com,www.generalcatalyst.com,1,1,23,www.generalcatalyst.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
tigerglobal.com,tigerglobal.com,1,1,15,tigerglobal.com,X,ADD,ROOT,xxxx.xxx,0.0
www.indexventures.com,www.indexventures.com,1,1,21,www.indexventures.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.khoslaventures.com,www.khoslaventures.com,1,1,22,www.khoslaventures.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
