Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Edward,Edward,1,1,6,Edward,PROPN,NNP,ROOT,Xxxxx,0.0
Atlas,Atlas,1,1,5,Atlas,PROPN,NNP,ROOT,Xxxxx,0.0
Nadav,Nadav,1,1,5,nadav,NOUN,NN,ROOT,Xxxxx,0.0
Balaji,Balaji,1,1,6,Balaji,PROPN,NNP,ROOT,Xxxxx,0.0
Tom,Tom,1,6,3,Tom,PROPN,NNP,ROOT,Xxx,0.0
Kayce,Kayce,1,1,5,kayce,NOUN,NN,ROOT,Xxxxx,0.0
Jon,Jon,1,3,3,Jon,PROPN,NNP,ROOT,Xxx,0.0
Uday Kumar,Uday,2,1,4,Uday,PROPN,NNP,compound,Xxxx,0.0
Uday Kumar,Kumar,2,1,5,Kumar,PROPN,NNP,ROOT,Xxxxx,0.0
Dr. Raphael,Dr.,2,1,3,Dr.,PROPN,NNP,compound,Xx.,0.0
Dr. Raphael,Raphael,2,1,7,Raphael,PROPN,NNP,ROOT,Xxxxx,0.0
Trevor,Trevor,1,1,6,trevor,VERB,VB,ROOT,Xxxxx,0.0
Charlie,Charlie,1,1,7,Charlie,PROPN,NNP,ROOT,Xxxxx,0.0
Ashini,Ashini,1,1,6,Ashini,PROPN,NNP,ROOT,Xxxxx,0.0
Ratul,Ratul,1,1,5,Ratul,NOUN,NNS,ROOT,Xxxxx,0.0
Aman,Aman,1,1,4,aman,NOUN,NN,ROOT,Xxxx,0.0
Lachy,Lachy,1,1,5,lachy,NOUN,NN,ROOT,Xxxxx,0.0
Adam,Adam,1,8,4,Adam,PROPN,NNP,ROOT,Xxxx,0.0
Asish,Asish,1,1,5,asish,ADJ,JJ,ROOT,Xxxxx,0.0
Jawed,Jawed,1,1,5,Jawed,PROPN,NNP,ROOT,Xxxxx,0.0
Jackson,Jackson,1,1,7,Jackson,PROPN,NNP,ROOT,Xxxxx,0.0
Sam,Sam,1,6,3,Sam,PROPN,NNP,ROOT,Xxx,0.0
Ramakant,Ramakant,1,1,8,ramakant,ADJ,JJ,ROOT,Xxxxx,0.0
Didier,Didier,1,1,6,didier,NOUN,NN,ROOT,Xxxxx,0.0
Nitin,Nitin,1,2,5,Nitin,PROPN,NNP,ROOT,Xxxxx,0.0
Alexis,Alexis,1,2,6,alexis,VERB,VB,ROOT,Xxxxx,0.0
Shantanu,Shantanu,1,1,8,Shantanu,NOUN,NNS,ROOT,Xxxxx,0.0
Shawn,Shawn,1,1,5,shawn,NOUN,NN,ROOT,Xxxxx,0.0
Topp Jirayut,Topp,2,1,4,Topp,PROPN,NNP,compound,Xxxx,0.0
Topp Jirayut,Jirayut,2,1,7,Jirayut,PROPN,NNP,ROOT,Xxxxx,0.0
Kunal,Kunal,1,2,5,Kunal,PROPN,NNP,ROOT,Xxxxx,0.0
Ullas,Ullas,1,1,5,Ullas,PROPN,NNP,ROOT,Xxxxx,0.0
Raj,Raj,1,3,3,raj,ADV,RB,ROOT,Xxx,0.0
Chris,Chris,1,7,5,Chris,PROPN,NNP,ROOT,Xxxxx,0.0
Anndy,Anndy,1,1,5,Anndy,PROPN,NNP,ROOT,Xxxxx,0.0
Piero,Piero,1,1,5,piero,NOUN,NN,ROOT,Xxxxx,0.0
Sushil,Sushil,1,1,6,sushil,NOUN,NN,ROOT,Xxxxx,0.0
Kevin,Kevin,1,9,5,Kevin,PROPN,NNP,ROOT,Xxxxx,0.0
Rajat,Rajat,1,1,5,Rajat,PROPN,NNP,ROOT,Xxxxx,0.0
Aron,Aron,1,1,4,Aron,NOUN,NNS,ROOT,Xxxx,0.0
Serena,Serena,1,1,6,serena,NOUN,NN,ROOT,Xxxxx,0.0
Bill,Bill,1,6,4,bill,NOUN,NN,ROOT,Xxxx,0.0
Scott,Scott,1,2,5,Scott,PROPN,NNP,ROOT,Xxxxx,0.0
Justin,Justin,1,1,6,Justin,PROPN,NNP,ROOT,Xxxxx,0.0
Bo,Bo,1,1,2,Bo,PROPN,NNP,ROOT,Xx,0.0
Jack,Jack,1,2,4,Jack,PROPN,NNP,ROOT,Xxxx,0.0
Niraj,Niraj,1,1,5,Niraj,PROPN,NNP,ROOT,Xxxxx,0.0
Peyush,Peyush,1,1,6,peyush,ADJ,JJ,ROOT,Xxxxx,0.0
Grant,Grant,1,2,5,grant,VERB,VB,ROOT,Xxxxx,0.0
Jaynti,Jaynti,1,1,6,jaynti,NOUN,NN,ROOT,Xxxxx,0.0
Amit,Amit,1,2,4,amit,VERB,VB,ROOT,Xxxx,0.0
Meltem,Meltem,1,1,6,Meltem,PROPN,NNP,ROOT,Xxxxx,0.0
Jonathan,Jonathan,1,2,8,Jonathan,PROPN,NNP,ROOT,Xxxxx,0.0
David,David,1,13,5,David,PROPN,NNP,ROOT,Xxxxx,0.0
Amir,Amir,1,2,4,Amir,PROPN,NNP,ROOT,Xxxx,0.0
Shane,Shane,1,1,5,shane,NOUN,NN,ROOT,Xxxxx,0.0
Varun,Varun,1,2,5,varun,NOUN,NN,ROOT,Xxxxx,0.0
George,George,1,3,6,George,PROPN,NNP,ROOT,Xxxxx,0.0
Bocoran jitu angka HK 6 juni 2022,Bocoran,7,1,7,bocoran,ADJ,JJ,amod,Xxxxx,0.0
Bocoran jitu angka HK 6 juni 2022,jitu,7,1,4,jitu,NOUN,NN,nsubj,xxxx,0.0
Bocoran jitu angka HK 6 juni 2022,angka,7,1,5,angka,VERB,VBD,ROOT,xxxx,0.0
Bocoran jitu angka HK 6 juni 2022,HK,7,1,2,HK,PROPN,NNP,nmod,XX,0.0
Bocoran jitu angka HK 6 juni 2022,6,7,1,1,6,NUM,CD,nummod,d,0.0
Bocoran jitu angka HK 6 juni 2022,juni,7,1,4,juni,NOUN,NN,dobj,xxxx,0.0
Bocoran jitu angka HK 6 juni 2022,2022,7,1,4,2022,NUM,CD,npadvmod,dddd,0.0
Stani,Stani,1,1,5,Stani,PROPN,NNP,ROOT,Xxxxx,0.0
Andrew,Andrew,1,6,6,Andrew,PROPN,NNP,ROOT,Xxxxx,0.0
Binny,Binny,1,1,5,Binny,PROPN,NNP,ROOT,Xxxxx,0.0
Marco,Marco,1,2,5,Marco,PROPN,NNP,ROOT,Xxxxx,0.0
Gustavo,Gustavo,1,1,7,Gustavo,PROPN,NNP,ROOT,Xxxxx,0.0
Ignacio,Ignacio,1,1,7,Ignacio,PROPN,NNP,ROOT,Xxxxx,0.0
Rene,Rene,1,1,4,rene,NOUN,NN,ROOT,Xxxx,0.0
Devang,Devang,1,1,6,Devang,PROPN,NNP,ROOT,Xxxxx,0.0
Jerry,Jerry,1,1,5,Jerry,PROPN,NNP,ROOT,Xxxxx,0.0
Ihar,Ihar,1,1,4,Ihar,PROPN,NNP,ROOT,Xxxx,0.0
Trine Marie,Trine,2,1,5,Trine,PROPN,NNP,compound,Xxxxx,0.0
Trine Marie,Marie,2,1,5,Marie,PROPN,NNP,ROOT,Xxxxx,0.0
Glenn,Glenn,1,1,5,Glenn,PROPN,NNP,ROOT,Xxxxx,0.0
prediksi togel hk hari ini 2022,prediksi,6,1,8,prediksi,PROPN,NNP,compound,xxxx,0.0
prediksi togel hk hari ini 2022,togel,6,1,5,togel,PROPN,NNP,compound,xxxx,0.0
prediksi togel hk hari ini 2022,hk,6,1,2,hk,PROPN,NNP,compound,xx,0.0
prediksi togel hk hari ini 2022,hari,6,1,4,hari,PROPN,NNP,compound,xxxx,0.0
prediksi togel hk hari ini 2022,ini,6,1,3,ini,PROPN,NNP,ROOT,xxx,0.0
prediksi togel hk hari ini 2022,2022,6,1,4,2022,NUM,CD,nummod,dddd,0.0
Sebastien,Sebastien,1,1,9,sebastien,NOUN,NN,ROOT,Xxxxx,0.0
Mustafa,Mustafa,1,1,7,Mustafa,PROPN,NNP,ROOT,Xxxxx,0.0
Natalie,Natalie,1,1,7,Natalie,PROPN,NNP,ROOT,Xxxxx,0.0
