Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Edward Lando,Edward,2,1,6,Edward,PROPN,NNP,compound,Xxxxx,0.0
Edward Lando,Lando,2,1,5,Lando,PROPN,NNP,ROOT,Xxxxx,0.0
Atlas Benjelloun,Atlas,2,1,5,Atlas,PROPN,NNP,compound,Xxxxx,0.0
Atlas Benjelloun,Benjelloun,2,1,10,Benjelloun,PROPN,NNP,ROOT,Xxxxx,0.0
Nadav Ben-Chanoch,Nadav,2,1,5,Nadav,PROPN,NNP,compound,Xxxxx,0.0
Nadav Ben-Chanoch,Ben,2,1,3,Ben,PROPN,NNP,compound,Xxx,0.0
Nadav Ben-Chanoch,-,2,1,1,-,PROPN,NNP,punct,-,0.0
Nadav Ben-Chanoch,Chanoch,2,1,7,Chanoch,PROPN,NNP,ROOT,Xxxxx,0.0
Balaji Srinivasan,Balaji,2,1,6,Balaji,PROPN,NNP,compound,Xxxxx,0.0
Balaji Srinivasan,Srinivasan,2,1,10,Srinivasan,PROPN,NNP,ROOT,Xxxxx,0.0
Tom Williams,Tom,2,1,3,Tom,PROPN,NNP,compound,Xxx,0.0
Tom Williams,Williams,2,1,8,Williams,PROPN,NNP,ROOT,Xxxxx,0.0
Kayce Brown,Kayce,2,1,5,Kayce,PROPN,NNP,compound,Xxxxx,0.0
Kayce Brown,Brown,2,1,5,Brown,PROPN,NNP,ROOT,Xxxxx,0.0
Jon Oringer,Jon,2,1,3,Jon,PROPN,NNP,compound,Xxx,0.0
Jon Oringer,Oringer,2,1,7,Oringer,PROPN,NNP,ROOT,Xxxxx,0.0
Uday Kumar Bangalore Shivaraman,Uday,4,1,4,Uday,PROPN,NNP,compound,Xxxx,0.0
Uday Kumar Bangalore Shivaraman,Kumar,4,1,5,Kumar,PROPN,NNP,compound,Xxxxx,0.0
Uday Kumar Bangalore Shivaraman,Bangalore,4,1,9,Bangalore,PROPN,NNP,compound,Xxxxx,0.0
Uday Kumar Bangalore Shivaraman,Shivaraman,4,1,10,Shivaraman,PROPN,NNP,ROOT,Xxxxx,0.0
Dr. Raphael Nagel,Dr.,3,1,3,Dr.,PROPN,NNP,compound,Xx.,0.0
Dr. Raphael Nagel,Raphael,3,1,7,Raphael,PROPN,NNP,compound,Xxxxx,0.0
Dr. Raphael Nagel,Nagel,3,1,5,Nagel,PROPN,NNP,ROOT,Xxxxx,0.0
Trevor Wright,Trevor,2,1,6,Trevor,PROPN,NNP,compound,Xxxxx,0.0
Trevor Wright,Wright,2,1,6,Wright,PROPN,NNP,ROOT,Xxxxx,0.0
Charlie Songhurst,Charlie,2,1,7,Charlie,PROPN,NNP,compound,Xxxxx,0.0
Charlie Songhurst,Songhurst,2,1,9,Songhurst,PROPN,NNP,ROOT,Xxxxx,0.0
Ashini Gogoi,Ashini,2,1,6,Ashini,PROPN,NNP,compound,Xxxxx,0.0
Ashini Gogoi,Gogoi,2,1,5,Gogoi,PROPN,NNP,ROOT,Xxxxx,0.0
Ratul Puri,Ratul,2,1,5,Ratul,PROPN,NNP,compound,Xxxxx,0.0
Ratul Puri,Puri,2,1,4,Puri,PROPN,NNP,ROOT,Xxxx,0.0
Aman Gupta,Aman,2,1,4,Aman,PROPN,NNP,compound,Xxxx,0.0
Aman Gupta,Gupta,2,1,5,Gupta,PROPN,NNP,ROOT,Xxxxx,0.0
Lachy Groom,Lachy,2,1,5,Lachy,PROPN,NNP,compound,Xxxxx,0.0
Lachy Groom,Groom,2,1,5,Groom,PROPN,NNP,ROOT,Xxxxx,0.0
Adam Neumann,Adam,2,1,4,Adam,PROPN,NNP,compound,Xxxx,0.0
