Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Lando,Lando,1,1,5,lando,NOUN,NN,ROOT,Xxxxx,0.0
Benjelloun,Benjelloun,1,1,10,Benjelloun,PROPN,NNP,ROOT,Xxxxx,0.0
Ben-Chanoch,Ben,1,1,3,Ben,PROPN,NNP,compound,Xxx,0.0
Ben-Chanoch,-,1,1,1,-,PROPN,NNP,punct,-,0.0
Ben-Chanoch,Chanoch,1,1,7,Chanoch,PROPN,NNP,ROOT,Xxxxx,0.0
Srinivasan,Srinivasan,1,1,10,srinivasan,NOUN,NN,ROOT,Xxxxx,0.0
Williams,Williams,1,4,8,Williams,PROPN,NNP,ROOT,Xxxxx,0.0
Brown,Brown,1,2,5,Brown,PROPN,NNP,ROOT,Xxxxx,0.0
Oringer,Oringer,1,1,7,Oringer,VERB,VBG,ROOT,Xxxxx,0.0
Bangalore Shivaraman,Bangalore,2,1,9,Bangalore,PROPN,NNP,compound,Xxxxx,0.0
Bangalore Shivaraman,Shivaraman,2,1,10,Shivaraman,PROPN,NNP,ROOT,Xxxxx,0.0
Nagel,Nagel,1,1,5,nagel,NOUN,NN,ROOT,Xxxxx,0.0
Wright,Wright,1,1,6,wright,NOUN,NN,ROOT,Xxxxx,0.0
Songhurst,Songhurst,1,1,9,songhurst,ADV,RB,ROOT,Xxxxx,0.0
Gogoi,Gogoi,1,1,5,Gogoi,PROPN,NNP,ROOT,Xxxxx,0.0
Puri,Puri,1,3,4,Puri,PROPN,NNP,ROOT,Xxxx,0.0
Gupta,Gupta,1,9,5,Gupta,NOUN,NNS,ROOT,Xxxxx,0.0
Groom,Groom,1,1,5,groom,NOUN,NN,ROOT,Xxxxx,0.0
Neumann,Neumann,1,1,7,Neumann,PROPN,NNP,ROOT,Xxxxx,0.0
Mohapatra,Mohapatra,1,1,9,Mohapatra,PROPN,NNP,ROOT,Xxxxx,0.0
Karim,Karim,1,1,5,Karim,PROPN,NNP,ROOT,Xxxxx,0.0
Moses,Moses,1,1,5,Moses,PROPN,NNP,ROOT,Xxxxx,0.0
Altman,Altman,1,3,6,altman,NOUN,NN,ROOT,Xxxxx,0.0
Sharma,Sharma,1,6,6,Sharma,PROPN,NNP,ROOT,Xxxxx,0.0
Valet,Valet,1,1,5,valet,NOUN,NN,ROOT,Xxxxx,0.0
Barreyat,Barreyat,1,1,8,barreyat,X,FW,ROOT,Xxxxx,0.0
Deshpande,Deshpande,1,1,9,deshpande,VERB,VB,ROOT,Xxxxx,0.0
Boday,Boday,1,1,5,Boday,PROPN,NNP,ROOT,Xxxxx,0.0
Srupsrisopa,Srupsrisopa,1,1,11,Srupsrisopa,PROPN,NNP,ROOT,Xxxxx,0.0
Shah,Shah,1,4,4,shah,NOUN,NN,ROOT,Xxxx,0.0
Naik,Naik,1,1,4,naik,NOUN,NN,ROOT,Xxxx,0.0
Chowdhury,Chowdhury,1,1,9,Chowdhury,PROPN,NNP,ROOT,Xxxxx,0.0
Schagen,Schagen,1,1,7,Schagen,PROPN,NNP,ROOT,Xxxxx,0.0
Lian,Lian,1,1,4,Lian,PROPN,NNP,ROOT,Xxxx,0.0
Montelli,Montelli,1,1,8,Montelli,PROPN,NNP,ROOT,Xxxxx,0.0
Lin,Lin,1,1,3,Lin,PROPN,NNP,ROOT,Xxx,0.0
Khare,Khare,1,1,5,Khare,PROPN,NNP,ROOT,Xxxxx,0.0
Govil,Govil,1,1,5,govil,ADJ,JJ,ROOT,Xxxxx,0.0
Schantz,Schantz,1,2,7,Schantz,PROPN,NNP,ROOT,Xxxxx,0.0
Belsky,Belsky,1,1,6,Belsky,PROPN,NNP,ROOT,Xxxxx,0.0
Kan,Kan,1,1,3,Kan,PROPN,NNP,ROOT,Xxx,0.0
Polny,Polny,1,1,5,polny,NOUN,NN,ROOT,Xxxxx,0.0
