Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Miami Beach, Florida, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Miami, Florida, United States",[],0,[],0,[],0
"San Francisco Bay Area, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Atlanta, Georgia, United States",[],0,[],0,[],0
"Miami, Florida, United States",[],0,[],0,[],0
"Bengaluru, Karnataka, India",[],0,[],0,[],0
"Dubai, Dubai, United Arab Emirates",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Greater Seattle Area, Washington, United States",[],0,[],0,[],0
"Sibsagar, Assam, India",[],0,[],0,[],0
"Delhi, New York, United States",[],0,[],0,[],0
"New Delhi, Delhi, India",[],0,[],0,[],0
"San Francisco Bay Area, California, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Gurgaon, Haryana, India",[],0,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"Denver, Colorado, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Bengaluru, Karnataka, India",[],0,[],0,[],0
"Paris, Ile-de-France, France","[de, -]",2,[],0,[],0
"Bengaluru, Karnataka, India",[],0,[],0,[],0
"Paris, Ile-de-France, France","[de, -]",2,[],0,[],0
"Gurgaon, Haryana, India",[],0,[],0,[],0
"Bangkok, Krung Thep, Thailand",[],0,[],0,[],0
"Bengaluru, Karnataka, India",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Palo Alto, California, United States",[],0,[],0,[],0
"Berlin, Berlin, Germany",[],0,[],0,[],0
"Singapore, Asia",[],0,[],0,[],0
"Formosa, Argentina, South America",[],0,[],0,[],0
"Jodhpur, Rajasthan, India",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Luxembourg, Europe",[],0,[],0,[],0
"Jacksonville, Florida, United States",[],0,[],0,[],0
"Palm Beach Gardens, Florida, United States",[],0,[],0,[],0
"New Jersey, United States, North America",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Newport Beach, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"New Delhi, Delhi, India",[],0,[],0,[],0
"Delhi, India, Asia",[],0,[],0,[],0
"Sydney, New South Wales, Australia",[],0,[],0,[],0
"Miami, Florida, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Bengaluru, Karnataka, India",[],0,[],0,[],0
"Delhi, Delhi, India",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Miami Beach, Florida, United States",[],0,[],0,[],0
"Miami, Florida, United States",[],0,[],0,[],0
"Laguna Beach, California, United States",[],0,[],0,[],0
"Miami, Florida, United States",[],0,[],0,[],0
"Gurgaon, Haryana, India",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Como, Lombardia, Italy",[],0,[],0,[],0
"Cyprus, Europe",[],0,[],0,[],0
"Bengaluru, Karnataka, India",[],0,[],0,[],0
"Zürich, Zurich, Switzerland",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Buenos Aires, Distrito Federal, Argentina",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Seattle, Washington, United States",[],0,[],0,[],0
"Oakland, California, United States",[],0,[],0,[],0
"Tokyo, Tokyo, Japan",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Copenhagen, Hovedstaden, Denmark",[],0,[],0,[],0
"Greater Seattle Area, Washington, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"London, England, United Kingdom",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Manchester, Manchester, United Kingdom",[],0,[],0,[],0
"London, England, United Kingdom",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
"Washington, District of Columbia, United States",[],0,[],0,[],0
"Gurgaon, Haryana, India",[],0,[],0,[],0
"San Francisco, California, United States",[],0,[],0,[],0
