Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Pareto Holdings,Pareto,2,3,6,Pareto,PROPN,NNP,compound,Xxxxx,0.0
Pareto Holdings,Holdings,2,3,8,Holdings,PROPN,NNPS,ROOT,Xxxxx,0.0
Stanford University,Stanford,2,1,8,Stanford,PROPN,NNP,compound,Xxxxx,0.0
Stanford University,University,2,1,10,University,PROPN,NNP,ROOT,Xxxxx,0.0
The Abrahamic Business Circle,The,4,1,3,the,DET,DT,det,Xxx,0.0
The Abrahamic Business Circle,Abrahamic,4,1,9,Abrahamic,PROPN,NNP,compound,Xxxxx,0.0
The Abrahamic Business Circle,Business,4,1,8,Business,PROPN,NNP,compound,Xxxxx,0.0
The Abrahamic Business Circle,Circle,4,1,6,Circle,PROPN,NNP,ROOT,Xxxxx,0.0
Bear Robotics,Bear,2,1,4,Bear,PROPN,NNP,compound,Xxxx,0.0
Bear Robotics,Robotics,2,1,8,Robotics,PROPN,NNPS,ROOT,Xxxxx,0.0
THE ALPHS,THE,2,1,3,the,DET,DT,det,XXX,0.0
THE ALPHS,ALPHS,2,1,5,alph,NOUN,NNS,ROOT,XXXX,0.0
Hindustan PowerProjects Pvt. Ltd.,Hindustan,4,1,9,Hindustan,PROPN,NNP,compound,Xxxxx,0.0
Hindustan PowerProjects Pvt. Ltd.,PowerProjects,4,1,13,PowerProjects,PROPN,NNP,compound,XxxxxXxxxx,0.0
Hindustan PowerProjects Pvt. Ltd.,Pvt,4,1,3,Pvt,PROPN,NNP,poss,Xxx,0.0
Hindustan PowerProjects Pvt. Ltd.,.,4,1,1,.,PUNCT,.,punct,.,0.0
Hindustan PowerProjects Pvt. Ltd.,Ltd.,4,1,4,Ltd.,PROPN,NNP,ROOT,Xxx.,0.0
boAt,boAt,1,2,4,boat,NOUN,NN,ROOT,xxXx,0.0
166 2nd Financial Services,166,4,1,3,166,NUM,CD,nummod,ddd,0.0
166 2nd Financial Services,2nd,4,1,3,2nd,PROPN,NNP,compound,dxx,0.0
166 2nd Financial Services,Financial,4,1,9,Financial,PROPN,NNP,compound,Xxxxx,0.0
166 2nd Financial Services,Services,4,1,8,Services,PROPN,NNPS,ROOT,Xxxxx,0.0
OfBusiness,OfBusiness,1,2,10,ofbusiness,NOUN,NN,ROOT,XxXxxxx,0.0
MainStreet,MainStreet,1,1,10,MainStreet,NOUN,NNS,ROOT,XxxxXxxxx,0.0
OpenAI,OpenAI,1,1,6,openai,VERB,VB,ROOT,XxxxXX,0.0
Livspace,Livspace,1,2,8,livspace,NOUN,NN,ROOT,Xxxxx,0.0
Uni Cards,Uni,2,1,3,Uni,PROPN,NNP,compound,Xxx,0.0
Uni Cards,Cards,2,1,5,Cards,PROPN,NNP,ROOT,Xxxxx,0.0
BeReal.,BeReal,1,1,6,BeReal,PROPN,NNP,ROOT,XxXxxx,0.0
BeReal.,.,1,1,1,.,PUNCT,.,punct,.,0.0
Bombay Shaving Company,Bombay,3,1,6,Bombay,PROPN,NNP,compound,Xxxxx,0.0
Bombay Shaving Company,Shaving,3,1,7,Shaving,PROPN,NNP,compound,Xxxxx,0.0
Bombay Shaving Company,Company,3,1,7,Company,PROPN,NNP,ROOT,Xxxxx,0.0
Perday,Perday,1,1,6,Perday,PROPN,NNP,ROOT,Xxxxx,0.0
Bitkub Capital Group Holdings,Bitkub,4,1,6,Bitkub,PROPN,NNP,compound,Xxxxx,0.0
Bitkub Capital Group Holdings,Capital,4,1,7,Capital,PROPN,NNP,compound,Xxxxx,0.0
Bitkub Capital Group Holdings,Group,4,1,5,Group,PROPN,NNP,compound,Xxxxx,0.0
Bitkub Capital Group Holdings,Holdings,4,1,8,Holdings,PROPN,NNPS,ROOT,Xxxxx,0.0
CRED,CRED,1,2,4,cred,ADV,RB,ROOT,XXXX,0.0
Streamlined Ventures,Streamlined,2,1,11,streamlined,ADJ,JJ,amod,Xxxxx,0.0
Streamlined Ventures,Ventures,2,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
HashCash Consultants,HashCash,2,1,8,HashCash,PROPN,NNP,compound,XxxxXxxx,0.0
HashCash Consultants,Consultants,2,1,11,consultant,NOUN,NNS,ROOT,Xxxxx,0.0
Marwari Catalysts,Marwari,2,1,7,Marwari,PROPN,NNP,compound,Xxxxx,0.0
Marwari Catalysts,Catalysts,2,1,9,Catalysts,PROPN,NNPS,ROOT,Xxxxx,0.0
Twitch,Twitch,1,2,6,twitch,VERB,VB,ROOT,Xxxxx,0.0
Serena Williams Foundation,Serena,3,1,6,Serena,PROPN,NNP,compound,Xxxxx,0.0
Serena Williams Foundation,Williams,3,1,8,Williams,PROPN,NNP,compound,Xxxxx,0.0
Serena Williams Foundation,Foundation,3,1,10,Foundation,PROPN,NNP,ROOT,Xxxxx,0.0
Adobe,Adobe,1,1,5,adobe,NOUN,NN,ROOT,Xxxxx,0.0
Fractal,Fractal,1,1,7,fractal,NOUN,NN,ROOT,Xxxxx,0.0
Lattice,Lattice,1,1,7,lattice,NOUN,NN,ROOT,Xxxxx,0.0
Spinny,Spinny,1,1,6,spinny,ADJ,JJ,ROOT,Xxxxx,0.0
Valyoo Technologies,Valyoo,2,1,6,Valyoo,PROPN,NNP,compound,Xxxxx,0.0
Valyoo Technologies,Technologies,2,1,12,Technologies,PROPN,NNPS,ROOT,Xxxxx,0.0
CP Ventures,CP,2,2,2,CP,PROPN,NNP,compound,XX,0.0
CP Ventures,Ventures,2,2,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
Cardone Capital,Cardone,2,1,7,Cardone,PROPN,NNP,compound,Xxxxx,0.0
Cardone Capital,Capital,2,1,7,capital,NOUN,NN,ROOT,Xxxxx,0.0
Seven Seven Six,Seven,3,1,5,seven,NUM,CD,compound,Xxxxx,0.0
Seven Seven Six,Six,3,1,3,six,NUM,CD,ROOT,Xxx,0.0
Polygon,Polygon,1,1,7,Polygon,PROPN,NNP,ROOT,Xxxxx,0.0
Park+,Park+,1,1,5,park+,SPACE,_SP,ROOT,Xxxx+,0.0
CoinShares,CoinShares,1,1,10,coinshare,NOUN,NNS,ROOT,XxxxXxxxx,0.0
Bocazon.com,Bocazon.com,1,1,11,Bocazon.com,PROPN,NNP,ROOT,Xxxxx.xxx,0.0
AudioEye,AudioEye,1,1,8,AudioEye,NOUN,NNS,ROOT,XxxxxXxx,0.0
Identiv,Identiv,1,1,7,identiv,NOUN,NN,ROOT,Xxxxx,0.0
Mamaearth,Mamaearth,1,1,9,mamaearth,VERB,VB,ROOT,Xxxxx,0.0
FounderPool,FounderPool,1,1,11,founderpool,NOUN,NN,ROOT,XxxxxXxxx,0.0
