Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Wharton School of the University of Pennsylvania,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Indian Institute of Management Bangalore,[],0,[],0,[],0
Frankfurt School of Finance &amp; Management,[Management],1,[],0,[],0
Boston College,[],0,[],0,[],0
University of Oxford,[],0,[],0,[],0
"National Institute of Technology, Silchar",[],0,[],0,[],0
Carnegie Mellon University,[],0,[],0,[],0
Finance Department - Kellogg School of Management,[],0,[],0,[],0
Baruch College,[],0,[],0,[Baruch],1
Indian Institute of Technology Kharagpur,[],0,[],0,[],0
University of Illinois Urbana-Champaign,[],0,[],0,[],0
Palo Alto High School,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Indian Institute of Technology Kanpur,[],0,[],0,[],0
Ecole Polytechnique,[],0,[],0,[],0
Indian Institute of Management (IIM) Ahmedabad,[],0,[],0,[],0
Indian Institute of Management Lucknow,[],0,[],0,[],0
University of Washington,[],0,[],0,[],0
University of Manchester,[],0,[],0,[],0
Narsee Monjee Institute of Management Studies,[],0,[],0,[],0
Bentley University,[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Edith Cowan University,[],0,[],0,[],0
Andrés Bello Catholic University,[],0,[],0,[],0
Yale University,[],0,[],0,[],0
Villanova University,[],0,[],0,[],0
Cornell University,[],0,[],0,[],0
Yale University,[],0,[],0,[],0
Princeton University,[],0,[],0,[],0
McGill University,[],0,[],0,[],0
Grant Cardone Sales Training University,[],0,[],0,[],0
University of Virginia,[],0,[],0,[],0
Indian Institute of Management (IIM) Ahmedabad,[],0,[],0,[],0
MIT - Sloan School of Management,[],0,[],0,[],0
Northeastern University School of Law,[],0,[],0,[],0
"University of California, Los Angeles",[],0,[],0,[],0
"California State University, Fullerton",[],0,[],0,[],0
New York University,[],0,[],0,[],0
XLRI- Xavier School of Management,[],0,[],0,[],0
New Jersey Institute of Technology,[],0,[],0,[],0
Indian Institute of Technology Delhi,[],0,[],0,[],0
"UC Berkeley, Haas Business School",[],0,[],0,[],0
IMD,[],0,[],0,[],0
Pontifical Catholic University of Argentina,[],0,[],0,[],0
Korea University,[],0,[],0,[],0
Columbia University,[],0,[],0,[],0
The University of Texas at Austin,[],0,[],0,[],0
HEC Paris,[],0,[],0,[],0
Belarusian State University,[],0,[],0,[],0
University of California Berkeley,[],0,[],0,[],0
