Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
60.11%,60.11,1,1,5,60.11,NUM,CD,nummod,dd.dd,0.0
60.11%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
43.21%,43.21,1,1,5,43.21,NUM,CD,nummod,dd.dd,0.0
43.21%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
86.11%,86.11,1,1,5,86.11,NUM,CD,nummod,dd.dd,0.0
86.11%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
54.96%,54.96,1,1,5,54.96,NUM,CD,nummod,dd.dd,0.0
54.96%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
57.48%,57.48,1,2,5,57.48,NUM,CD,nummod,dd.dd,0.0
57.48%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
71.26%,71.26,1,1,5,71.26,NUM,CD,nummod,dd.dd,0.0
71.26%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
42.27%,42.27,1,1,5,42.27,NUM,CD,nummod,dd.dd,0.0
42.27%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
57.63%,57.63,1,1,5,57.63,NUM,CD,nummod,dd.dd,0.0
57.63%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
56.24%,56.24,1,1,5,56.24,NUM,CD,nummod,dd.dd,0.0
56.24%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
54.68%,54.68,1,1,5,54.68,NUM,CD,nummod,dd.dd,0.0
54.68%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
52.99%,52.99,1,2,5,52.99,NUM,CD,nummod,dd.dd,0.0
52.99%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
66.51%,66.51,1,1,5,66.51,NUM,CD,nummod,dd.dd,0.0
66.51%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
53.08%,53.08,1,1,5,53.08,NUM,CD,nummod,dd.dd,0.0
53.08%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
54.74%,54.74,1,1,5,54.74,NUM,CD,nummod,dd.dd,0.0
54.74%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
53.05%,53.05,1,1,5,53.05,NUM,CD,nummod,dd.dd,0.0
53.05%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
