Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
-0.23%,-0.23,1,1,5,-0.23,NUM,CD,nummod,-d.dd,0.0
-0.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.70%,0.70,1,2,4,0.70,NUM,CD,nummod,d.dd,0.0
0.70%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
73.85%,73.85,1,1,5,73.85,NUM,CD,nummod,dd.dd,0.0
73.85%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.63%,2.63,1,1,4,2.63,NUM,CD,nummod,d.dd,0.0
2.63%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
3.38%,3.38,1,1,4,3.38,NUM,CD,nummod,d.dd,0.0
3.38%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.96%,0.96,1,1,4,0.96,NUM,CD,nummod,d.dd,0.0
0.96%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-18.82%,-18.82,1,1,6,-18.82,PUNCT,NFP,ROOT,-dd.dd,0.0
-18.82%,%,1,1,1,%,NOUN,NN,intj,%,0.0
0.09%,0.09,1,1,4,0.09,NUM,CD,nummod,d.dd,0.0
0.09%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-0.50%,-0.50,1,1,5,-0.50,NUM,CD,nummod,-d.dd,0.0
-0.50%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.38%,-3.38,1,2,5,-3.38,NUM,CD,nummod,-d.dd,0.0
-3.38%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-3.88%,-3.88,1,2,5,-3.88,NUM,CD,nummod,-d.dd,0.0
-3.88%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
3.36%,3.36,1,1,4,3.36,NUM,CD,nummod,d.dd,0.0
3.36%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.03%,-3.03,1,2,5,-3.03,NUM,CD,nummod,-d.dd,0.0
-3.03%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-16.06%,-16.06,1,1,6,-16.06,PUNCT,``,ROOT,-dd.dd,0.0
-16.06%,%,1,1,1,%,NOUN,NN,punct,%,0.0
3.67%,3.67,1,1,4,3.67,NUM,CD,nummod,d.dd,0.0
3.67%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-26.70%,-26.70,1,1,6,-26.70,NUM,CD,ROOT,-dd.dd,0.0
-26.70%,%,1,1,1,%,INTJ,UH,intj,%,0.0
14.81%,14.81,1,2,5,14.81,NUM,CD,nummod,dd.dd,0.0
14.81%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-11.69%,-11.69,1,1,6,-11.69,PROPN,NNP,ROOT,-dd.dd,0.0
-11.69%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-22.46%,-22.46,1,1,6,-22.46,PUNCT,.,ROOT,-dd.dd,0.0
-22.46%,%,1,1,1,%,NOUN,NN,intj,%,0.0
13.43%,13.43,1,1,5,13.43,NUM,CD,nummod,dd.dd,0.0
13.43%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.35%,0.35,1,1,4,0.35,NUM,CD,nummod,d.dd,0.0
0.35%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-0.36%,-0.36,1,2,5,-0.36,NUM,CD,nummod,-d.dd,0.0
-0.36%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
7.13%,7.13,1,1,4,7.13,NUM,CD,nummod,d.dd,0.0
7.13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
7.73%,7.73,1,2,4,7.73,NUM,CD,nummod,d.dd,0.0
7.73%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-0.30%,-0.30,1,1,5,-0.30,NUM,CD,nummod,-d.dd,0.0
-0.30%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.75%,2.75,1,1,4,2.75,NUM,CD,nummod,d.dd,0.0
2.75%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
5.91%,5.91,1,1,4,5.91,NUM,CD,nummod,d.dd,0.0
5.91%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
6.69%,6.69,1,1,4,6.69,NUM,CD,nummod,d.dd,0.0
6.69%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
15.63%,15.63,1,2,5,15.63,NUM,CD,nummod,dd.dd,0.0
15.63%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-12.25%,-12.25,1,1,6,-12.25,NUM,CD,ROOT,-dd.dd,0.0
-12.25%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-13.10%,-13.10,1,1,6,-13.10,NUM,CD,ROOT,-dd.dd,0.0
-13.10%,%,1,1,1,%,NOUN,NN,intj,%,0.0
57.93%,57.93,1,1,5,57.93,NUM,CD,nummod,dd.dd,0.0
57.93%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
10.41%,10.41,1,1,5,10.41,NUM,CD,nummod,dd.dd,0.0
10.41%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
1.70%,1.70,1,1,4,1.70,NUM,CD,nummod,d.dd,0.0
1.70%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-9.14%,-9.14,1,1,5,-9.14,NUM,CD,nummod,-d.dd,0.0
-9.14%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
14.68%,14.68,1,1,5,14.68,NUM,CD,nummod,dd.dd,0.0
14.68%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
