Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
cs@flipkart.com,cs@flipkart.com,1,1,15,cs@flipkart.com,X,ADD,ROOT,xx@xxxx.xxx,0.0
ventures@latitud.com,ventures@latitud.com,1,1,20,ventures@latitud.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
admissions@mit.edu,admissions@mit.edu,1,1,18,admissions@mit.edu,INTJ,UH,ROOT,xxxx@xxx.xxx,0.0
help@nexford.org,help@nexford.org,1,1,16,help@nexford.org,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
umsocial@umich.edu,umsocial@umich.edu,1,1,18,umsocial@umich.edu,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
webmaster@berkeley.edu,webmaster@berkeley.edu,1,1,22,webmaster@berkeley.edu,NOUN,NN,ROOT,xxxx@xxxx.xxx,0.0
otd@harvard.edu,otd@harvard.edu,1,1,15,otd@harvard.edu,NOUN,NN,ROOT,xxx@xxxx.xxx,0.0
michael@subject.com,michael@subject.com,1,1,19,michael@subject.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@msche.org,info@msche.org,1,1,14,info@msche.org,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
pr@myntra.com,pr@myntra.com,1,1,13,pr@myntra.com,X,ADD,ROOT,xx@xxxx.xxx,0.0
news@northwestern.edu,news@northwestern.edu,1,1,21,news@northwestern.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
employee.services@yale.edu,employee.services@yale.edu,1,1,26,employee.services@yale.edu,NOUN,NNS,ROOT,xxxx.xxxx@xxxx.xxx,0.0
dukenews@duke.edu,dukenews@duke.edu,1,1,17,dukenews@duke.edu,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
hello@openclassrooms.com,hello@openclassrooms.com,1,1,24,hello@openclassrooms.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
hello@generalassemb.ly,hello@generalassemb.ly,1,1,22,hello@generalassemb.ly,NOUN,NN,ROOT,xxxx@xxxx.xx,0.0
Johrenk7@gmail.com,Johrenk7@gmail.com,1,1,18,johrenk7@gmail.com,X,ADD,ROOT,Xxxxxd@xxxx.xxx,0.0
ecorrin@mednet.ucla.edu,ecorrin@mednet.ucla.edu,1,1,23,ecorrin@mednet.ucla.edu,NOUN,NN,ROOT,xxxx@xxxx.xxxx.xxx,0.0
rahulsaxena@gatech.edu,rahulsaxena@gatech.edu,1,1,22,rahulsaxena@gatech.edu,VERB,VB,ROOT,xxxx@xxxx.xxx,0.0
nexsci@ipac.caltech.edu,nexsci@ipac.caltech.edu,1,1,23,nexsci@ipac.caltech.edu,NOUN,NN,ROOT,xxxx@xxxx.xxxx.xxx,0.0
socialmedia@ucsf.edu,socialmedia@ucsf.edu,1,1,20,socialmedia@ucsf.edu,VERB,VB,ROOT,xxxx@xxxx.xxx,0.0
digital@babson.edu,digital@babson.edu,1,1,18,digital@babson.edu,VERB,VB,ROOT,xxxx@xxxx.xxx,0.0
webmaster@cs.brown.edu,webmaster@cs.brown.edu,1,1,22,webmaster@cs.brown.edu,SPACE,_SP,ROOT,xxxx@xx.xxxx.xxx,0.0
learning@corporatefinanceinstitute.com,learning@corporatefinanceinstitute.com,1,1,38,learning@corporatefinanceinstitute.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
hi@ironhack.com,hi@ironhack.com,1,1,15,hi@ironhack.com,X,ADD,ROOT,xx@xxxx.xxx,0.0
mdcinfo@mdc.edu,mdcinfo@mdc.edu,1,1,15,mdcinfo@mdc.edu,PRON,PRP,ROOT,xxxx@xxx.xxx,0.0
comments@uams.edu,comments@uams.edu,1,1,17,comments@uams.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
public@tx.technion.ac.il,public@tx.technion.ac.il,1,1,24,public@tx.technion.ac.il,NOUN,NNS,ROOT,xxxx@xx.xxxx.xx.xx,0.0
emailum@umd.edu,emailum@umd.edu,1,1,15,emailum@umd.edu,SPACE,_SP,ROOT,xxxx@xxx.xxx,0.0
helpdesk@ccny.cuny.edu,helpdesk@ccny.cuny.edu,1,1,22,helpdesk@ccny.cuny.edu,NOUN,NN,ROOT,xxxx@xxxx.xxxx.xxx,0.0
chat@ualberta.ca,chat@ualberta.ca,1,1,16,chat@ualberta.ca,NOUN,NN,ROOT,xxxx@xxxx.xx,0.0
info@wethinkcode.co.za,info@wethinkcode.co.za,1,1,22,info@wethinkcode.co.za,ADV,RB,ROOT,xxxx@xxxx.xx.xx,0.0
uwcei@uw.edu,uwcei@uw.edu,1,1,12,uwcei@uw.edu,SPACE,_SP,ROOT,xxxx@xx.xxx,0.0
socialmedia@howard.edu,socialmedia@howard.edu,1,1,22,socialmedia@howard.edu,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
infocenter@uchicago.edu,infocenter@uchicago.edu,1,1,23,infocenter@uchicago.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
admissions@cam.ac.uk,admissions@cam.ac.uk,1,1,20,admissions@cam.ac.uk,SPACE,_SP,ROOT,xxxx@xxx.xx.xx,0.0
admissions@illinois.edu,admissions@illinois.edu,1,1,23,admissions@illinois.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
cd8@nyu.edu,cd8@nyu.edu,1,1,11,cd8@nyu.edu,NOUN,NNS,ROOT,xxd@xxx.xxx,0.0
socialmedia@gemseducation.com,socialmedia@gemseducation.com,1,1,29,socialmedia@gemseducation.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
contact@dartmouth.edu,contact@dartmouth.edu,1,1,21,contact@dartmouth.edu,NOUN,NNS,ROOT,xxxx@xxxx.xxx,0.0
case-news@case.edu,case-news@case.edu,1,1,18,case-news@case.edu,NOUN,NNS,ROOT,xxxx-xxxx@xxxx.xxx,0.0
webmaster@newark.ohio-state.edu,webmaster@newark.ohio-state.edu,1,1,31,webmaster@newark.ohio-state.edu,NOUN,NN,ROOT,xxxx@xxxx.xxxx-xxxx.xxx,0.0
technews@purdue.edu,technews@purdue.edu,1,1,19,technews@purdue.edu,PUNCT,.,ROOT,xxxx@xxxx.xxx,0.0
pusocialmedia@princeton.edu,pusocialmedia@princeton.edu,1,1,27,pusocialmedia@princeton.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@flatironschool.com,info@flatironschool.com,1,1,23,info@flatironschool.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
admissions@neu.edu,admissions@neu.edu,1,1,18,admissions@neu.edu,PROPN,NNP,ROOT,xxxx@xxx.xxx,0.0
cprit@cprit.state.tx.us,cprit@cprit.state.tx.us,1,1,23,cprit@cprit.state.tx.us,PROPN,NNP,ROOT,xxxx@xxxx.xxxx.xx.xx,0.0
contact@holbertonschool.com,contact@holbertonschool.com,1,1,27,contact@holbertonschool.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
info@drexel.com,info@drexel.com,1,1,15,info@drexel.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
pila@email.arizona.edu,pila@email.arizona.edu,1,1,22,pila@email.arizona.edu,NOUN,NN,ROOT,xxxx@xxxx.xxxx.xxx,0.0
admissions@quantic.edu,admissions@quantic.edu,1,1,22,admissions@quantic.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
enquiries@essex.ac.uk,enquiries@essex.ac.uk,1,1,21,enquiries@essex.ac.uk,VERB,VB,ROOT,xxxx@xxxx.xx.xx,0.0
admission@emory.edu,admission@emory.edu,1,1,19,admission@emory.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
kiei@kellogg.northwestern.edu,kiei@kellogg.northwestern.edu,1,1,29,kiei@kellogg.northwestern.edu,NUM,CD,ROOT,xxxx@xxxx.xxxx.xxx,0.0
burfitt@scripps.edu,burfitt@scripps.edu,1,1,19,burfitt@scripps.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
support@wharton.upenn.edu,support@wharton.upenn.edu,1,1,25,support@wharton.upenn.edu,VERB,VB,ROOT,xxxx@xxxx.xxxx.xxx,0.0
support@med.cornell.edu,support@med.cornell.edu,1,1,23,support@med.cornell.edu,PROPN,NNP,ROOT,xxxx@xxx.xxxx.xxx,0.0
info@su.org,info@su.org,1,1,11,info@su.org,VERB,VB,ROOT,xxxx@xx.xxx,0.0
ellie@digitalmarketinginstitute.com,ellie@digitalmarketinginstitute.com,1,1,35,ellie@digitalmarketinginstitute.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
cdowe@sgu.edu,cdowe@sgu.edu,1,1,13,cdowe@sgu.edu,VERB,VB,ROOT,xxxx@xxx.xxx,0.0
info@kcl.ac.uk,info@kcl.ac.uk,1,1,14,info@kcl.ac.uk,SPACE,_SP,ROOT,xxxx@xxx.xx.xx,0.0
webmaster@uthsc.edu,webmaster@uthsc.edu,1,1,19,webmaster@uthsc.edu,X,LS,ROOT,xxxx@xxxx.xxx,0.0
reachiitm@gmail.com,reachiitm@gmail.com,1,1,19,reachiitm@gmail.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
acadreg@mcw.edu,acadreg@mcw.edu,1,1,15,acadreg@mcw.edu,VERB,VB,ROOT,xxxx@xxx.xxx,0.0
international@nd.edu,international@nd.edu,1,1,20,international@nd.edu,VERB,VBZ,ROOT,xxxx@xx.xxx,0.0
socialmedia@asu.edu,socialmedia@asu.edu,1,1,19,socialmedia@asu.edu,X,XX,ROOT,xxxx@xxx.xxx,0.0
info@admissions.upenn.edu,info@admissions.upenn.edu,1,1,25,info@admissions.upenn.edu,NOUN,NN,ROOT,xxxx@xxxx.xxxx.xxx,0.0
info@africanleadershipacademy.com,info@africanleadershipacademy.com,1,1,33,info@africanleadershipacademy.com,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
admissions@ucc.ie,admissions@ucc.ie,1,1,17,admissions@ucc.ie,INTJ,UH,ROOT,xxxx@xxx.xx,0.0
hello@utexas.edu,hello@utexas.edu,1,2,16,hello@utexas.edu,NOUN,NNS,ROOT,xxxx@xxxx.xxx,0.0
maths.info@lse.ac.uk,maths.info@lse.ac.uk,1,1,20,maths.info@lse.ac.uk,VERB,VB,ROOT,xxxx.xxxx@xxx.xx.xx,0.0
its-helpdesk@uiowa.edu,its-helpdesk@uiowa.edu,1,1,22,its-helpdesk@uiowa.edu,VERB,VB,ROOT,xxx-xxxx@xxxx.xxx,0.0
webmaster@chaminade.edu,webmaster@chaminade.edu,1,1,23,webmaster@chaminade.edu,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
tabin@genetics.med.harvard.edu,tabin@genetics.med.harvard.edu,1,1,30,tabin@genetics.med.harvard.edu,ADV,RBS,ROOT,xxxx@xxxx.xxx.xxxx.xxx,0.0
abuse@ucsd.edu,abuse@ucsd.edu,1,1,14,abuse@ucsd.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
visitorservices@fsu.edu,visitorservices@fsu.edu,1,1,23,visitorservices@fsu.edu,INTJ,UH,ROOT,xxxx@xxx.xxx,0.0
webservices@calstate.edu,webservices@calstate.edu,1,1,24,webservices@calstate.edu,X,ADD,ROOT,xxxx@xxxx.xxx,0.0
scj@fiu.edu,scj@fiu.edu,1,1,11,scj@fiu.edu,X,ADD,ROOT,xxx@xxx.xxx,0.0
admissions@einstein.yu.edu,admissions@einstein.yu.edu,1,1,26,admissions@einstein.yu.edu,SPACE,_SP,ROOT,xxxx@xxxx.xx.xxx,0.0
helpdesk@tamu.edu,helpdesk@tamu.edu,1,1,17,helpdesk@tamu.edu,NOUN,NNS,ROOT,xxxx@xxxx.xxx,0.0
info@unisg.ch,info@unisg.ch,1,1,13,info@unisg.ch,NOUN,NN,ROOT,xxxx@xxxx.xx,0.0
solutions@swri.org,solutions@swri.org,1,1,18,solutions@swri.org,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
socialmedia@rutgers.edu,socialmedia@rutgers.edu,1,1,23,socialmedia@rutgers.edu,NOUN,NNS,ROOT,xxxx@xxxx.xxx,0.0
grad@k-state.edu,grad@k-state.edu,1,1,16,grad@k-state.edu,NOUN,NN,ROOT,xxxx@x-xxxx.xxx,0.0
ayalaatz@tauex.tau.ac.il,ayalaatz@tauex.tau.ac.il,1,1,24,ayalaatz@tauex.tau.ac.il,PROPN,NNP,ROOT,xxxx@xxxx.xxx.xx.xx,0.0
hr@ncat.edu,hr@ncat.edu,1,1,11,hr@ncat.edu,NOUN,NN,ROOT,xx@xxxx.xxx,0.0
info@eng.ufl.edu,info@eng.ufl.edu,1,1,16,info@eng.ufl.edu,VERB,VB,ROOT,xxxx@xxx.xxx.xxx,0.0
info@mila.quebec,info@mila.quebec,1,1,16,info@mila.quebec,VERB,VB,ROOT,xxxx@xxxx.xxxx,0.0
webmaster@vt.edu,webmaster@vt.edu,1,1,16,webmaster@vt.edu,SPACE,_SP,ROOT,xxxx@xx.xxx,0.0
mpa@wusm.wustl.edu,mpa@wusm.wustl.edu,1,1,18,mpa@wusm.wustl.edu,NOUN,NN,ROOT,xxx@xxxx.xxxx.xxx,0.0
marketing@fau.edu,marketing@fau.edu,1,1,17,marketing@fau.edu,PROPN,NNP,ROOT,xxxx@xxx.xxx,0.0
askeast@iue.edu,askeast@iue.edu,1,1,15,askeast@iue.edu,VERB,VB,ROOT,xxxx@xxx.xxx,0.0
business@cbs.curtin.edu.au,business@cbs.curtin.edu.au,1,1,26,business@cbs.curtin.edu.au,VERB,VB,ROOT,xxxx@xxx.xxxx.xxx.xx,0.0
hello@ixperience.co,hello@ixperience.co,1,1,19,hello@ixperience.co,ADJ,JJ,ROOT,xxxx@xxxx.xx,0.0
web@uwo.ca,web@uwo.ca,1,1,10,web@uwo.ca,ADV,RB,ROOT,xxx@xxx.xx,0.0
admissions@uncsa.edu,admissions@uncsa.edu,1,1,20,admissions@uncsa.edu,NUM,CD,ROOT,xxxx@xxxx.xxx,0.0
