Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Hispanic / Latine Founded, Hispanic / Latine Led",Hispanic,8,1,8,hispanic,ADJ,JJ,amod,Xxxxx,0.0
"Hispanic / Latine Founded, Hispanic / Latine Led",/,8,1,1,/,SYM,SYM,punct,/,0.0
"Hispanic / Latine Founded, Hispanic / Latine Led",Latine,8,1,6,Latine,PROPN,NNP,compound,Xxxxx,0.0
"Hispanic / Latine Founded, Hispanic / Latine Led",Founded,8,1,7,Founded,PROPN,NNP,ROOT,Xxxxx,0.0
"Hispanic / Latine Founded, Hispanic / Latine Led",",",8,1,1,",",PUNCT,",",punct,",",0.0
"Hispanic / Latine Founded, Hispanic / Latine Led",Hispanic,8,1,8,Hispanic,PROPN,NNP,appos,Xxxxx,0.0
"Hispanic / Latine Founded, Hispanic / Latine Led",Latine,8,1,6,Latine,PROPN,NNP,pobj,Xxxxx,0.0
"Hispanic / Latine Founded, Hispanic / Latine Led",Led,8,1,3,lead,VERB,VBN,appos,Xxx,0.0
Women Led,Women,2,9,5,Women,PROPN,NNP,npadvmod,Xxxxx,0.0
Women Led,Led,2,9,3,led,VERB,VBP,ROOT,Xxx,0.0
Women Founded,Women,2,20,5,Women,PROPN,NNP,nsubj,Xxxxx,0.0
Women Founded,Founded,2,20,7,found,VERB,VBN,ROOT,Xxxxx,0.0
Black / African American Founded,Black,5,1,5,black,ADJ,JJ,amod,Xxxxx,0.0
Black / African American Founded,/,5,1,1,/,SYM,SYM,punct,/,0.0
Black / African American Founded,African,5,1,7,african,ADJ,JJ,amod,Xxxxx,0.0
Black / African American Founded,American,5,1,8,American,PROPN,NNP,compound,Xxxxx,0.0
Black / African American Founded,Founded,5,1,7,Founded,PROPN,NNP,ROOT,Xxxxx,0.0
"Women Founded, Women Led",Women,4,2,5,Women,PROPN,NNP,compound,Xxxxx,0.0
"Women Founded, Women Led",Founded,4,2,7,Founded,PROPN,NNP,nsubj,Xxxxx,0.0
"Women Founded, Women Led",",",4,2,1,",",PUNCT,",",punct,",",0.0
"Women Founded, Women Led",Women,4,2,5,Women,PROPN,NNP,appos,Xxxxx,0.0
"Women Founded, Women Led",Led,4,2,3,lead,VERB,VBD,ROOT,Xxx,0.0
