Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Binny Bansal, Sachin Bansal, Santiraj Murmu",[],0,[],0,[],0
"Brian Requarth, Gina Gotthilf, Yuri Danilchenko",[],0,[],0,[],0
"Birago Jones, Chris Caplice, David Ott, Erastus Brigham Bigelow, Federico Casalegno, Matthias Winkenbach, Zen Chu",[],0,[],0,[],0
Fadl Al Tarzi,[],0,[],0,[],0
"Gabriel Richard, Timothy P McKenna",[],0,[],0,[],0
Adam Sterling,[],0,[],0,[],0
"John Harvard, Jonathan Zittrain",[],0,[],0,[],0
"Felix Ruano, Jonathan Quiros, Michael Vilardo",[],0,[],0,[],0
Andrew Carnegie,[],0,[],0,[],0
"Ashutosh Lawania, Mukesh Bansal, Raveen Sastry, Sankar Bora, Vineet Saxena",[],0,[],0,[],0
"Craig Wortmann, John Evans",[],0,[],0,[],0
John S. Allen,[],0,[],0,[],0
"Abraham Pierson, Israel Chauncy, James Noyes II, James Pierpont, Joseph Webb, Noadiah Russell, Samuel Andrew, Samuel Mather, Thomas Buckingham, Timothy Woodbridge",[],0,[],0,[],0
James Buchanan Duke,[],0,[],0,[],0
"Mathieu Nebra, Pierre Dubuc",[],0,[],0,[],0
"Adam Pritzker, Brad Hargreaves, Jake Schwartz, Matthew Brimer",[],0,[],0,[],0
Frank W. Gunsaulus,[],0,[],0,[],0
"Edward Augustus Dickson, Ernest Carroll Moore",[],0,[],0,[],0
"Christopher Klaus, Raghupathy Sivakumar",[],0,[],0,[],0
Amos Gager Throop,[],0,[],0,[],0
"Hugh Toland, Matthew Spitzer",[],0,[],0,[],0
Roger Babson,[],0,[],0,[],0
"James Manning, John Roma Skok, Moses Brown, Nicholas Brown",[],0,[],0,[],0
Timothy Vipond,[],0,[],0,[],0
"Ariel Quinones, Gonzalo Manrique",[],0,[],0,[],0
Alexander Ramsey,[],0,[],0,[],0
P. O. Hooper,[],0,[],0,[],0
Albert Einstein,[],0,[],0,[],0
"Charles Benedict Calvert, Kan Cao",[],0,[],0,[],0
"Alexander Cameron Rutherford, Cameron Smithers, Dominic Sauvageau, Henry Marshall Tory, Randy Goebel",[],0,[],0,[],0
"Arlene Mulder, Camille Agon, Yossi Hasson",[],0,[],0,[],0
"Arthur Denny, Daniel Bagley, Leroy Hood",[],0,[],0,[],0
Oliver Howard,[],0,[],0,[],0
John Rockefeller,[],0,[],0,[],0
Ricardo Campo,[],0,[],0,[],0
"Albert Gallatin, Jade Kearney, Mir Hwang, Sandy Balkin",[],0,[],0,[],0
William Marsh Rice,[],0,[],0,[],0
Sunny Varkey,[],0,[],0,[Sunny],1
"Andrew Meckel, Eleazar Wheelock",[],0,[],0,[],0
Leonard Case Jr.,[],0,[],0,[],0
Joseph Homer Parker,[],0,[],0,[],0
Rutherford B. Hayes,[],0,[],0,[],0
David Mackenzie,[],0,[],0,[],0
"Jessica Huber, John Purdue",[],0,[],0,[],0
George W. Taylor,[],0,[],0,[],0
Adam Enbar,[],0,[],0,[],0
Frank Palmer Speare,[],0,[],0,[],0
Daniel Coit Gilman,[],0,[],0,[],0
"Julien Barbier, Rudy Rigot, Sylvain Kalache",[],0,[],0,[],0
Anthony Joseph Drexel,[],0,[],0,[],0
"Benn Konsynski, Wendell Gibby",[],0,[],0,[],0
"Alexie Harper, Ori Ratner, Tom Adams",[],0,[],0,[],0
"Anil Kumar, Rajat Gupta",[],0,[],0,[],0
John Emory,[],0,[],0,[],0
"Lloyd Shefsky, Robert Wolcott, Victoria Husted Medvec",[],0,[Husted],1,[],0
"Ellen Browning Scripps, Eric Topol",[],0,[],0,[],0
Joseph Wharton,[],0,[],0,[],0
Oliver H. Payne,[],0,[],0,[],0
"Barney Pell, Bob Richards, David S. Rose, Peter Diamandis, Raymond Kurzweil, Reese Jones, Rob Nail, Salim Ismail, Sonia Arrison, Yuri van Geest",[],0,[],0,[],0
"Anthony Quigley, Ian Dodson",[],0,[],0,[],0
"Charles Modica, Louis Modica, Patrick Adams",[],0,[],0,[],0
King George,[],0,[],0,[],0
Humayun Kabir,[],0,[],0,[],0
"Abigail Jorgensen, Alesha Seroczynski",[],0,[],0,[],0
"George Poste, Gregory Rodriguez, Jeff Cunningham",[],0,[],0,[],0
Benjamin Franklin,[],0,[],0,[],0
"Acha Leke, Chris Bradford, Fred Swaniker, Peter Mombaur",[],0,[],0,[],0
John Nobili,[],0,[],0,[],0
"Ashbel Smith, George Kozmetsky",[],0,[],0,[],0
James McGill,[],0,[],0,[],0
John Warren,[],0,[],0,[],0
Ludwig Otto Friedrich Wilhelm,[],0,[],0,[],0
"Jyoti Mishra, Roger Revelle",[],0,[],0,[],0
Francis Eppes,[],0,[],0,[],0
Earl Warren,[],0,[],0,[],0
Butler Waugh,[],0,[],0,[],0
Samuel Belkin,[],0,[],0,[],0
"Don Lewis, Shelly Brenckman",[],0,[],0,[],0
Thomas Jefferson,[],0,[],0,[],0
"Bill Frist, Cornelius Vanderbilt",[],0,[],0,[],0
Thomas Baker Slick Jr.,[],0,[],0,[],0
"Alex Plinio, Nabil Adam, Yonah Levenson",[],0,[],0,[],0
Isaac Goodnow,[],0,[],0,[],0
Robin Pinkley,[],0,[],0,[],0
Yoshua Bengio,[],0,[],0,[],0
"Jeffrey H. Reed, Russell Jones, Tyler Campbell, Yuan Lin",[],0,[],0,[],0
"Ariel Ekblaw, Federico Casalegno, Nicholas Negroponte",[],0,[],0,[],0
"Jeffrey Chamberlain, Ph.D.",[Ph.D.],1,[],0,[],0
Linda Johnson,[],0,[],0,[],0
Kyle Jennings,[],0,[],0,[],0
"Edward VII, Tiago Reis Marques",[],0,[],0,[],0
