Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
M&A,M&A,1,16,3,M&A,PROPN,NNP,ROOT,X&X,0.0
Seed,Seed,1,28,4,seed,NOUN,NN,ROOT,Xxxx,0.0
Early Stage Venture,Early,3,17,5,early,ADJ,JJ,amod,Xxxxx,0.0
Early Stage Venture,Stage,3,17,5,Stage,PROPN,NNP,compound,Xxxxx,0.0
Early Stage Venture,Venture,3,17,7,Venture,PROPN,NNP,ROOT,Xxxxx,0.0
Late Stage Venture,Late,3,3,4,late,ADJ,JJ,amod,Xxxx,0.0
Late Stage Venture,Stage,3,3,5,Stage,PROPN,NNP,compound,Xxxxx,0.0
Late Stage Venture,Venture,3,3,7,Venture,PROPN,NNP,ROOT,Xxxxx,0.0
Private Equity,Private,2,13,7,Private,PROPN,NNP,compound,Xxxxx,0.0
Private Equity,Equity,2,13,6,Equity,PROPN,NNP,ROOT,Xxxxx,0.0
