Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"E-Commerce, E-Learning, Language Learning",[-],1,[],0,[],0
"Business Development, Finance, Financial Services, Venture Capital",[],0,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Continuing Education, Corporate Training, Higher Education, SaaS, STEM Education, Universities",[Universities],1,[],0,[],0
"Business Intelligence, E-Learning, Education, Knowledge Management, Universities",[Universities],1,[],0,[],0
"Continuing Education, Education, Higher Education, Universities",[Universities],1,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"E-Learning, EdTech, Education","[E, -]",2,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"EdTech, Education, Training, Universities",[Universities],1,[],0,[],0
"Education, Training, Universities","[Education, Training, Universities]",3,[],0,[],0
"Association, Business Development, Education, Medical, Social Entrepreneurship",[],0,[],0,[],0
"EdTech, Education, Higher Education, Universities",[Universities],1,[],0,[],0
"EdTech, Education, Training",[Training],1,[],0,[],0
"Education, Product Design, UX Design, Web Design, Web Development","[Education, Web, Web]",3,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Education, Information Technology",[Education],1,[],0,[],0
"Art, Education, Human Resources, Industrial Engineering, Law Enforcement, Medical, Performing Arts","[Art, Arts]",2,[Performing],1,[],0
"Continuing Education, EdTech, Education, Higher Education, STEM Education, Training, Universities",[Universities],1,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Education, Training","[Education, Training]",2,[],0,[],0
"EdTech, Education, Universities",[Universities],1,[],0,[],0
"Association, Biotechnology, Education, Medical, Pharmaceutical",[],0,[],0,[],0
"Education, Knowledge Management, Universities","[Education, Universities]",2,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Continuing Education, Corporate Training, E-Learning, Education, Financial Services",[],0,[],0,[],0
"Education, UX Design, Web Development","[Education, Web]",2,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Education, Knowledge Management, Universities","[Education, Universities]",2,[],0,[],0
"Health Care, Hospital, Universities",[Universities],1,[],0,[],0
"EdTech, Education, Higher Education",[],0,[],0,[],0
"EdTech, Education, Universities",[Universities],1,[],0,[],0
Education,[Education],1,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Computer, Education, Higher Education, Information Technology, Software Engineering, STEM Education",[],0,[],0,[],0
"EdTech, Education, Energy Storage, Higher Education, Solar, Universities",[Universities],1,[],0,[],0
"Education, Market Research, Universities","[Education, Universities]",2,[],0,[],0
"E-Learning, Education, Higher Education, Legal","[E, -]",2,[],0,[Legal],1
"Education, Universities","[Education, Universities]",2,[],0,[],0
Education,[Education],1,[],0,[],0
"Business Development, Education, Higher Education, Universities",[Universities],1,[],0,[],0
"Education, Higher Education, Journalism, Online Portals","[Education, Portals]",2,[],0,[],0
"Education, Service Industry, Universities","[Education, Universities]",2,[],0,[],0
"E-Learning, EdTech, Education, Higher Education","[E, -]",2,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Education, Universities","[Education, Universities]",2,[],0,[],0
"Aerospace, Education",[],0,[],0,[],0
"Education, Higher Education, Primary Education, Secondary Education",[Education],1,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Education, Knowledge Management, Universities","[Education, Universities]",2,[],0,[],0
"Education, Higher Education, Universities","[Education, Universities]",2,[],0,[],0
"Alumni, Education, Higher Education, Universities",[Universities],1,[],0,[],0
"Education, Higher Education, Information Technology, Web Development","[Education, Web]",2,[],0,[],0
"Education, Knowledge Management, Universities","[Education, Universities]",2,[],0,[],0
"Education, Higher Education, Information Technology",[Education],1,[],0,[],0
"Consumer Research, Government, Health Care, Health Diagnostics, Market Research, Product Research",[],0,[],0,[],0
"EdTech, Education, Higher Education, Software Engineering",[],0,[],0,[],0
"E-Learning, Education, Universities","[E, -, Universities]",3,[],0,[],0
