Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Commerce and Shopping, Education, Software",[],0,[],0,[],0
"Financial Services, Lending and Investments, Professional Services",[],0,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other, Science and Engineering, Software",[Education],1,[],0,[Other],1
"Administrative Services, Data and Analytics, Education, Other, Software",[],0,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Software",[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other, Software",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Community and Lifestyle, Education, Health Care, Other, Professional Services",[Community],1,[],0,[Other],1
"Education, Other, Software",[Education],1,[],0,[Other],1
"Education, Software",[Education],1,[],0,[],0
"Design, Education, Software",[Design],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Information Technology",[Education],1,[],0,[],0
"Administrative Services, Education, Government and Military, Health Care, Manufacturing, Media and Entertainment, Privacy and Security, Science and Engineering",[],0,[],0,[],0
"Education, Other, Science and Engineering, Software",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
Education,[Education],1,[],0,[],0
"Education, Other, Software",[Education],1,[],0,[Other],1
"Biotechnology, Education, Health Care, Other, Science and Engineering",[],0,[],0,[Other],1
"Administrative Services, Education, Other",[],0,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Financial Services, Software",[Education],1,[],0,[],0
"Design, Education, Software",[Design],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Administrative Services, Education, Other",[],0,[],0,[Other],1
"Health Care, Other",[],0,[],0,[Other],1
"Education, Software",[Education],1,[],0,[],0
"Education, Other, Software",[Education],1,[],0,[Other],1
Education,[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Consumer Electronics, Education, Hardware, Information Technology, Science and Engineering, Software",[Consumer],1,[],0,[],0
"Education, Energy, Natural Resources, Other, Software, Sustainability","[Education, Sustainability]",2,[],0,[Other],1
"Data and Analytics, Design, Education, Other",[Data],1,[],0,[Other],1
"Education, Professional Services, Software",[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
Education,[Education],1,[],0,[],0
"Education, Other, Professional Services",[Education],1,[],0,[Other],1
"Content and Publishing, Education, Internet Services, Media and Entertainment",[],0,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Software",[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Science and Engineering",[Education],1,[],0,[],0
Education,[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Administrative Services, Education, Other",[],0,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Information Technology, Software",[Education],1,[],0,[],0
"Administrative Services, Education, Other",[],0,[],0,[Other],1
"Education, Information Technology",[Education],1,[],0,[],0
"Data and Analytics, Design, Government and Military, Health Care",[Data],1,[],0,[],0
"Education, Science and Engineering, Software",[Education],1,[],0,[],0
"Education, Other, Software",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
Education,[Education],1,[],0,[],0
"Education, Science and Engineering, Software",[Education],1,[],0,[],0
"Data and Analytics, Design, Education, Other",[Data],1,[],0,[Other],1
"Education, Health Care, Software",[Education],1,[],0,[],0
"Education, Other, Professional Services",[Education],1,[],0,[Other],1
"Biotechnology, Education, Science and Engineering",[],0,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Biotechnology, Education, Health Care, Information Technology, Science and Engineering",[],0,[],0,[],0
"Community and Lifestyle, Education, Other",[Community],1,[],0,[Other],1
"Education, Internet Services, Media and Entertainment",[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Health Care",[Education],1,[],0,[],0
Education,[Education],1,[],0,[],0
"Education, Health Care",[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Science and Engineering, Software",[Education],1,[],0,[],0
"Education, Software",[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other, Professional Services",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Media and Entertainment",[Education],1,[],0,[],0
"Artificial Intelligence, Data and Analytics, Education, Other, Science and Engineering, Software",[],0,[],0,[Other],1
"Education, Health Care",[Education],1,[],0,[],0
"Education, Other, Science and Engineering",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other, Sales and Marketing","[Education, Sales, Marketing]",3,[],0,[Other],1
Education,[Education],1,[],0,[],0
"Agriculture and Farming, Biotechnology, Education, Natural Resources, Other, Science and Engineering, Sustainability","[Agriculture, Sustainability]",2,[],0,[],0
"Education, Software",[Education],1,[],0,[],0
"Education, Health Care, Software",[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Data and Analytics, Design, Education, Other, Professional Services, Science and Engineering",[Data],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Community and Lifestyle, Education, Other",[Community],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
Education,[Education],1,[],0,[],0
"Education, Other",[Education],1,[],0,[Other],1
"Community and Lifestyle, Education, Other",[Community],1,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software",[],0,[],0,[],0
Education,[Education],1,[],0,[],0
"Data and Analytics, Design, Education, Software, Travel and Tourism","[Data, Tourism]",2,[],0,[],0
"Education, Health Care, Other",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other, Software",[Education],1,[],0,[Other],1
"Education, Other",[Education],1,[],0,[Other],1
"Education, Other, Software",[Education],1,[],0,[Other],1
"Artificial Intelligence, Data and Analytics, Design, Education, Financial Services, Information Technology, Lending and Investments, Other, Professional Services, Science and Engineering, Software",[],0,[],0,[Other],1
