Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"$264,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$264,000,000.00 ","264,000,000.00",2,1,14,"264,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$1,500,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$1,500,000.00 ","1,500,000.00",2,2,12,"1,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$8,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$8,000,000.00 ","8,000,000.00",2,1,12,"8,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,600,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,600,000.00 ","1,600,000.00",2,1,12,"1,600,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$29,400,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$29,400,000.00 ","29,400,000.00",2,1,13,"29,400,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$116,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$116,000,000.00 ","116,000,000.00",2,1,14,"116,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$10,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$10,000,000.00 ","10,000,000.00",2,2,13,"10,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$80,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$80,000,000.00 ","80,000,000.00",2,2,13,"80,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$48,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$48,000,000.00 ","48,000,000.00",2,1,13,"48,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$20,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$20,000,000.00 ","20,000,000.00",2,2,13,"20,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$523,665.82 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$523,665.82 ","523,665.82",2,1,10,"523,665.82",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$17,530,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$17,530,000.00 ","17,530,000.00",2,1,13,"17,530,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$9,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$9,000,000.00 ","9,000,000.00",2,1,12,"9,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$65,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$65,000,000.00 ","65,000,000.00",2,1,13,"65,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$6,709,999.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$6,709,999.00 ","6,709,999.00",2,1,12,"6,709,999.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$32,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$32,000,000.00 ","32,000,000.00",2,1,13,"32,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$25,985,376.82 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$25,985,376.82 ","25,985,376.82",2,1,13,"25,985,376.82",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$750,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$750,000,000.00 ","750,000,000.00",2,1,14,"750,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$30,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$30,000,000.00 ","30,000,000.00",2,1,13,"30,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$15,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$15,000,000.00 ","15,000,000.00",2,2,13,"15,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$200,525,552.50 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$200,525,552.50 ","200,525,552.50",2,1,14,"200,525,552.50",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$250,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$250,000.00 ","250,000.00",2,3,10,"250,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$3,399,765.62 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,399,765.62 ","3,399,765.62",2,1,12,"3,399,765.62",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$3,437,580.90 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,437,580.90 ","3,437,580.90",2,1,12,"3,437,580.90",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,992,206.93 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,992,206.93 ","1,992,206.93",2,1,12,"1,992,206.93",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,300,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$2,300,000.00 ","2,300,000.00",2,1,12,"2,300,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$6,996,062.99 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$6,996,062.99 ","6,996,062.99",2,1,12,"6,996,062.99",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$20,094,092.70 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$20,094,092.70 ","20,094,092.70",2,1,13,"20,094,092.70",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$127,132.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$127,132.00 ","127,132.00",2,1,10,"127,132.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$28,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$28,000,000.00 ","28,000,000.00",2,1,13,"28,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$3,500,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$3,500,000.00 ","3,500,000.00",2,2,12,"3,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$5,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$5,000,000.00 ","5,000,000.00",2,2,12,"5,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$75,626,779.80 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$75,626,779.80 ","75,626,779.80",2,1,13,"75,626,779.80",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$79,955,005.60 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$79,955,005.60 ","79,955,005.60",2,1,13,"79,955,005.60",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,000,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$1,000,000.00 ","1,000,000.00",2,3,12,"1,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$16,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$16,000,000.00 ","16,000,000.00",2,1,13,"16,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$200,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$200,000.00 ","200,000.00",2,2,10,"200,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$19,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$19,000,000.00 ","19,000,000.00",2,1,13,"19,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$200,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$200,000,000.00 ","200,000,000.00",2,1,14,"200,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$6,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$6,000,000.00 ","6,000,000.00",2,1,12,"6,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$125,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$125,000.00 ","125,000.00",2,1,10,"125,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$400,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$400,000.00 ","400,000.00",2,1,10,"400,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,275,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,275,000.00 ","1,275,000.00",2,1,12,"1,275,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,140,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$2,140,000.00 ","2,140,000.00",2,1,12,"2,140,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$7,500,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$7,500,000.00 ","7,500,000.00",2,1,12,"7,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$13,665,214.22 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$13,665,214.22 ","13,665,214.22",2,1,13,"13,665,214.22",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$80,400,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$80,400,000.00 ","80,400,000.00",2,1,13,"80,400,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$3,000,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$3,000,000.00 ","3,000,000.00",2,3,12,"3,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$500,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$500,000.00 ","500,000.00",2,3,10,"500,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$700,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$700,000.00 ","700,000.00",2,1,10,"700,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$2,998,312.71 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$2,998,312.71 ","2,998,312.71",2,1,12,"2,998,312.71",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,363,573.76 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,363,573.76 ","1,363,573.76",2,1,12,"1,363,573.76",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,498,593.93 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$2,498,593.93 ","2,498,593.93",2,1,12,"2,498,593.93",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$350,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$350,000.00 ","350,000.00",2,1,10,"350,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$120,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$120,000.00 ","120,000.00",2,1,10,"120,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,998,875.14 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,998,875.14 ","1,998,875.14",2,1,12,"1,998,875.14",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$41,791.27 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$41,791.27 ","41,791.27",2,1,9,"41,791.27",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$40,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$40,000,000.00 ","40,000,000.00",2,1,13,"40,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$18,781.22 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$18,781.22 ","18,781.22",2,1,9,"18,781.22",NOUN,NN,ROOT,"dd,ddd.dd",0.0
"$1,260,446.33 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,260,446.33 ","1,260,446.33",2,1,12,"1,260,446.33",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,299,268.84 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,299,268.84 ","1,299,268.84",2,1,12,"1,299,268.84",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,300,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,300,000.00 ","1,300,000.00",2,1,12,"1,300,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$36,701.91 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$36,701.91 ","36,701.91",2,1,9,"36,701.91",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$55,170.94 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$55,170.94 ","55,170.94",2,1,9,"55,170.94",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$12,602,123.60 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$12,602,123.60 ","12,602,123.60",2,1,13,"12,602,123.60",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$600,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$600,000.00 ","600,000.00",2,1,10,"600,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$750,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$750,000.00 ","750,000.00",2,1,10,"750,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,199,325.08 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,199,325.08 ","1,199,325.08",2,1,12,"1,199,325.08",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$250,060.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$250,060.00 ","250,060.00",2,1,10,"250,060.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$20,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$20,000.00 ","20,000.00",2,2,9,"20,000.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$739,583.80 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$739,583.80 ","739,583.80",2,1,10,"739,583.80",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$75,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$75,000.00 ","75,000.00",2,1,9,"75,000.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$3,800,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,800,000.00 ","3,800,000.00",2,1,12,"3,800,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$300,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$300,000.00 ","300,000.00",2,1,10,"300,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$40,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$40,000.00 ","40,000.00",2,1,9,"40,000.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$1,500.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,500.00 ","1,500.00",2,1,8,"1,500.00",NUM,CD,ROOT,"d,ddd.dd",0.0
