Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Venture - Series Unknown,Venture,4,32,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
Venture - Series Unknown,-,4,32,1,-,PUNCT,HYPH,punct,-,0.0
Venture - Series Unknown,Series,4,32,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Venture - Series Unknown,Unknown,4,32,7,Unknown,PROPN,NNP,ROOT,Xxxxx,0.0
Seed,Seed,1,23,4,seed,NOUN,NN,ROOT,Xxxx,0.0
Series A,Series,2,13,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Series A,A,2,13,1,A,PROPN,NNP,ROOT,X,0.0
Corporate Round,Corporate,2,4,9,Corporate,PROPN,NNP,amod,Xxxxx,0.0
Corporate Round,Round,2,4,5,Round,PROPN,NNP,ROOT,Xxxxx,0.0
Series C,Series,2,3,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Series C,C,2,3,1,C,PROPN,NNP,ROOT,X,0.0
Undisclosed,Undisclosed,1,4,11,undisclose,VERB,VBN,ROOT,Xxxxx,0.0
Series B,Series,2,7,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Series B,B,2,7,1,B,PROPN,NNP,ROOT,X,0.0
Private Equity,Private,2,16,7,Private,PROPN,NNP,compound,Xxxxx,0.0
Private Equity,Equity,2,16,6,Equity,PROPN,NNP,ROOT,Xxxxx,0.0
Pre-Seed,Pre,1,4,3,pre,ADJ,JJ,amod,Xxx,0.0
Pre-Seed,-,1,4,1,-,NOUN,NN,ROOT,-,0.0
Pre-Seed,Seed,1,4,4,seed,NOUN,NN,punct,Xxxx,0.0
Equity Crowdfunding,Equity,2,2,6,equity,NOUN,NN,compound,Xxxxx,0.0
Equity Crowdfunding,Crowdfunding,2,2,12,Crowdfunding,PROPN,NNP,ROOT,Xxxxx,0.0
Angel,Angel,1,2,5,angel,NOUN,NN,ROOT,Xxxxx,0.0
