Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"$264,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$264,000,000.00 ","264,000,000.00",2,1,14,"264,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$1,500,000.00 ",$,2,26,1,$,SYM,$,nmod,$,0.0
"$1,500,000.00 ","1,500,000.00",2,26,12,"1,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$65,000.00 ",$,2,4,1,$,SYM,$,nmod,$,0.0
"$65,000.00 ","65,000.00",2,4,9,"65,000.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$8,000,000.00 ",$,2,7,1,$,SYM,$,nmod,$,0.0
"$8,000,000.00 ","8,000,000.00",2,7,12,"8,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$11,000,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$11,000,000.00 ","11,000,000.00",2,3,13,"11,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$29,400,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$29,400,000.00 ","29,400,000.00",2,1,13,"29,400,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$116,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$116,000,000.00 ","116,000,000.00",2,1,14,"116,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$5,500,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$5,500,000.00 ","5,500,000.00",2,2,12,"5,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$20,000,000.00 ",$,2,11,1,$,SYM,$,nmod,$,0.0
"$20,000,000.00 ","20,000,000.00",2,11,13,"20,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$5,750,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$5,750,000.00 ","5,750,000.00",2,1,12,"5,750,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$50,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$50,000,000.00 ","50,000,000.00",2,2,13,"50,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$80,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$80,000,000.00 ","80,000,000.00",2,2,13,"80,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$634,622.91 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$634,622.91 ","634,622.91",2,1,10,"634,622.91",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$150,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$150,000,000.00 ","150,000,000.00",2,2,14,"150,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$3,700,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,700,000.00 ","3,700,000.00",2,1,12,"3,700,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,257,859.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,257,859.00 ","1,257,859.00",2,1,12,"1,257,859.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,100,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$2,100,000.00 ","2,100,000.00",2,3,12,"2,100,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$75,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$75,000,000.00 ","75,000,000.00",2,1,13,"75,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$25,000,000.00 ",$,2,9,1,$,SYM,$,nmod,$,0.0
"$25,000,000.00 ","25,000,000.00",2,9,13,"25,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$48,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$48,000,000.00 ","48,000,000.00",2,1,13,"48,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$2,000,000.00 ",$,2,26,1,$,SYM,$,nmod,$,0.0
"$2,000,000.00 ","2,000,000.00",2,26,12,"2,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$350,000.00 ",$,2,7,1,$,SYM,$,nmod,$,0.0
"$350,000.00 ","350,000.00",2,7,10,"350,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,046,035.44 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$1,046,035.44 ","1,046,035.44",2,2,12,"1,046,035.44",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$3,000,000.00 ",$,2,16,1,$,SYM,$,nmod,$,0.0
"$3,000,000.00 ","3,000,000.00",2,16,12,"3,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$15,000,000.00 ",$,2,9,1,$,SYM,$,nmod,$,0.0
"$15,000,000.00 ","15,000,000.00",2,9,13,"15,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$67,995.31 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$67,995.31 ","67,995.31",2,1,9,"67,995.31",NOUN,NN,ROOT,"dd,ddd.dd",0.0
"$523,665.82 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$523,665.82 ","523,665.82",2,1,10,"523,665.82",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,299,689.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,299,689.00 ","1,299,689.00",2,1,12,"1,299,689.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$114,586,030.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$114,586,030.00 ","114,586,030.00",2,1,14,"114,586,030.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$1,939,416.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,939,416.00 ","1,939,416.00",2,1,12,"1,939,416.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$51,400,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$51,400,000.00 ","51,400,000.00",2,1,13,"51,400,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$150,000.00 ",$,2,6,1,$,SYM,$,nmod,$,0.0
"$150,000.00 ","150,000.00",2,6,10,"150,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$26,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$26,000,000.00 ","26,000,000.00",2,1,13,"26,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$11,300,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$11,300,000.00 ","11,300,000.00",2,1,13,"11,300,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,200,000.00 ",$,2,8,1,$,SYM,$,nmod,$,0.0
"$1,200,000.00 ","1,200,000.00",2,8,12,"1,200,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$14,400,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$14,400,000.00 ","14,400,000.00",2,1,13,"14,400,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$10,000,000.00 ",$,2,19,1,$,SYM,$,nmod,$,0.0
"$10,000,000.00 ","10,000,000.00",2,19,13,"10,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$6,709,999.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$6,709,999.00 ","6,709,999.00",2,1,12,"6,709,999.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$1,145,860.30 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,145,860.30 ","1,145,860.30",2,1,12,"1,145,860.30",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$626,040.60 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$626,040.60 ","626,040.60",2,1,10,"626,040.60",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$292,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$292,000.00 ","292,000.00",2,1,10,"292,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$12,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$12,000,000.00 ","12,000,000.00",2,2,13,"12,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$5,000,000.00 ",$,2,19,1,$,SYM,$,nmod,$,0.0
"$5,000,000.00 ","5,000,000.00",2,19,12,"5,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$300,000.00 ",$,2,9,1,$,SYM,$,nmod,$,0.0
"$300,000.00 ","300,000.00",2,9,10,"300,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$32,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$32,000,000.00 ","32,000,000.00",2,1,13,"32,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$25,985,376.82 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$25,985,376.82 ","25,985,376.82",2,1,13,"25,985,376.82",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$750,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$750,000,000.00 ","750,000,000.00",2,1,14,"750,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$3,160,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,160,000.00 ","3,160,000.00",2,1,12,"3,160,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,629,370.52 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$2,629,370.52 ","2,629,370.52",2,1,12,"2,629,370.52",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$5,900,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$5,900,000.00 ","5,900,000.00",2,1,12,"5,900,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,600,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$2,600,000.00 ","2,600,000.00",2,2,12,"2,600,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,407,390.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$2,407,390.00 ","2,407,390.00",2,1,12,"2,407,390.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$30,000,000.00 ",$,2,5,1,$,SYM,$,nmod,$,0.0
"$30,000,000.00 ","30,000,000.00",2,5,13,"30,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$125,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$125,000.00 ","125,000.00",2,3,10,"125,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$8,994,938.13 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$8,994,938.13 ","8,994,938.13",2,1,12,"8,994,938.13",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$100,000.00 ",$,2,13,1,$,SYM,$,nmod,$,0.0
"$100,000.00 ","100,000.00",2,13,10,"100,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$200,525,552.50 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$200,525,552.50 ","200,525,552.50",2,1,14,"200,525,552.50",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$18,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$18,000,000.00 ","18,000,000.00",2,2,13,"18,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,000,000.00 ",$,2,60,1,$,SYM,$,nmod,$,0.0
"$1,000,000.00 ","1,000,000.00",2,60,12,"1,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$14,500,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$14,500,000.00 ","14,500,000.00",2,1,13,"14,500,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$609,170.27 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$609,170.27 ","609,170.27",2,1,10,"609,170.27",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$2,700,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$2,700,000.00 ","2,700,000.00",2,3,12,"2,700,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,400,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$2,400,000.00 ","2,400,000.00",2,2,12,"2,400,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$3,500,000.00 ",$,2,6,1,$,SYM,$,nmod,$,0.0
"$3,500,000.00 ","3,500,000.00",2,6,12,"3,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$74,408.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$74,408.00 ","74,408.00",2,1,9,"74,408.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$68,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$68,000,000.00 ","68,000,000.00",2,1,13,"68,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$4,500,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$4,500,000.00 ","4,500,000.00",2,1,12,"4,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$164,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$164,000,000.00 ","164,000,000.00",2,1,14,"164,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$764,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$764,000.00 ","764,000.00",2,1,10,"764,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$16,000,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$16,000,000.00 ","16,000,000.00",2,3,13,"16,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$99,226.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$99,226.00 ","99,226.00",2,1,9,"99,226.00",NOUN,NN,ROOT,"dd,ddd.dd",0.0
"$23,700,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$23,700,000.00 ","23,700,000.00",2,1,13,"23,700,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,997,864.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$1,997,864.00 ","1,997,864.00",2,2,12,"1,997,864.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$61,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$61,000,000.00 ","61,000,000.00",2,1,13,"61,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$800,000.00 ",$,2,4,1,$,SYM,$,nmod,$,0.0
"$800,000.00 ","800,000.00",2,4,10,"800,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$2,900,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$2,900,000.00 ","2,900,000.00",2,3,12,"2,900,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$3,437,580.90 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,437,580.90 ","3,437,580.90",2,1,12,"3,437,580.90",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$580,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$580,000.00 ","580,000.00",2,1,10,"580,000.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,992,206.93 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,992,206.93 ","1,992,206.93",2,1,12,"1,992,206.93",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$7,500,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$7,500,000.00 ","7,500,000.00",2,2,12,"7,500,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$2,300,000.00 ",$,2,5,1,$,SYM,$,nmod,$,0.0
"$2,300,000.00 ","2,300,000.00",2,5,12,"2,300,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$14,300,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$14,300,000.00 ","14,300,000.00",2,1,13,"14,300,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$4,400,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$4,400,000.00 ","4,400,000.00",2,2,12,"4,400,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$4,000,000.00 ",$,2,15,1,$,SYM,$,nmod,$,0.0
"$4,000,000.00 ","4,000,000.00",2,15,12,"4,000,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$14,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$14,000,000.00 ","14,000,000.00",2,1,13,"14,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$69,960,629.90 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$69,960,629.90 ","69,960,629.90",2,1,13,"69,960,629.90",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$6,996,062.99 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$6,996,062.99 ","6,996,062.99",2,1,12,"6,996,062.99",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$100,000,000.00 ",$,2,3,1,$,SYM,$,nmod,$,0.0
"$100,000,000.00 ","100,000,000.00",2,3,14,"100,000,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$9,066.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$9,066.00 ","9,066.00",2,1,8,"9,066.00",NUM,CD,ROOT,"d,ddd.dd",0.0
"$2,200,000.00 ",$,2,5,1,$,SYM,$,nmod,$,0.0
"$2,200,000.00 ","2,200,000.00",2,5,12,"2,200,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$13,400,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$13,400,000.00 ","13,400,000.00",2,1,13,"13,400,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$20,094,092.70 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$20,094,092.70 ","20,094,092.70",2,1,13,"20,094,092.70",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$490,487.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$490,487.00 ","490,487.00",2,1,10,"490,487.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$349,803,149.50 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$349,803,149.50 ","349,803,149.50",2,1,14,"349,803,149.50",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$25,000.00 ",$,2,22,1,$,SYM,$,nmod,$,0.0
"$25,000.00 ","25,000.00",2,22,9,"25,000.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$127,132.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$127,132.00 ","127,132.00",2,1,10,"127,132.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$1,168,939.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,168,939.00 ","1,168,939.00",2,1,12,"1,168,939.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$28,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$28,000,000.00 ","28,000,000.00",2,2,13,"28,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$11,076,670.53 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$11,076,670.53 ","11,076,670.53",2,1,13,"11,076,670.53",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$8,800,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$8,800,000.00 ","8,800,000.00",2,1,12,"8,800,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$949,075.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$949,075.00 ","949,075.00",2,1,10,"949,075.00",NUM,CD,ROOT,"ddd,ddd.dd",0.0
"$32,981,439.81 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$32,981,439.81 ","32,981,439.81",2,1,13,"32,981,439.81",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,400,000.00 ",$,2,4,1,$,SYM,$,nmod,$,0.0
"$1,400,000.00 ","1,400,000.00",2,4,12,"1,400,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$38,860.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$38,860.00 ","38,860.00",2,1,9,"38,860.00",NUM,CD,ROOT,"dd,ddd.dd",0.0
"$34,375,809.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$34,375,809.00 ","34,375,809.00",2,1,13,"34,375,809.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$4,239,683.11 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$4,239,683.11 ","4,239,683.11",2,1,12,"4,239,683.11",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$45,000,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$45,000,000.00 ","45,000,000.00",2,2,13,"45,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$750,000.00 ",$,2,11,1,$,SYM,$,nmod,$,0.0
