Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Venture - Series Unknown,Venture,4,20,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
Venture - Series Unknown,-,4,20,1,-,PUNCT,HYPH,punct,-,0.0
Venture - Series Unknown,Series,4,20,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Venture - Series Unknown,Unknown,4,20,7,Unknown,PROPN,NNP,ROOT,Xxxxx,0.0
Seed,Seed,1,21,4,seed,NOUN,NN,ROOT,Xxxx,0.0
Grant,Grant,1,810,5,grant,VERB,VB,ROOT,Xxxxx,0.0
Series A,Series,2,11,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Series A,A,2,11,1,A,PROPN,NNP,ROOT,X,0.0
Corporate Round,Corporate,2,4,9,Corporate,PROPN,NNP,amod,Xxxxx,0.0
Corporate Round,Round,2,4,5,Round,PROPN,NNP,ROOT,Xxxxx,0.0
Series C,Series,2,3,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Series C,C,2,3,1,C,PROPN,NNP,ROOT,X,0.0
Undisclosed,Undisclosed,1,4,11,undisclose,VERB,VBN,ROOT,Xxxxx,0.0
Series B,Series,2,6,6,Series,PROPN,NNP,compound,Xxxxx,0.0
Series B,B,2,6,1,B,PROPN,NNP,ROOT,X,0.0
Private Equity,Private,2,14,7,Private,PROPN,NNP,compound,Xxxxx,0.0
Private Equity,Equity,2,14,6,Equity,PROPN,NNP,ROOT,Xxxxx,0.0
Debt Financing,Debt,2,13,4,debt,NOUN,NN,compound,Xxxx,0.0
Debt Financing,Financing,2,13,9,financing,NOUN,NN,ROOT,Xxxxx,0.0
Pre-Seed,Pre,1,4,3,pre,ADJ,JJ,amod,Xxx,0.0
Pre-Seed,-,1,4,1,-,NOUN,NN,ROOT,-,0.0
Pre-Seed,Seed,1,4,4,seed,NOUN,NN,punct,Xxxx,0.0
Angel,Angel,1,2,5,angel,NOUN,NN,ROOT,Xxxxx,0.0
Equity Crowdfunding,Equity,2,1,6,equity,NOUN,NN,compound,Xxxxx,0.0
Equity Crowdfunding,Crowdfunding,2,1,12,Crowdfunding,PROPN,NNP,ROOT,Xxxxx,0.0
Convertible Note,Convertible,2,1,11,convertible,ADJ,JJ,compound,Xxxxx,0.0
Convertible Note,Note,2,1,4,note,NOUN,NN,ROOT,Xxxx,0.0
