Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
72.47%,72.47,1,1,5,72.47,NUM,CD,nummod,dd.dd,0.0
72.47%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-41.68%,-41.68,1,1,6,-41.68,PROPN,NNP,ROOT,-dd.dd,0.0
-41.68%,%,1,1,1,%,NOUN,NN,intj,%,0.0
43.41%,43.41,1,1,5,43.41,NUM,CD,nummod,dd.dd,0.0
43.41%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
14.10%,14.10,1,1,5,14.10,NUM,CD,nummod,dd.dd,0.0
14.10%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
13.95%,13.95,1,1,5,13.95,NUM,CD,nummod,dd.dd,0.0
13.95%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-8.95%,-8.95,1,1,5,-8.95,NUM,CD,nummod,-d.dd,0.0
-8.95%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
30.64%,30.64,1,1,5,30.64,NUM,CD,nummod,dd.dd,0.0
30.64%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.22%,2.22,1,1,4,2.22,NUM,CD,nummod,d.dd,0.0
2.22%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
75.88%,75.88,1,1,5,75.88,NUM,CD,nummod,dd.dd,0.0
75.88%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
33.61%,33.61,1,1,5,33.61,NUM,CD,nummod,dd.dd,0.0
33.61%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-9.81%,-9.81,1,2,5,-9.81,NUM,CD,nummod,-d.dd,0.0
-9.81%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
9.89%,9.89,1,1,4,9.89,NUM,CD,nummod,d.dd,0.0
9.89%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.43%,-3.43,1,1,5,-3.43,NUM,CD,ROOT,-d.dd,0.0
-3.43%,%,1,1,1,%,NOUN,NN,intj,%,0.0
155.67%,155.67,1,1,6,155.67,NUM,CD,nummod,ddd.dd,0.0
155.67%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-2.49%,-2.49,1,1,5,-2.49,NUM,CD,nummod,-d.dd,0.0
-2.49%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-36.63%,-36.63,1,1,6,-36.63,PUNCT,``,ROOT,-dd.dd,0.0
-36.63%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-35.09%,-35.09,1,1,6,-35.09,PUNCT,``,ROOT,-dd.dd,0.0
-35.09%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-1.64%,-1.64,1,1,5,-1.64,NUM,CD,nummod,-d.dd,0.0
-1.64%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-33.45%,-33.45,1,1,6,-33.45,PUNCT,:,punct,-dd.dd,0.0
-33.45%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
17.42%,17.42,1,1,5,17.42,NUM,CD,nummod,dd.dd,0.0
17.42%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
33.83%,33.83,1,1,5,33.83,NUM,CD,nummod,dd.dd,0.0
33.83%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
5.71%,5.71,1,1,4,5.71,NUM,CD,nummod,d.dd,0.0
5.71%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.13%,4.13,1,1,4,4.13,NUM,CD,nummod,d.dd,0.0
4.13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
6.75%,6.75,1,1,4,6.75,NUM,CD,nummod,d.dd,0.0
6.75%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
84.08%,84.08,1,1,5,84.08,NUM,CD,nummod,dd.dd,0.0
84.08%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-8.16%,-8.16,1,1,5,-8.16,NUM,CD,nummod,-d.dd,0.0
-8.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
28.37%,28.37,1,1,5,28.37,NUM,CD,nummod,dd.dd,0.0
28.37%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-4.99%,-4.99,1,1,5,-4.99,NUM,CD,nummod,-d.dd,0.0
-4.99%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-16.92%,-16.92,1,1,6,-16.92,NUM,CD,nummod,-dd.dd,0.0
-16.92%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-5.18%,-5.18,1,1,5,-5.18,NUM,CD,nummod,-d.dd,0.0
-5.18%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-20.53%,-20.53,1,1,6,-20.53,PUNCT,:,punct,-dd.dd,0.0
-20.53%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-68.78%,-68.78,1,1,6,-68.78,PUNCT,NFP,ROOT,-dd.dd,0.0
-68.78%,%,1,1,1,%,INTJ,UH,intj,%,0.0
36.20%,36.20,1,1,5,36.20,NUM,CD,nummod,dd.dd,0.0
36.20%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
12.84%,12.84,1,1,5,12.84,NUM,CD,nummod,dd.dd,0.0
12.84%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
17.16%,17.16,1,1,5,17.16,NUM,CD,nummod,dd.dd,0.0
17.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
29.04%,29.04,1,1,5,29.04,NUM,CD,nummod,dd.dd,0.0
29.04%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-28.88%,-28.88,1,1,6,-28.88,PUNCT,HYPH,punct,-dd.dd,0.0
-28.88%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-15.45%,-15.45,1,1,6,-15.45,PUNCT,NFP,ROOT,-dd.dd,0.0
-15.45%,%,1,1,1,%,NOUN,NN,intj,%,0.0
6.06%,6.06,1,2,4,6.06,NUM,CD,nummod,d.dd,0.0
6.06%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
9.06%,9.06,1,1,4,9.06,NUM,CD,nummod,d.dd,0.0
9.06%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
14.12%,14.12,1,1,5,14.12,NUM,CD,nummod,dd.dd,0.0
14.12%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
18.71%,18.71,1,1,5,18.71,NUM,CD,nummod,dd.dd,0.0
18.71%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-10.69%,-10.69,1,1,6,-10.69,VERB,VBP,ROOT,-dd.dd,0.0
-10.69%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-24.73%,-24.73,1,1,6,-24.73,PUNCT,:,ROOT,-dd.dd,0.0
-24.73%,%,1,1,1,%,INTJ,UH,intj,%,0.0
24.68%,24.68,1,1,5,24.68,NUM,CD,nummod,dd.dd,0.0
24.68%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-5.42%,-5.42,1,1,5,-5.42,NUM,CD,nummod,-d.dd,0.0
-5.42%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
24.92%,24.92,1,1,5,24.92,NUM,CD,nummod,dd.dd,0.0
24.92%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-0.42%,-0.42,1,1,5,-0.42,NUM,CD,nummod,-d.dd,0.0
-0.42%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
12.19%,12.19,1,1,5,12.19,NUM,CD,nummod,dd.dd,0.0
12.19%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-15.47%,-15.47,1,1,6,-15.47,PUNCT,NFP,ROOT,-dd.dd,0.0
-15.47%,%,1,1,1,%,NOUN,NN,intj,%,0.0
16.90%,16.90,1,1,5,16.90,NUM,CD,nummod,dd.dd,0.0
16.90%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
19.38%,19.38,1,1,5,19.38,NUM,CD,nummod,dd.dd,0.0
19.38%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
253.20%,253.20,1,1,6,253.20,NUM,CD,nummod,ddd.dd,0.0
253.20%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
