Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
-40.16%,-40.16,1,1,6,-40.16,VERB,VBP,ROOT,-dd.dd,0.0
-40.16%,%,1,1,1,%,INTJ,UH,intj,%,0.0
171.01%,171.01,1,1,6,171.01,NUM,CD,nummod,ddd.dd,0.0
171.01%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-38.21%,-38.21,1,1,6,-38.21,ADJ,JJ,ROOT,-dd.dd,0.0
-38.21%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-3.10%,-3.10,1,1,5,-3.10,NUM,CD,nummod,-d.dd,0.0
-3.10%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.13%,-3.13,1,1,5,-3.13,NUM,CD,nummod,-d.dd,0.0
-3.13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
13.42%,13.42,1,1,5,13.42,NUM,CD,nummod,dd.dd,0.0
13.42%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-31.62%,-31.62,1,1,6,-31.62,VERB,VBP,ROOT,-dd.dd,0.0
-31.62%,%,1,1,1,%,INTJ,UH,intj,%,0.0
9.23%,9.23,1,2,4,9.23,NUM,CD,nummod,d.dd,0.0
9.23%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-37%,-37,1,1,3,-37,SPACE,_SP,ROOT,-dd,0.0
-37%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-20.61%,-20.61,1,1,6,-20.61,PUNCT,.,ROOT,-dd.dd,0.0
-20.61%,%,1,1,1,%,INTJ,UH,intj,%,0.0
26.84%,26.84,1,1,5,26.84,NUM,CD,nummod,dd.dd,0.0
26.84%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.91%,0.91,1,1,4,0.91,NUM,CD,nummod,d.dd,0.0
0.91%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
17.70%,17.70,1,1,5,17.70,NUM,CD,nummod,dd.dd,0.0
17.70%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-63.58%,-63.58,1,1,6,-63.58,NUM,CD,ROOT,-dd.dd,0.0
-63.58%,%,1,1,1,%,NOUN,NN,intj,%,0.0
12.58%,12.58,1,1,5,12.58,NUM,CD,nummod,dd.dd,0.0
12.58%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
100.85%,100.85,1,1,6,100.85,NUM,CD,nummod,ddd.dd,0.0
100.85%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
96.81%,96.81,1,1,5,96.81,NUM,CD,nummod,dd.dd,0.0
96.81%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
12.26%,12.26,1,1,5,12.26,NUM,CD,nummod,dd.dd,0.0
12.26%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
84.64%,84.64,1,1,5,84.64,NUM,CD,nummod,dd.dd,0.0
84.64%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-6.51%,-6.51,1,1,5,-6.51,NUM,CD,nummod,-d.dd,0.0
-6.51%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-22.75%,-22.75,1,1,6,-22.75,NUM,CD,ROOT,-dd.dd,0.0
-22.75%,%,1,1,1,%,INTJ,UH,intj,%,0.0
4.80%,4.80,1,1,4,4.80,NUM,CD,nummod,d.dd,0.0
4.80%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.31%,2.31,1,1,4,2.31,NUM,CD,nummod,d.dd,0.0
2.31%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.41%,2.41,1,1,4,2.41,NUM,CD,nummod,d.dd,0.0
2.41%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-43.08%,-43.08,1,1,6,-43.08,NUM,CD,ROOT,-dd.dd,0.0
-43.08%,%,1,1,1,%,NOUN,NN,intj,%,0.0
22.63%,22.63,1,1,5,22.63,NUM,CD,nummod,dd.dd,0.0
22.63%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-20.01%,-20.01,1,1,6,-20.01,NUM,CD,ROOT,-dd.dd,0.0
-20.01%,%,1,1,1,%,NOUN,NN,intj,%,0.0
16.72%,16.72,1,1,5,16.72,NUM,CD,nummod,dd.dd,0.0
16.72%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
40.81%,40.81,1,1,5,40.81,NUM,CD,nummod,dd.dd,0.0
40.81%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
19.77%,19.77,1,1,5,19.77,NUM,CD,nummod,dd.dd,0.0
19.77%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
49.96%,49.96,1,1,5,49.96,NUM,CD,nummod,dd.dd,0.0
49.96%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
516.80%,516.80,1,1,6,516.80,NUM,CD,nummod,ddd.dd,0.0
516.80%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-21.39%,-21.39,1,1,6,-21.39,PUNCT,.,ROOT,-dd.dd,0.0
-21.39%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-7.36%,-7.36,1,2,5,-7.36,NUM,CD,nummod,-d.dd,0.0
-7.36%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-7.07%,-7.07,1,1,5,-7.07,NUM,CD,nummod,-d.dd,0.0
-7.07%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-16.76%,-16.76,1,1,6,-16.76,PUNCT,``,ROOT,-dd.dd,0.0
-16.76%,%,1,1,1,%,NOUN,NN,intj,%,0.0
84.82%,84.82,1,1,5,84.82,NUM,CD,nummod,dd.dd,0.0
84.82%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
34.78%,34.78,1,1,5,34.78,NUM,CD,nummod,dd.dd,0.0
34.78%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.58%,4.58,1,1,4,4.58,NUM,CD,nummod,d.dd,0.0
4.58%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-0.09%,-0.09,1,2,5,-0.09,NUM,CD,nummod,-d.dd,0.0
-0.09%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-10.32%,-10.32,1,1,6,-10.32,NUM,CD,punct,-dd.dd,0.0
-10.32%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-12.31%,-12.31,1,1,6,-12.31,PUNCT,``,ROOT,-dd.dd,0.0
-12.31%,%,1,1,1,%,INTJ,UH,intj,%,0.0
28.01%,28.01,1,1,5,28.01,NUM,CD,nummod,dd.dd,0.0
28.01%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
60.27%,60.27,1,1,5,60.27,NUM,CD,nummod,dd.dd,0.0
60.27%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-12.47%,-12.47,1,1,6,-12.47,VERB,VBP,ROOT,-dd.dd,0.0
-12.47%,%,1,1,1,%,NOUN,NN,intj,%,0.0
18.69%,18.69,1,1,5,18.69,NUM,CD,nummod,dd.dd,0.0
18.69%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-16.86%,-16.86,1,1,6,-16.86,PUNCT,.,ROOT,-dd.dd,0.0
-16.86%,%,1,1,1,%,INTJ,UH,intj,%,0.0
11.74%,11.74,1,1,5,11.74,NUM,CD,nummod,dd.dd,0.0
11.74%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-2.02%,-2.02,1,1,5,-2.02,NUM,CD,nummod,-d.dd,0.0
-2.02%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
37.40%,37.40,1,1,5,37.40,NUM,CD,nummod,dd.dd,0.0
37.40%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-7.52%,-7.52,1,2,5,-7.52,NUM,CD,nummod,-d.dd,0.0
-7.52%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-8.48%,-8.48,1,1,5,-8.48,NUM,CD,nummod,-d.dd,0.0
-8.48%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-84.37%,-84.37,1,1,6,-84.37,INTJ,UH,ROOT,-dd.dd,0.0
-84.37%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-11.15%,-11.15,1,1,6,-11.15,PUNCT,.,punct,-dd.dd,0.0
-11.15%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
37.62%,37.62,1,1,5,37.62,NUM,CD,nummod,dd.dd,0.0
37.62%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
89.52%,89.52,1,1,5,89.52,NUM,CD,nummod,dd.dd,0.0
89.52%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-27.54%,-27.54,1,1,6,-27.54,PROPN,NNP,ROOT,-dd.dd,0.0
-27.54%,%,1,1,1,%,NOUN,NN,intj,%,0.0
17.97%,17.97,1,1,5,17.97,NUM,CD,nummod,dd.dd,0.0
17.97%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
16.45%,16.45,1,1,5,16.45,NUM,CD,nummod,dd.dd,0.0
16.45%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
73.51%,73.51,1,1,5,73.51,NUM,CD,nummod,dd.dd,0.0
73.51%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
26.93%,26.93,1,2,5,26.93,NUM,CD,nummod,dd.dd,0.0
26.93%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
17.22%,17.22,1,2,5,17.22,NUM,CD,nummod,dd.dd,0.0
17.22%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-12.55%,-12.55,1,1,6,-12.55,NUM,CD,ROOT,-dd.dd,0.0
-12.55%,%,1,1,1,%,NOUN,NN,intj,%,0.0
59.70%,59.70,1,1,5,59.70,NUM,CD,nummod,dd.dd,0.0
59.70%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-19.77%,-19.77,1,1,6,-19.77,PUNCT,:,ROOT,-dd.dd,0.0
-19.77%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-57.71%,-57.71,1,1,6,-57.71,SYM,SYM,ROOT,-dd.dd,0.0
-57.71%,%,1,1,1,%,INTJ,UH,intj,%,0.0
67.86%,67.86,1,1,5,67.86,NUM,CD,nummod,dd.dd,0.0
67.86%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
11.71%,11.71,1,1,5,11.71,NUM,CD,nummod,dd.dd,0.0
