Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Testing,[Testing],1,[],0,[],0
Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,"[Biochemistry, Beer, Spirits, Wine, Vinegar]",5,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Computing; Calculating,[Computing],1,[Calculating],1,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Basic Electric Elements,[],0,[],0,[],0
Testing,[Testing],1,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,"[Biochemistry, Beer, Spirits, Wine, Vinegar]",5,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Testing,[Testing],1,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Testing,[Testing],1,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Biochemistry; Beer; Spirits; Wine; Vinegar; Microbiology; Enzymology; Mutation Or Genetic Engineering,"[Biochemistry, Beer, Spirits, Wine, Vinegar]",5,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Basic Electric Elements,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
Medical Or Veterinary Science; Hygiene,[],0,[],0,[],0
