Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
10001+,10001,1,219,5,10001,NUM,CD,ROOT,dddd,0.0
10001+,+,1,219,1,+,PROPN,NNP,punct,+,0.0
11-50,11,1,294,2,11,NUM,CD,ROOT,dd,0.0
11-50,-,1,294,1,-,SYM,SYM,punct,-,0.0
11-50,50,1,294,2,50,NUM,CD,prep,dd,0.0
101-250,101,1,17,3,101,NUM,CD,ROOT,ddd,0.0
101-250,-,1,17,1,-,SYM,SYM,punct,-,0.0
101-250,250,1,17,3,250,NUM,CD,prep,ddd,0.0
1001-5000,1001,1,58,4,1001,NUM,CD,ROOT,dddd,0.0
1001-5000,-,1,58,1,-,SYM,SYM,punct,-,0.0
1001-5000,5000,1,58,4,5000,NUM,CD,prep,dddd,0.0
5001-10000,5001,1,27,4,5001,NUM,CD,ROOT,dddd,0.0
5001-10000,-,1,27,1,-,SYM,SYM,punct,-,0.0
5001-10000,10000,1,27,5,10000,NUM,CD,prep,dddd,0.0
51-100,51,1,7,2,51,NUM,CD,ROOT,dd,0.0
51-100,-,1,7,1,-,SYM,SYM,punct,-,0.0
51-100,100,1,7,3,100,NUM,CD,prep,ddd,0.0
251-500,251,1,21,3,251,NUM,CD,ROOT,ddd,0.0
251-500,-,1,21,1,-,SYM,SYM,punct,-,0.0
251-500,500,1,21,3,500,NUM,CD,prep,ddd,0.0
501-1000,501,1,34,3,501,NUM,CD,ROOT,ddd,0.0
501-1000,-,1,34,1,-,SYM,SYM,punct,-,0.0
501-1000,1000,1,34,4,1000,NUM,CD,prep,dddd,0.0
10-Jan,10,1,3,2,10,NUM,CD,nummod,dd,0.0
10-Jan,-,1,3,1,-,PUNCT,HYPH,punct,-,0.0
10-Jan,Jan,1,3,3,jan,NOUN,NN,ROOT,Xxx,0.0
