Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
Flipkart,Flipkart,0,8,ORG,
Latitud,Latitud,0,7,PERSON,
Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,37,ORG,
Nexford University,Nexford University,0,18,ORG,
University of Michigan,University of Michigan,0,22,ORG,
University of California Berkeley,University of California Berkeley,0,33,ORG,
Harvard University,Harvard University,0,18,ORG,
Carnegie Mellon University,Carnegie Mellon University,0,26,ORG,
Myntra,Myntra,0,6,ORG,
Northwestern University,Northwestern University,0,23,ORG,
University of South Florida,University of South Florida,0,27,ORG,
Yale University,Yale University,0,15,ORG,
Duke University,Duke University,0,15,ORG,
OpenClassrooms,OpenClassrooms,0,14,ORG,
General Assembly,General Assembly,0,16,ORG,
University of Saskatchewan,University of Saskatchewan,0,26,ORG,
Illinois Institute of Technology,Illinois Institute of Technology,0,32,ORG,
University of Louisville,University of Louisville,0,24,ORG,
Simon Fraser University,Fraser University,6,23,ORG,
"University of California, Los Angeles","University of California, Los Angeles",0,37,ORG,
Caltech,Caltech,0,7,ORG,
"University of California, San Francisco",University of California,0,24,ORG,
"University of California, San Francisco",San Francisco,26,39,GPE,
Babson College,Babson College,0,14,ORG,
Brown University,Brown University,0,16,ORG,
Corporate Finance Institute,Corporate Finance Institute,0,27,ORG,
University of Minnesota,University of Minnesota,0,23,ORG,
Miami Dade College,Miami Dade College,0,18,ORG,
University of Arkansas for Medical Sciences,University of Arkansas for Medical Sciences,0,43,ORG,
University of Maryland,University of Maryland,0,22,ORG,
The City College of New York,The City College of New York,0,28,ORG,
University of Alberta,University of Alberta,0,21,ORG,
University of Washington,University of Washington,0,24,ORG,
Howard University,Howard University,0,17,ORG,
University of Chicago,University of Chicago,0,21,ORG,
University of Cambridge,University of Cambridge,0,23,ORG,
University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,0,39,ORG,
New York University,New York University,0,19,ORG,
Dartmouth College,Dartmouth College,0,17,ORG,
Case Western Reserve University,Case Western Reserve University,0,31,ORG,
University of Toronto,University of Toronto,0,21,ORG,
The Ohio State University,The Ohio State University,0,25,ORG,
Wayne State University,Wayne State University,0,22,ORG,
Purdue University,Purdue University,0,17,ORG,
Princeton University,Princeton University,0,20,ORG,
Flatiron School,Flatiron School,0,15,ORG,
Northeastern University,Northeastern University,0,23,ORG,
The Johns Hopkins University,The Johns Hopkins University,0,28,ORG,
Cancer Prevention and Research Institute of Texas,Cancer Prevention and Research Institute of Texas,0,49,ORG,
Holberton School,Holberton School,0,16,ORG,
Drexel University,Drexel University,0,17,ORG,
University of Arizona,University of Arizona,0,21,ORG,
Quantic School of Business and Technology,Quantic School of Business and Technology,0,41,ORG,
University of Essex,University of Essex,0,19,ORG,
Indian School of Business (ISB),Indian School of Business (ISB,0,30,ORG,
Emory University,Emory University,0,16,ORG,
Finance Department - Kellogg School of Management,Finance Department,0,18,ORG,
Finance Department - Kellogg School of Management,Kellogg School of Management,21,49,ORG,
The Scripps Research Institute,The Scripps Research Institute,0,30,ORG,
Wharton School of the University of Pennsylvania,Wharton School of the University of Pennsylvania,0,48,ORG,
Weill Cornell Medicine,Weill Cornell Medicine,0,22,ORG,
Digital Marketing Institute,Digital Marketing Institute,0,27,ORG,
St. George's University,St. George's,0,12,ORG,
King's College London,King's College,0,14,ORG,
University of Tennessee Health Science Center,University of Tennessee Health Science Center,0,45,ORG,
Indian Institute of Technology Madras,Indian Institute of Technology Madras,0,37,ORG,
Medical College of Wisconsin,Medical College of Wisconsin,0,28,ORG,
University of Notre Dame,University of Notre Dame,0,24,ORG,
Arizona State University,Arizona State University,0,24,ORG,
University of Pennsylvania,University of Pennsylvania,0,26,ORG,
African Leadership Academy,African Leadership Academy,0,26,ORG,
North Carolina State University - NCSU,North Carolina State University - NCSU,0,38,ORG,
University College Cork,University College Cork,0,23,ORG,
Santa Clara University,Santa Clara University,0,22,ORG,
The University of Texas at Austin,The University of Texas,0,23,ORG,
The University of Texas at Austin,Austin,27,33,GPE,
London School of Economics and Political Science,London School of Economics and Political Science,0,48,ORG,
University of Iowa,University of Iowa,0,18,ORG,
McGill University,McGill University,0,17,ORG,
