Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
4.28%,4.28,1,1,4,4.28,NUM,CD,nummod,d.dd,0.0
4.28%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
66.19%,66.19,1,1,5,66.19,NUM,CD,nummod,dd.dd,0.0
66.19%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-20.88%,-20.88,1,1,6,-20.88,PUNCT,.,ROOT,-dd.dd,0.0
-20.88%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-3.96%,-3.96,1,1,5,-3.96,NUM,CD,nummod,-d.dd,0.0
-3.96%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-8.47%,-8.47,1,1,5,-8.47,NUM,CD,nummod,-d.dd,0.0
-8.47%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.23%,0.23,1,1,4,0.23,NUM,CD,nummod,d.dd,0.0
0.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-25.61%,-25.61,1,1,6,-25.61,VERB,VBP,punct,-dd.dd,0.0
-25.61%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
6.47%,6.47,1,1,4,6.47,NUM,CD,nummod,d.dd,0.0
6.47%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
11.19%,11.19,1,1,5,11.19,NUM,CD,nummod,dd.dd,0.0
11.19%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.12%,-3.12,1,1,5,-3.12,NUM,CD,nummod,-d.dd,0.0
-3.12%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
7.04%,7.04,1,1,4,7.04,NUM,CD,nummod,d.dd,0.0
7.04%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.65%,4.65,1,2,4,4.65,NUM,CD,nummod,d.dd,0.0
4.65%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
14.29%,14.29,1,1,5,14.29,NUM,CD,nummod,dd.dd,0.0
14.29%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
15.23%,15.23,1,1,5,15.23,NUM,CD,nummod,dd.dd,0.0
15.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-2.41%,-2.41,1,1,5,-2.41,NUM,CD,nummod,-d.dd,0.0
-2.41%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
17.24%,17.24,1,1,5,17.24,NUM,CD,nummod,dd.dd,0.0
17.24%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
2.66%,2.66,1,1,4,2.66,NUM,CD,nummod,d.dd,0.0
2.66%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-8.06%,-8.06,1,1,5,-8.06,NUM,CD,nummod,-d.dd,0.0
-8.06%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
14.82%,14.82,1,1,5,14.82,NUM,CD,nummod,dd.dd,0.0
14.82%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-13.22%,-13.22,1,1,6,-13.22,NOUN,NN,ROOT,-dd.dd,0.0
-13.22%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-7.67%,-7.67,1,1,5,-7.67,NUM,CD,nummod,-d.dd,0.0
-7.67%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
3.22%,3.22,1,1,4,3.22,NUM,CD,nummod,d.dd,0.0
3.22%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-21.56%,-21.56,1,1,6,-21.56,PUNCT,HYPH,punct,-dd.dd,0.0
-21.56%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-9.19%,-9.19,1,1,5,-9.19,NUM,CD,nummod,-d.dd,0.0
-9.19%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
9.03%,9.03,1,1,4,9.03,NUM,CD,nummod,d.dd,0.0
9.03%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-17.86%,-17.86,1,1,6,-17.86,PUNCT,.,ROOT,-dd.dd,0.0
-17.86%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-3.58%,-3.58,1,1,5,-3.58,NUM,CD,nummod,-d.dd,0.0
-3.58%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-14.60%,-14.60,1,1,6,-14.60,PUNCT,NFP,ROOT,-dd.dd,0.0
-14.60%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-6.47%,-6.47,1,1,5,-6.47,NUM,CD,nummod,-d.dd,0.0
-6.47%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-5.01%,-5.01,1,2,5,-5.01,NUM,CD,nummod,-d.dd,0.0
-5.01%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
16.31%,16.31,1,1,5,16.31,NUM,CD,nummod,dd.dd,0.0
16.31%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-26.37%,-26.37,1,1,6,-26.37,NUM,CD,ROOT,-dd.dd,0.0
-26.37%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-18.90%,-18.90,1,1,6,-18.90,PUNCT,``,ROOT,-dd.dd,0.0
-18.90%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-14.89%,-14.89,1,1,6,-14.89,NUM,CD,ROOT,-dd.dd,0.0
-14.89%,%,1,1,1,%,NOUN,NN,intj,%,0.0
10.06%,10.06,1,1,5,10.06,NUM,CD,nummod,dd.dd,0.0
10.06%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-16.47%,-16.47,1,2,6,-16.47,PUNCT,NFP,ROOT,-dd.dd,0.0
-16.47%,%,1,2,1,%,INTJ,UH,intj,%,0.0
-91.63%,-91.63,1,1,6,-91.63,PUNCT,NFP,ROOT,-dd.dd,0.0
-91.63%,%,1,1,1,%,INTJ,UH,intj,%,0.0
7.76%,7.76,1,1,4,7.76,NUM,CD,nummod,d.dd,0.0
7.76%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-10.29%,-10.29,1,1,6,-10.29,PUNCT,NFP,ROOT,-dd.dd,0.0
-10.29%,%,1,1,1,%,INTJ,UH,intj,%,0.0
34.91%,34.91,1,1,5,34.91,NUM,CD,nummod,dd.dd,0.0
34.91%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.66%,4.66,1,1,4,4.66,NUM,CD,nummod,d.dd,0.0
4.66%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.43%,-3.43,1,1,5,-3.43,NUM,CD,ROOT,-d.dd,0.0
-3.43%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-3.46%,-3.46,1,1,5,-3.46,NUM,CD,nummod,-d.dd,0.0
-3.46%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
26.27%,26.27,1,1,5,26.27,NUM,CD,nummod,dd.dd,0.0
26.27%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-1.41%,-1.41,1,1,5,-1.41,NUM,CD,nummod,-d.dd,0.0
-1.41%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.78%,0.78,1,1,4,0.78,NUM,CD,nummod,d.dd,0.0
0.78%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
11.29%,11.29,1,1,5,11.29,NUM,CD,nummod,dd.dd,0.0
11.29%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-7.76%,-7.76,1,1,5,-7.76,NUM,CD,nummod,-d.dd,0.0
-7.76%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-7.58%,-7.58,1,2,5,-7.58,NUM,CD,nummod,-d.dd,0.0
-7.58%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-16.02%,-16.02,1,1,6,-16.02,ADJ,JJ,ROOT,-dd.dd,0.0
-16.02%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-3.81%,-3.81,1,2,5,-3.81,NUM,CD,nummod,-d.dd,0.0
-3.81%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-8.27%,-8.27,1,1,5,-8.27,NUM,CD,nummod,-d.dd,0.0
-8.27%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
69.37%,69.37,1,1,5,69.37,NUM,CD,nummod,dd.dd,0.0
69.37%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-5.93%,-5.93,1,1,5,-5.93,NUM,CD,nummod,-d.dd,0.0
-5.93%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-10.52%,-10.52,1,1,6,-10.52,VERB,VBP,ROOT,-dd.dd,0.0
-10.52%,%,1,1,1,%,NOUN,NN,intj,%,0.0
89.72%,89.72,1,1,5,89.72,NUM,CD,nummod,dd.dd,0.0
89.72%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
9.05%,9.05,1,1,4,9.05,NUM,CD,nummod,d.dd,0.0
9.05%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
8.86%,8.86,1,1,4,8.86,NUM,CD,nummod,d.dd,0.0
8.86%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
90.76%,90.76,1,1,5,90.76,NUM,CD,nummod,dd.dd,0.0
90.76%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
18.14%,18.14,1,1,5,18.14,NUM,CD,nummod,dd.dd,0.0
18.14%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-42.88%,-42.88,1,1,6,-42.88,PUNCT,NFP,punct,-dd.dd,0.0
-42.88%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
23.88%,23.88,1,1,5,23.88,NUM,CD,nummod,dd.dd,0.0
23.88%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
9.36%,9.36,1,1,4,9.36,NUM,CD,nummod,d.dd,0.0
9.36%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
14.26%,14.26,1,1,5,14.26,NUM,CD,nummod,dd.dd,0.0
14.26%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.02%,4.02,1,1,4,4.02,NUM,CD,nummod,d.dd,0.0
4.02%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-9.83%,-9.83,1,1,5,-9.83,NUM,CD,nummod,-d.dd,0.0
-9.83%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
21.85%,21.85,1,1,5,21.85,NUM,CD,nummod,dd.dd,0.0
21.85%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
10.40%,10.40,1,1,5,10.40,NUM,CD,nummod,dd.dd,0.0
10.40%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.82%,-3.82,1,1,5,-3.82,NUM,CD,nummod,-d.dd,0.0
-3.82%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-24%,-24,1,1,3,-24,SPACE,_SP,ROOT,-dd,0.0
-24%,%,1,1,1,%,NOUN,NN,intj,%,0.0
3.54%,3.54,1,1,4,3.54,NUM,CD,nummod,d.dd,0.0
3.54%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
4.37%,4.37,1,1,4,4.37,NUM,CD,nummod,d.dd,0.0
4.37%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-0.65%,-0.65,1,1,5,-0.65,NUM,CD,nummod,-d.dd,0.0
-0.65%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-4.08%,-4.08,1,1,5,-4.08,NUM,CD,nummod,-d.dd,0.0
-4.08%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-7.15%,-7.15,1,1,5,-7.15,NUM,CD,nummod,-d.dd,0.0
-7.15%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-27.60%,-27.60,1,1,6,-27.60,NUM,CD,ROOT,-dd.dd,0.0
-27.60%,%,1,1,1,%,NOUN,NN,intj,%,0.0
3.82%,3.82,1,1,4,3.82,NUM,CD,nummod,d.dd,0.0
3.82%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
8.34%,8.34,1,1,4,8.34,NUM,CD,nummod,d.dd,0.0
8.34%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-7.08%,-7.08,1,1,5,-7.08,NUM,CD,nummod,-d.dd,0.0
-7.08%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-22.42%,-22.42,1,1,6,-22.42,INTJ,UH,ROOT,-dd.dd,0.0
-22.42%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-13.67%,-13.67,1,1,6,-13.67,VERB,VBP,ROOT,-dd.dd,0.0
-13.67%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-21.46%,-21.46,1,1,6,-21.46,NUM,CD,ROOT,-dd.dd,0.0
-21.46%,%,1,1,1,%,NOUN,NN,intj,%,0.0
12.57%,12.57,1,1,5,12.57,NUM,CD,nummod,dd.dd,0.0
12.57%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
21.69%,21.69,1,1,5,21.69,NUM,CD,nummod,dd.dd,0.0
21.69%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
15.82%,15.82,1,1,5,15.82,NUM,CD,nummod,dd.dd,0.0
15.82%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-4.54%,-4.54,1,1,5,-4.54,NUM,CD,nummod,-d.dd,0.0
-4.54%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
22.01%,22.01,1,1,5,22.01,NUM,CD,nummod,dd.dd,0.0
22.01%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-25.10%,-25.10,1,1,6,-25.10,INTJ,UH,ROOT,-dd.dd,0.0
-25.10%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-4.74%,-4.74,1,1,5,-4.74,NUM,CD,ROOT,-d.dd,0.0
-4.74%,%,1,1,1,%,NOUN,NN,intj,%,0.0
23.37%,23.37,1,1,5,23.37,NUM,CD,nummod,dd.dd,0.0
23.37%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
16.78%,16.78,1,1,5,16.78,NUM,CD,nummod,dd.dd,0.0
16.78%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-35.05%,-35.05,1,1,6,-35.05,NUM,CD,ROOT,-dd.dd,0.0
-35.05%,%,1,1,1,%,NOUN,NN,intj,%,0.0
6.24%,6.24,1,1,4,6.24,NUM,CD,nummod,d.dd,0.0
6.24%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-60.55%,-60.55,1,1,6,-60.55,NOUN,NNS,ROOT,-dd.dd,0.0
-60.55%,%,1,1,1,%,INTJ,UH,intj,%,0.0
7.25%,7.25,1,1,4,7.25,NUM,CD,nummod,d.dd,0.0
7.25%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-15.94%,-15.94,1,1,6,-15.94,PROPN,NNP,ROOT,-dd.dd,0.0
-15.94%,%,1,1,1,%,NOUN,NN,intj,%,0.0
7.27%,7.27,1,1,4,7.27,NUM,CD,nummod,d.dd,0.0
7.27%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-4.19%,-4.19,1,1,5,-4.19,NUM,CD,ROOT,-d.dd,0.0
-4.19%,%,1,1,1,%,NOUN,NN,intj,%,0.0
24.87%,24.87,1,1,5,24.87,NUM,CD,nummod,dd.dd,0.0
24.87%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
73.34%,73.34,1,1,5,73.34,NUM,CD,nummod,dd.dd,0.0
73.34%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-26.51%,-26.51,1,1,6,-26.51,NUM,CD,ROOT,-dd.dd,0.0
-26.51%,%,1,1,1,%,NOUN,NN,intj,%,0.0
69.83%,69.83,1,1,5,69.83,NUM,CD,nummod,dd.dd,0.0
69.83%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
1.93%,1.93,1,1,4,1.93,NUM,CD,nummod,d.dd,0.0
1.93%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-5.24%,-5.24,1,1,5,-5.24,NUM,CD,nummod,-d.dd,0.0
-5.24%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-3.33%,-3.33,1,1,5,-3.33,NUM,CD,nummod,-d.dd,0.0
-3.33%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
0.12%,0.12,1,1,4,0.12,NUM,CD,nummod,d.dd,0.0
0.12%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-20.98%,-20.98,1,1,6,-20.98,PUNCT,-LRB-,ROOT,-dd.dd,0.0
-20.98%,%,1,1,1,%,INTJ,UH,intj,%,0.0
58.16%,58.16,1,1,5,58.16,NUM,CD,nummod,dd.dd,0.0
58.16%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
54.26%,54.26,1,1,5,54.26,NUM,CD,nummod,dd.dd,0.0
54.26%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
7.47%,7.47,1,1,4,7.47,NUM,CD,nummod,d.dd,0.0
7.47%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-4.69%,-4.69,1,2,5,-4.69,NUM,CD,nummod,-d.dd,0.0
-4.69%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
-14.97%,-14.97,1,1,6,-14.97,PUNCT,:,ROOT,-dd.dd,0.0
-14.97%,%,1,1,1,%,NOUN,NN,intj,%,0.0
