Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
800 208 9898,800,3,1,3,800,NUM,CD,compound,ddd,0.0
800 208 9898,208,3,1,3,208,NUM,CD,ROOT,ddd,0.0
800 208 9898,9898,3,1,4,9898,NUM,CD,appos,dddd,0.0
(617) 253-1000,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(617) 253-1000,617,2,1,3,617,NUM,CD,ROOT,ddd,0.0
(617) 253-1000,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(617) 253-1000,253,2,1,3,253,NUM,CD,nmod,ddd,0.0
(617) 253-1000,-,2,1,1,-,SYM,SYM,punct,-,0.0
(617) 253-1000,1000,2,1,4,1000,NUM,CD,prep,dddd,0.0
+1 202 280 2049,+1,4,1,2,+1,PROPN,NNP,ROOT,+d,0.0
+1 202 280 2049,202,4,1,3,202,NUM,CD,nummod,ddd,0.0
+1 202 280 2049,280,4,1,3,280,NUM,CD,compound,ddd,0.0
+1 202 280 2049,2049,4,1,4,2049,NUM,CD,npadvmod,dddd,0.0
552828095,552828095,1,1,9,552828095,NUM,CD,ROOT,dddd,0.0
(510) 642-6000,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(510) 642-6000,510,2,1,3,510,NUM,CD,ROOT,ddd,0.0
(510) 642-6000,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(510) 642-6000,642,2,1,3,642,NUM,CD,appos,ddd,0.0
(510) 642-6000,-,2,1,1,-,SYM,SYM,punct,-,0.0
(510) 642-6000,6000,2,1,4,6000,NUM,CD,prep,dddd,0.0
(617) 495-1000,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(617) 495-1000,617,2,1,3,617,NUM,CD,ROOT,ddd,0.0
(617) 495-1000,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(617) 495-1000,495,2,1,3,495,NUM,CD,appos,ddd,0.0
(617) 495-1000,-,2,1,1,-,SYM,SYM,punct,-,0.0
(617) 495-1000,1000,2,1,4,1000,NUM,CD,prep,dddd,0.0
224-456-8915,224,1,1,3,224,NUM,CD,ROOT,ddd,0.0
224-456-8915,-,1,1,1,-,SYM,SYM,punct,-,0.0
224-456-8915,456,1,1,3,456,NUM,CD,prep,ddd,0.0
224-456-8915,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
224-456-8915,8915,1,1,4,8915,NUM,CD,prep,dddd,0.0
(412) 268-2000,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(412) 268-2000,412,2,1,3,412,NUM,CD,ROOT,ddd,0.0
(412) 268-2000,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(412) 268-2000,268,2,1,3,268,NUM,CD,appos,ddd,0.0
(412) 268-2000,-,2,1,1,-,SYM,SYM,punct,-,0.0
(412) 268-2000,2000,2,1,4,2000,NUM,CD,prep,dddd,0.0
+91 80 4354 1999,+91,4,1,3,+91,PROPN,NNP,ROOT,+dd,0.0
+91 80 4354 1999,80,4,1,2,80,NUM,CD,nummod,dd,0.0
+91 80 4354 1999,4354,4,1,4,4354,NUM,CD,compound,dddd,0.0
+91 80 4354 1999,1999,4,1,4,1999,NUM,CD,nummod,dddd,0.0
(847) 491-3741,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(847) 491-3741,847,2,1,3,847,NUM,CD,nummod,ddd,0.0
(847) 491-3741,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(847) 491-3741,491,2,1,3,491,NUM,CD,ROOT,ddd,0.0
(847) 491-3741,-,2,1,1,-,SYM,SYM,punct,-,0.0
(847) 491-3741,3741,2,1,4,3741,NUM,CD,prep,dddd,0.0
813-974-1640,813,1,1,3,813,NUM,CD,ROOT,ddd,0.0
813-974-1640,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
813-974-1640,974,1,1,3,974,NUM,CD,prep,ddd,0.0
813-974-1640,1640,1,1,4,1640,NUM,CD,prep,dddd,0.0
203-432-4771,203,1,1,3,203,NUM,CD,ROOT,ddd,0.0
203-432-4771,-,1,1,1,-,SYM,SYM,punct,-,0.0
203-432-4771,432,1,1,3,432,NUM,CD,prep,ddd,0.0
203-432-4771,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
203-432-4771,4771,1,1,4,4771,NUM,CD,prep,dddd,0.0
(919) 684-2823,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(919) 684-2823,919,2,1,3,919,NUM,CD,ROOT,ddd,0.0
(919) 684-2823,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(919) 684-2823,684,2,1,3,684,NUM,CD,appos,ddd,0.0
(919) 684-2823,-,2,1,1,-,SYM,SYM,punct,-,0.0
(919) 684-2823,2823,2,1,4,2823,NUM,CD,prep,dddd,0.0
+1 929-376-0101,+1,2,1,2,+1,PROPN,NNP,ROOT,+d,0.0
+1 929-376-0101,929,2,1,3,929,NUM,CD,nummod,ddd,0.0
+1 929-376-0101,-,2,1,1,-,SYM,SYM,punct,-,0.0
+1 929-376-0101,376,2,1,3,376,NUM,CD,prep,ddd,0.0
+1 929-376-0101,-,2,1,1,-,PUNCT,HYPH,punct,-,0.0
+1 929-376-0101,0101,2,1,4,0101,NUM,CD,nummod,dddd,0.0
(917) 722-0237,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(917) 722-0237,917,2,1,3,917,NUM,CD,nummod,ddd,0.0
(917) 722-0237,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(917) 722-0237,722,2,1,3,722,NUM,CD,ROOT,ddd,0.0
(917) 722-0237,-,2,1,1,-,SYM,SYM,punct,-,0.0
(917) 722-0237,0237,2,1,4,0237,NUM,CD,prep,dddd,0.0
312.567.3000,312.567.3000,1,1,12,312.567.3000,NUM,CD,ROOT,ddd.ddd.dddd,0.0
502.852.4844,502.852.4844,1,1,12,502.852.4844,NUM,CD,ROOT,ddd.ddd.dddd,0.0
1(778)782-3111,1(778)782,1,1,9,1(778)782,PROPN,NNP,ROOT,d(ddd)ddd,0.0
1(778)782-3111,-,1,1,1,-,SYM,SYM,punct,-,0.0
1(778)782-3111,3111,1,1,4,3111,NUM,CD,prep,dddd,0.0
+1 310-825-4321,+1,2,1,2,+1,PROPN,NNP,ROOT,+d,0.0
+1 310-825-4321,310,2,1,3,310,NUM,CD,nummod,ddd,0.0
+1 310-825-4321,-,2,1,1,-,NUM,CD,punct,-,0.0
+1 310-825-4321,825,2,1,3,825,NUM,CD,prep,ddd,0.0
+1 310-825-4321,-,2,1,1,-,SYM,SYM,punct,-,0.0
+1 310-825-4321,4321,2,1,4,4321,NUM,CD,prep,dddd,0.0
404.894.2000,404.894.2000,1,1,12,404.894.2000,NUM,CD,ROOT,ddd.ddd.dddd,0.0
(626) 395-1860,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(626) 395-1860,626,2,1,3,626,NUM,CD,ROOT,ddd,0.0
(626) 395-1860,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(626) 395-1860,395,2,1,3,395,NUM,CD,appos,ddd,0.0
(626) 395-1860,-,2,1,1,-,SYM,SYM,punct,-,0.0
(626) 395-1860,1860,2,1,4,1860,NUM,CD,prep,dddd,0.0
+1 (415) 476-1537,+1,3,1,2,+1,PROPN,NNP,ROOT,+d,0.0
+1 (415) 476-1537,(,3,1,1,(,PUNCT,-LRB-,punct,(,0.0
+1 (415) 476-1537,415,3,1,3,415,NUM,CD,appos,ddd,0.0
+1 (415) 476-1537,),3,1,1,),PUNCT,-RRB-,punct,),0.0
+1 (415) 476-1537,476,3,1,3,476,NUM,CD,npadvmod,ddd,0.0
+1 (415) 476-1537,-,3,1,1,-,SYM,SYM,punct,-,0.0
+1 (415) 476-1537,1537,3,1,4,1537,NUM,CD,prep,dddd,0.0
(781) 235-1200,(,2,1,1,(,PUNCT,-LRB-,punct,(,0.0
(781) 235-1200,781,2,1,3,781,NUM,CD,ROOT,ddd,0.0
(781) 235-1200,),2,1,1,),PUNCT,-RRB-,punct,),0.0
(781) 235-1200,235,2,1,3,235,NUM,CD,appos,ddd,0.0
(781) 235-1200,-,2,1,1,-,SYM,SYM,punct,-,0.0
(781) 235-1200,1200,2,1,4,1200,NUM,CD,prep,dddd,0.0
401-863-7600,401,1,1,3,401,NUM,CD,ROOT,ddd,0.0
401-863-7600,-,1,1,1,-,NUM,CD,punct,-,0.0
401-863-7600,863,1,1,3,863,NUM,CD,prep,ddd,0.0
401-863-7600,-,1,1,1,-,PUNCT,HYPH,punct,-,0.0
401-863-7600,7600,1,1,4,7600,NUM,CD,prep,dddd,0.0
