Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
On Campus,[Campus],1,[],0,[],0
On Campus,[Campus],1,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online,[],0,[],0,[Online],1
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online,[],0,[],0,[Online],1
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
Online and On Campus,"[Online, Campus]",2,[],0,[],0
Online and On Campus,"[Online, Campus]",2,[],0,[],0
On Campus,[Campus],1,[],0,[],0
Online,[],0,[],0,[Online],1
On Campus,[Campus],1,[],0,[],0
