Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Tencent, Axis Bank, Flipkart, Walmart, Morgan Stanley",[Tencent],1,[],0,[],0
"Andreessen Horowitz, Alumni Ventures, Norte Ventures, Endeavor Catalyst, Canary",[],0,[],0,[],0
"Massachusetts Life Sciences Center, Massachusetts Clean Energy Center, U.S. Food and Drug Administration, Ludwig Cancer Research, Stephen Schwarzman",[],0,[],0,[],0
"International Finance Corporation, Learn Capital, New Markets Venture Partners, Global Ventures, Future Africa",[],0,[],0,[],0
"NASA, National Institutes of Health, Technion, National Science Foundation, US Department of Energy",[],0,[],0,[],0
"National Institutes of Health, Microsoft, Algorand Foundation, Open Philanthropy Project",[],0,[],0,[],0
"DARPA, Massachusetts Clean Energy Center, U.S. Food and Drug Administration, Hock Tan, Ludwig Cancer Research",[],0,[],0,[],0
"Bessemer Venture Partners, Moving Capital, Kleiner Perkins, SB Opportunity Fund, Owl Ventures",[],0,[],0,[],0
"Innovation Works, Algorand Foundation, National Science Foundation, Yahoo, Richard King Mellon Foundation",[Innovation],1,[],0,[],0
"Flipkart, Tiger Global Management, Accel, New Enterprise Associates, Kalaari Capital",[],0,[],0,[],0
"National Institutes of Health, National Cancer Institute, Maxim Ventures, United States Council for Automotive Research",[],0,[],0,[],0
"National Science Foundation, Florida Department of Education, National Institute on Aging, Reliance Medical Centers, National Institute of Diabetes and Digestive and Kidney Diseases",[],0,[],0,[],0
"Algorand Foundation, Andrew W. Mellon Foundation",[],0,[],0,[],0
"Carrick Capital Partners, The Duke Endowment",[],0,[],0,[],0
"Bpifrance, Salesforce Ventures, Alven, General Atlantic, Chan Zuckerberg Initiative",[],0,[],0,[],0
"Learn Capital, Initialized Capital, Wellington Management, Maveron, Bezos Expeditions",[],0,[],0,[],0
Natural Resources Canada,[],0,[],0,[],0
"US Department of Commerce, Economic Development Administation, National Institutes of Health, U.S. Department of Education, National Science Foundation, Centers for Disease Control and Prevention",[],0,[],0,[],0
"Government of Canada, Western Economic Diversification Canada, Government of British Columbia",[],0,[],0,[],0
"US Department of Commerce, Economic Development Administation, Hollywood Foreign Press Association, Andrew W. Mellon Foundation, Tadashi Yanai, Anthony and Jeanne Pritzker Family Foundation",[],0,[],0,[],0
The Marcus Foundation,[],0,[],0,[],0
"Stewart Resnick, Lynda Resnick",[],0,[],0,[],0
"National Institutes of Health, U.S. Department of Defense, Causes, U.S. Food and Drug Administration",[],0,[],0,[],0
"National Institutes of Health, The Arthur M. Blank Family Foundation",[],0,[],0,[],0
"National Institutes of Health, Pablo Legoretta, Almudena Legorreta, Department of Energy &amp; Environment",[Environment],1,[],0,[],0
"Elephant, Arthur Ventures",[],0,[],0,[],0
"Bossanova Investimentos, Endeavor Catalyst, All Iron Ventures, Brighteye Ventures, Lumos Capital Group",[],0,[],0,[],0
"National Institutes of Health, Knight Foundation",[],0,[],0,[],0
"Comcast, US Department of Commerce, Economic Development Administation, Florida Department of Education, Knight Foundation, American Rescue Plan",[],0,[],0,[],0
"National Institutes of Health, Health Resources and Services Administration, U.S. Department of Agriculture, Patient-Centered Outcomes Research Institute, National Cancer Institute",[],0,[Centered],1,[],0
"The Azrieli Foundation., The Israel Precision Medicine Partnership – IPMP",[],0,[],0,[],0
"National Institutes of Health, National Science Foundation, Lockheed Martin, National Institute of Allergy and Infectious Diseases, Abell Foundation",[],0,[],0,[Infectious],1
"Alzheimer's Foundation of America, FuzeHub, LifeSci NYC",[],0,[],0,[],0
"Alberta Innovates, Western Economic Diversification Canada",[],0,[],0,[],0
"Business Connexion, E Squared Investments",[],0,[],0,[],0
"US Department of Energy, Paul Allen, The Lawrence Ellison Foundation",[],0,[],0,[],0
"Mastercard, Abbott, PNC, TIAA, Jonathan Logan Family Foundation",[],0,[],0,[],0
"Ludwig Cancer Research, Pritzker Foundation",[],0,[],0,[],0
David Harding,[],0,[],0,[],0
Leeds Equity Partners,[],0,[Leeds],1,[],0
"National Science Foundation, U.S. Small Business Administration",[],0,[],0,[],0
"US Department of Energy, Patrick J. McGovern Foundation",[],0,[],0,[],0
"US Department of Commerce, Economic Development Administation, National Science Foundation, Laura and John Arnold Foundation",[],0,[],0,[],0
"CDC Group, CVC Capital Partners",[],0,[],0,[],0
"US Department of Energy, Scott Stuart, George F. Baker Trust, Berry Family Foundation, Allison Magnuson",[],0,[],0,[],0
"National Institutes of Health, US Department of Energy, National Cancer Institute, U.S. Department of Defense, National Institute on Drug Abuse (NIDA)",[],0,[],0,[],0
"US Department of Commerce, Economic Development Administation",[],0,[],0,[],0
"AcCELLerate ON, Heather Reisman, Gerald Schwartz",[],0,[AcCELLerate],1,[],0
"National Science Foundation, Keenan Family Foundation",[],0,[],0,[],0
