Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"$11,702,981,402.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$11,702,981,402.00 ","11,702,981,402.00",2,1,17,"11,702,981,402.00",NUM,CD,ROOT,"dd,ddd,ddd,ddd.dd",0.0
"$14,500,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$14,500,000.00 ","14,500,000.00",2,2,13,"14,500,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$26,100,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$26,100,000.00 ","26,100,000.00",2,1,13,"26,100,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,600,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,600,000.00 ","1,600,000.00",2,1,12,"1,600,000.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$34,700,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$34,700,000.00 ","34,700,000.00",2,1,13,"34,700,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$508,084,835.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$508,084,835.00 ","508,084,835.00",2,1,14,"508,084,835.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$18,700,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$18,700,000.00 ","18,700,000.00",2,1,13,"18,700,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$149,703,859.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$149,703,859.00 ","149,703,859.00",2,1,14,"149,703,859.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$123,500,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$123,500,000.00 ","123,500,000.00",2,1,14,"123,500,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$48,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$48,000,000.00 ","48,000,000.00",2,1,13,"48,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$27,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$27,000,000.00 ","27,000,000.00",2,1,13,"27,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$3,938,877.70 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$3,938,877.70 ","3,938,877.70",2,1,12,"3,938,877.70",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
"$17,530,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$17,530,000.00 ","17,530,000.00",2,1,13,"17,530,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$14,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$14,000,000.00 ","14,000,000.00",2,1,13,"14,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$65,000,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$65,000,000.00 ","65,000,000.00",2,1,13,"65,000,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$32,500,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$32,500,000.00 ","32,500,000.00",2,1,13,"32,500,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$6,709,999.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$6,709,999.00 ","6,709,999.00",2,1,12,"6,709,999.00",NUM,CD,ROOT,"d,ddd,ddd.dd",0.0
