Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
"$12,873,184,737.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$12,873,184,737.00 ","12,873,184,737.00",2,1,17,"12,873,184,737.00",NUM,CD,ROOT,"dd,ddd,ddd,ddd.dd",0.0
"$14,500,000.00 ",$,2,2,1,$,SYM,$,nmod,$,0.0
"$14,500,000.00 ","14,500,000.00",2,2,13,"14,500,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$1,095,955,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$1,095,955,000.00 ","1,095,955,000.00",2,1,16,"1,095,955,000.00",NUM,CD,ROOT,"d,ddd,ddd,ddd.dd",0.0
"$26,100,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$26,100,000.00 ","26,100,000.00",2,1,13,"26,100,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$197,350,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$197,350,000.00 ","197,350,000.00",2,1,14,"197,350,000.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$119,055,550.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$119,055,550.00 ","119,055,550.00",2,1,14,"119,055,550.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$125,329,910.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$125,329,910.00 ","125,329,910.00",2,1,14,"125,329,910.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$34,700,000.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$34,700,000.00 ","34,700,000.00",2,1,13,"34,700,000.00",NUM,CD,ROOT,"dd,ddd,ddd.dd",0.0
"$446,499,844.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
"$446,499,844.00 ","446,499,844.00",2,1,14,"446,499,844.00",NUM,CD,ROOT,"ddd,ddd,ddd.dd",0.0
"$515,771,218.00 ",$,2,1,1,$,SYM,$,nmod,$,0.0
