Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
4.61%,4.61,1,2,4,4.61,NUM,CD,nummod,d.dd,0.0
4.61%,%,1,2,1,%,NOUN,NN,ROOT,%,0.0
385.99%,385.99,1,1,6,385.99,NUM,CD,nummod,ddd.dd,0.0
385.99%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-84.13%,-84.13,1,1,6,-84.13,PUNCT,NFP,ROOT,-dd.dd,0.0
-84.13%,%,1,1,1,%,INTJ,UH,intj,%,0.0
6.12%,6.12,1,1,4,6.12,NUM,CD,nummod,d.dd,0.0
6.12%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-13.26%,-13.26,1,1,6,-13.26,ADJ,JJ,ROOT,-dd.dd,0.0
-13.26%,%,1,1,1,%,NOUN,NN,intj,%,0.0
40.23%,40.23,1,1,5,40.23,NUM,CD,nummod,dd.dd,0.0
40.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-78.26%,-78.26,1,1,6,-78.26,PUNCT,NFP,ROOT,-dd.dd,0.0
-78.26%,%,1,1,1,%,NOUN,NN,intj,%,0.0
-3.33%,-3.33,1,1,5,-3.33,NUM,CD,nummod,-d.dd,0.0
-3.33%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
7.40%,7.40,1,1,4,7.40,NUM,CD,nummod,d.dd,0.0
7.40%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-15.04%,-15.04,1,1,6,-15.04,NUM,CD,ROOT,-dd.dd,0.0
-15.04%,%,1,1,1,%,NOUN,NN,intj,%,0.0
9.52%,9.52,1,1,4,9.52,NUM,CD,nummod,d.dd,0.0
9.52%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
11.23%,11.23,1,1,5,11.23,NUM,CD,nummod,dd.dd,0.0
11.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
7.79%,7.79,1,1,4,7.79,NUM,CD,nummod,d.dd,0.0
7.79%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-22.02%,-22.02,1,1,6,-22.02,PUNCT,.,punct,-dd.dd,0.0
-22.02%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-6.13%,-6.13,1,1,5,-6.13,NUM,CD,ROOT,-d.dd,0.0
-6.13%,%,1,1,1,%,NOUN,NN,intj,%,0.0
14.13%,14.13,1,1,5,14.13,NUM,CD,nummod,dd.dd,0.0
14.13%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-5.70%,-5.70,1,1,5,-5.70,NUM,CD,nummod,-d.dd,0.0
-5.70%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
3.56%,3.56,1,1,4,3.56,NUM,CD,nummod,d.dd,0.0
3.56%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-4.82%,-4.82,1,1,5,-4.82,NUM,CD,nummod,-d.dd,0.0
-4.82%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
3.43%,3.43,1,1,4,3.43,NUM,CD,nummod,d.dd,0.0
3.43%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
21.81%,21.81,1,1,5,21.81,NUM,CD,nummod,dd.dd,0.0
21.81%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-1.61%,-1.61,1,1,5,-1.61,NUM,CD,nummod,-d.dd,0.0
-1.61%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
71.20%,71.20,1,1,5,71.20,NUM,CD,nummod,dd.dd,0.0
71.20%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-25.99%,-25.99,1,1,6,-25.99,PUNCT,NFP,ROOT,-dd.dd,0.0
-25.99%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-27.71%,-27.71,1,1,6,-27.71,PUNCT,.,ROOT,-dd.dd,0.0
-27.71%,%,1,1,1,%,NOUN,NN,intj,%,0.0
13.68%,13.68,1,1,5,13.68,NUM,CD,nummod,dd.dd,0.0
13.68%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
13.75%,13.75,1,1,5,13.75,NUM,CD,nummod,dd.dd,0.0
13.75%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
8.55%,8.55,1,1,4,8.55,NUM,CD,nummod,d.dd,0.0
8.55%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-21.22%,-21.22,1,1,6,-21.22,PUNCT,NFP,ROOT,-dd.dd,0.0
-21.22%,%,1,1,1,%,INTJ,UH,intj,%,0.0
-3.23%,-3.23,1,1,5,-3.23,NUM,CD,nummod,-d.dd,0.0
-3.23%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
53.18%,53.18,1,1,5,53.18,NUM,CD,nummod,dd.dd,0.0
53.18%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
50.70%,50.70,1,1,5,50.70,NUM,CD,nummod,dd.dd,0.0
50.70%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
-24.14%,-24.14,1,1,6,-24.14,PUNCT,NFP,ROOT,-dd.dd,0.0
-24.14%,%,1,1,1,%,NOUN,NN,intj,%,0.0
14.56%,14.56,1,1,5,14.56,NUM,CD,nummod,dd.dd,0.0
14.56%,%,1,1,1,%,NOUN,NN,ROOT,%,0.0
