Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
www.flipkart.com,www.flipkart.com,1,1,16,www.flipkart.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
latitud.com,latitud.com,1,1,11,latitud.com,X,ADD,ROOT,xxxx.xxx,0.0
web.mit.edu,web.mit.edu,1,1,11,web.mit.edu,X,ADD,ROOT,xxx.xxx.xxx,0.0
www.nexford.org,www.nexford.org,1,1,15,www.nexford.org,NOUN,NN,ROOT,xxx.xxxx.xxx,0.0
www.umich.edu/,www.umich.edu/,1,1,14,www.umich.edu/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
www.berkeley.edu/,www.berkeley.edu/,1,1,17,www.berkeley.edu/,VERB,VB,ROOT,xxx.xxxx.xxx/,0.0
harvard.edu,harvard.edu,1,1,11,harvard.edu,X,ADD,ROOT,xxxx.xxx,0.0
www.subject.com/,www.subject.com/,1,1,16,www.subject.com/,NOUN,NN,ROOT,xxx.xxxx.xxx/,0.0
www.cmu.edu,www.cmu.edu,1,1,11,www.cmu.edu,SPACE,_SP,ROOT,xxx.xxx.xxx,0.0
www.myntra.com,www.myntra.com,1,1,14,www.myntra.com,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.northwestern.edu/,www.northwestern.edu/,1,1,21,www.northwestern.edu/,SPACE,_SP,ROOT,xxx.xxxx.xxx/,0.0
www.usf.edu,www.usf.edu,1,1,11,www.usf.edu,PRON,PRP,ROOT,xxx.xxx.xxx,0.0
www.yale.edu/,www.yale.edu/,1,1,13,www.yale.edu/,X,FW,ROOT,xxx.xxxx.xxx/,0.0
www.duke.edu,www.duke.edu,1,1,12,www.duke.edu,X,ADD,ROOT,xxx.xxxx.xxx,0.0
openclassrooms.com/,openclassrooms.com/,1,1,19,openclassrooms.com/,VERB,VB,ROOT,xxxx.xxx/,0.0
generalassemb.ly/,generalassemb.ly/,1,1,17,generalassemb.ly/,NOUN,NN,ROOT,xxxx.xx/,0.0
www.usask.ca,www.usask.ca,1,1,12,www.usask.ca,ADV,RB,ROOT,xxx.xxxx.xx,0.0
www.iit.edu,www.iit.edu,1,1,11,www.iit.edu,X,XX,ROOT,xxx.xxx.xxx,0.0
louisville.edu/,louisville.edu/,1,1,15,louisville.edu/,NOUN,NNS,ROOT,xxxx.xxx/,0.0
www.sfu.ca/,www.sfu.ca/,1,1,11,www.sfu.ca/,PROPN,NNP,ROOT,xxx.xxx.xx/,0.0
www.ucla.edu/,www.ucla.edu/,1,1,13,www.ucla.edu/,SPACE,_SP,ROOT,xxx.xxxx.xxx/,0.0
create-x.gatech.edu/,create-x.gatech.edu/,1,1,20,create-x.gatech.edu/,NOUN,NN,ROOT,xxxx-x.xxxx.xxx/,0.0
www.caltech.edu,www.caltech.edu,1,1,15,www.caltech.edu,X,ADD,ROOT,xxx.xxxx.xxx,0.0
www.ucsf.edu,www.ucsf.edu,1,1,12,www.ucsf.edu,NOUN,NN,ROOT,xxx.xxxx.xxx,0.0
www.babson.edu,www.babson.edu,1,1,14,www.babson.edu,NOUN,NN,ROOT,xxx.xxxx.xxx,0.0
www.brown.edu/,www.brown.edu/,1,1,14,www.brown.edu/,SPACE,_SP,ROOT,xxx.xxxx.xxx/,0.0
