Transaction Name,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industry,Diversity Spotlight (US Only),Organization Website,Organization Location,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Rounds)
Convertible Note - Animoca Brands,Animoca Brands,Convertible Note,"$1,000.0",2022-09-08,,"$5,790,000,000.0",No,Animoca Brands is driving digital property rights via NFTs and gaming to help build the open metaverse.,"Apps, Blockchain, Casual Games, Developer Platform, Video Games",,www.animocabrands.com,"Cyberport, Hong Kong Island, Hong Kong, Asia",$500M to $1B,"$314,132,076.0",IPO,22,"Boyu Capital, GGV Capital, Temasek Holdings","Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",5,,1
Series B - Bitwarden,Bitwarden,Series B,"$100,000,000.0",2022-09-06,Early Stage Venture,,Yes,"Bitwarden provides an open-source password management solutions for individuals, teams, and business organizations.","Cyber Security, Enterprise Software, Identity Management, Privacy, Software",,bitwarden.com,"Santa Barbara, California, United States, North America",,"$100,000,000.0",Early Stage Venture,2,PSG,"Battery Ventures, PSG",2,,2
Venture Round - 21.co,21.co,Venture - Series Unknown,"$25,000,000.0",2022-09-06,,"$1,975,000,000.0",Yes,21.co is the world’s leader in providing access to crypto through simple and easy to use products. Parent company of 21Shares &amp; Amun.,,,21.co,"Zurich, Zurich, Switzerland, Europe",,"$35,000,000.0",,3,Marshall Wace,"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",5,,3
Series B - Mysten Labs,Mysten Labs,Series B,"$300,000,000.0",2022-09-08,Early Stage Venture,"$1,700,000,000.0",Yes,"Mysten Labs develops tools that make web3 secure, reliable, and ready for mass adoption.","Blockchain, Cryptocurrency, Internet, Software, Web Apps",,mystenlabs.com,"San Francisco, California, United States, North America",,"$336,000,000.0",Early Stage Venture,3,FTX Ventures,"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",14,,4
Debt Financing - Animoca Brands,Animoca Brands,Debt Financing,"$5,000.0",2022-09-08,,,No,Animoca Brands is driving digital property rights via NFTs and gaming to help build the open metaverse.,"Apps, Blockchain, Casual Games, Developer Platform, Video Games",,www.animocabrands.com,"Cyberport, Hong Kong Island, Hong Kong, Asia",$500M to $1B,"$314,132,076.0",IPO,22,,"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",5,,5
Series A - thirdweb,thirdweb,Series A,"$24,000,000.0",2022-08-25,Early Stage Venture,"$136,000,000.0",Yes,"Build web3 apps, easily. NFTs, marketplaces, DAOs and more. Powerful SDKs for developers. Deploy custom or pre-built smart contracts.","Blockchain, Marketplace, Software, Web Apps",,thirdweb.com,"San Francisco, California, United States, North America",,"$29,000,000.0",Early Stage Venture,2,Haun Ventures,"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",7,,6
Series A - GroMo,GroMo,Series A,"$11,000,000.0",2022-09-06,Early Stage Venture,,Yes,"GroMo is a FinTech marketplace helping users sell financial products such as loans, insurance, and investments.","Financial Services, FinTech, Insurance, InsurTech",,gromo.in/,"Gurgaon, Haryana, India, Asia",$1M to $10M,"$11,575,261.0",Early Stage Venture,3,SIG China (SIG Asia Investments),"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",16,,7
Series C - Alloy,Alloy,Series C,"$52,000,000.0",2022-09-01,Late Stage Venture,"$1,498,000,000.0",Yes,Alloy is a developer of an identity verification platform used to detect fraud and make identity management effective and simple for banks.,"Compliance, FinTech, Fraud Detection, Identity Management, SaaS",Women Founded,www.alloy.com,"New York, New York, United States, North America",$1M to $10M,"$207,800,000.0",Late Stage Venture,8,"Avenir Growth Capital, Lightspeed Venture Partners","Avenir Growth Capital, Avid Ventures, Bessemer Venture Partners, Canapi Ventures, Felicis Ventures, Lightspeed Venture Partners",6,,8
Series B - Cashflo,Cashflo,Series B,"$8,764,568.4",2022-09-06,Early Stage Venture,,Yes,Cashflo is a finance startup that offers finance automation tools for corporates and SMEs.,"Finance, Financial Services, Small and Medium Businesses, Supply Chain Management",,www.cashflo.io,"Mumbai, Maharashtra, India, Asia",,"$12,064,725.0",Early Stage Venture,2,General Catalyst,"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",10,,9
Seed Round - ZippMat,ZippMat,Seed,"$10,000,000.0",2022-09-08,Seed,,Yes,ZippMat is a SCaaS enterprise that provides a one-stop solution for all supply chain management needs of construction companies.,"Construction, Productivity Tools, SaaS, Supply Chain Management",,zippmat.com,"Bengaluru, Karnataka, India, Asia",,"$10,000,000.0",Seed,3,Matrix Partners India,"Matrix Partners India, Zephyr Peacock India",2,,10
