Hub Name,Number of Organizations,Number of People,Number of Events,CB Rank (Hub),Description,Last Updated,Hub Type,Parent Organization,Disverity Spotlight (US Only),Industries,Industry Groups,Location,Location Type,Closed Year,Founded Year,Funding Status,Investment Stage,Investor Type,Number of Employees,Estimated Revenue Range,Number of Investors,Number of Lead Investors,Average Founded Date,Number of Non-Profit Companies,Number of For-Profit Companies,Percentage Non-Profit,Percentage Public Organizations,Number of IPOs,Average IPO Date,Percentage Delisted,Top Funding Types,Number of Funding Rounds,Median Number of Funding Rounds,Total Funding Amount,Median Total Funding Amount,Total Equity Funding Amount,Average Last Funding Date,Total Amount Raised in IPO,Median Amount Raised in IPO,Total IPO Valuation,Median IPO Valuation,Percentage Acquired,Number of Acquired Organizations,Number of Acquisitions,Total Acquired Price,Median Acquired Price,Top Investor Types,Number of Portfolio Companies,Number of Investments,Median Number of Investments,Number of Lead Investors.1,Median Number of Lead Investors,Number of Exits,Median Number of Exits,Number of Funds,Total Fund Raised,Number of Founders,Number of Founder Alumni,Number of Alumni,Average Rank,Average Trend Score (7D),Average Trend Score (30D),Average Trend Score (90D)
United States Companies With More Than $1M in Revenue (Top 10K),"9,990",985,"6,228",1,"The top 10,000 companies and startups in United States with more than $1m in revenue, by Crunchbase rank.",2022-09-15 10:13:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$1M to $10M,"83,537","23,925",2007-11-10,43,"9,674",0%,16%,"1,782",2011-10-02,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Post-IPO Equity,&nbsp;Series C","45,886",4,"$2,082,447,955,344.0","$45,524,052.0","$1,319,646,826,323.0",2007-11-10,"$365,726,240,329.0","$136,023,142.0","$2,295,023,637,189.0","$850,843,302.0",19%,"2,120","17,272","$1,160,783,736,672.0","$500,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Investment Bank","53,532","76,504",3,"22,046",2,"14,218",2,"1,489","$1,614,996,184,787.0","21,272",631,"1,229","14,393.31",1.02,1.02,1.58
Companies With More Than $1M in Revenue (Top 10K),"9,789",976,"10,000",2,"The top 10,000 companies and startups with more than $1m in revenue, by Crunchbase rank.",2022-09-15 09:34:00,"Active, Company, Revenue Range",,,,,,,,,,,,,$1M to $10M,"87,426","26,850",2006-08-16,36,"9,496",0%,21%,"2,401",2012-02-25,1%,"Venture - Series Unknown,&nbsp;Series B,&nbsp;Series A,&nbsp;Post-IPO Equity,&nbsp;Series C","46,680",4,"$3,107,158,980,864.0","$68,102,407.0","$1,987,215,829,894.0",2006-08-16,"$482,379,234,826.0","$150,000,000.0","$3,177,217,369,611.0","$1,064,746,367.0",18%,"2,005","21,075","$1,347,289,940,145.0","$577,821,428.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","56,082","77,163",3,"23,875",2,"13,327",2,"1,542","$1,713,130,783,513.0","21,290",630,"1,229","8,957.35",1.23,1.23,1.91
Companies With More Than 10 Employees (Top 10K),"9,826",992,"10,000",3,"The top 10,000 companies and startups with more than 10 employees, by Crunchbase rank.",2022-09-15 10:21:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"96,246","28,455",2009-05-24,31,"9,404",0%,16%,"1,789",2012-04-25,1%,"Series B,&nbsp;Series A,&nbsp;Venture - Series Unknown,&nbsp;Series C,&nbsp;Post-IPO Equity","45,218",4,"$3,017,953,813,842.0","$65,064,008.0","$1,982,983,324,421.0",2009-05-24,"$414,091,036,581.0","$175,876,821.0","$2,950,223,418,895.0","$1,208,750,000.0",11%,"1,253","17,959","$1,063,535,912,173.0","$675,981,540.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Micro VC","53,190","72,716",3,"23,151",3,"11,232",2,"1,473","$1,481,115,899,233.0","22,102","1,297","2,593","5,418.2",1.69,1.69,2.65
United States Companies With More Than 10 Employees (Top 10K),"9,634",965,"6,697",4,"The top 10,000 companies and startups in United States with more than 10 employees, by Crunchbase rank.",2022-09-15 10:08:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"89,669","24,473",2009-09-02,23,"9,246",0%,15%,"1,638",2011-10-21,1%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Series C,&nbsp;Post-IPO Equity","43,393",4,"$2,166,727,791,711.0","$51,350,188.0","$1,382,091,589,831.0",2009-09-02,"$363,958,137,151.0","$150,300,000.0","$2,279,813,622,754.0","$890,127,437.0",14%,"1,589","15,920","$1,068,760,233,105.0","$650,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Investment Bank,&nbsp;Accelerator,&nbsp;Micro VC","43,123","61,053",3,"18,534",2,"10,903",2,"1,250","$1,502,130,076,219.0","20,972","1,293","2,587","9,338.72",1.21,1.21,1.98
United States Companies With Less Than $1B in Revenue (Top 10K),"9,946","1,003","6,476",5,"The top 10,000 companies and startups in United States with less than $1b in revenue, by Crunchbase rank.",2022-09-15 09:20:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$500M to $1B,"86,257","24,328",2010-02-22,31,"9,639",0%,14%,"1,564",2014-02-24,1%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C,&nbsp;Post-IPO Equity","46,484",4,"$1,411,854,689,686.0","$43,122,801.0","$1,069,926,010,251.0",2010-02-22,"$232,986,768,394.0","$124,600,000.0","$1,521,587,752,117.0","$713,311,000.0",18%,"2,037","9,862","$811,230,686,702.0","$436,500,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","46,376","66,506",2,"17,705",2,"11,033",2,"1,250","$802,605,052,270.0","21,461","1,859","3,717","13,523.08",1.02,1.02,1.63
United States Companies With Less Than $500M in Revenue (Top 10K),"9,732",988,"6,346",6,"The top 10,000 companies and startups in United States with less than $500m in revenue, by Crunchbase rank.",2022-09-15 09:43:00,"Active, Company, Location, Revenue Range",,,,,"United States, North America",Country,,,,,,,$100M to $500M,"84,910","23,899",2010-08-29,30,"9,438",0%,13%,"1,426",2014-09-05,1%,"Venture - Series Unknown,&nbsp;Series A,&nbsp;Series B,&nbsp;Series C,&nbsp;Seed","45,604",4,"$1,266,590,105,662.0","$41,942,687.0","$991,512,180,747.0",2010-08-29,"$192,391,338,521.0","$119,500,000.0","$1,246,389,188,140.0","$669,071,041.0",18%,"1,944","8,253","$716,385,878,168.0","$400,928,571.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Incubator","45,158","65,102",2,"17,181",2,"10,677",2,"1,149","$594,154,177,246.0","21,087","1,858","3,713","13,593.29",1.02,1.02,1.63
Private United States Companies (Top 10K),"9,791",997,"7,514",7,"The top 10,000 private companies and startups in United States, by Crunchbase rank.",2022-09-15 10:56:00,"Active, Company, Location",,,,,"United States, North America",Country,,,,,,,,"90,482","23,599",2013-03-13,31,"9,150",0%,,0,,,"Series A,&nbsp;Venture - Series Unknown,&nbsp;Series B,&nbsp;Seed,&nbsp;Series C","40,280",4,"$998,156,889,630.0","$33,365,672.0","$833,405,952,289.0",2013-03-13,,,,,13%,"1,381","6,112","$335,020,323,605.0","$413,833,333.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Accelerator,&nbsp;Micro VC,&nbsp;Corporate Venture Capital","43,612","62,505",4,"17,411",5,"9,309",4,"1,161","$978,291,341,242.0","21,470","2,910","6,126","10,276.65",1.32,1.32,2.18
United States Companies (Top 10K),"9,933",989,"7,776",8,"The top 10,000 companies and startups in United States, by Crunchbase rank.",2022-09-15 10:05:00,"Active, Company, Location",,,,,"United States, North America",Country,,,,,,,,"93,382","24,760",2010-06-27,26,"9,365",0%,14%,"1,571",2012-01-20,1%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Series C","43,543",4,"$2,137,311,654,462.0","$47,061,602.0","$1,363,674,624,428.0",2010-06-27,"$358,731,053,206.0","$151,140,624.0","$2,244,900,196,962.0","$887,316,000.0",13%,"1,470","14,873","$999,865,334,105.0","$707,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Investment Bank","46,226","65,145",3,"19,175",2,"11,066",2,"1,321","$1,502,636,479,446.0","21,489","2,929","6,155","8,670.5",1.37,1.37,2.25
United States Companies With Fewer Than 1000 Employees (Top 10K),"9,850",980,"7,070",9,"The top 10,000 companies and startups in United States with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:58:00,"Active, Company, Employee Range, Location",,,,,"United States, North America",Country,,,,,,,,"91,810","24,321",2013-03-30,16,"9,345",0%,10%,"1,067",2015-10-24,0%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Seed,&nbsp;Series C","43,060",4,"$1,080,923,910,783.0","$39,467,500.0","$876,898,334,327.0",2013-03-30,"$137,662,792,544.0","$120,000,000.0","$768,986,552,322.0","$615,305,116.0",12%,"1,334","6,329","$452,550,246,136.0","$437,500,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Venture Debt","35,637","52,424",3,"14,886",3,"8,521",3,"1,139","$1,044,058,419,332.0","21,606",8,15,"9,831.09",1.28,1.28,2.15
Companies With Fewer Than 1000 Employees (Top 10K),"9,245",974,"10,000",10,"The top 10,000 companies and startups with fewer than 1000 employees, by Crunchbase rank.",2022-09-15 12:09:00,"Active, Company, Employee Range",,,,,,,,,,,,,,"92,544","26,224",2013-10-04,29,"8,754",0%,9%,910,2016-08-31,0%,"Series A,&nbsp;Series B,&nbsp;Venture - Series Unknown,&nbsp;Series C,&nbsp;Seed","41,558",4,"$1,185,398,595,850.0","$49,566,521.0","$963,031,240,672.0",2013-10-04,"$132,411,111,913.0","$132,284,462.0","$813,422,922,995.0","$802,021,666.0",9%,956,"6,500","$361,098,555,356.0","$400,000,000.0","Venture Capital,&nbsp;Private Equity Firm,&nbsp;Micro VC,&nbsp;Accelerator,&nbsp;Venture Debt","39,924","56,948",3,"16,396",3,"7,179",2,"1,252","$921,131,866,596.0","21,119",10,17,"5,650.33",1.82,1.82,2.91
