Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
For Profit,2,2,2,2,2,2
