Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
Asia-Pacific (APAC),6,6,6,6,6,6
"Greater Boston Area, East Coast, New England",9,9,9,9,9,9
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
"Greater Boston Area, East Coast, New England",9,9,9,9,9,9
"Greater New York Area, East Coast, Northeastern US",10,10,10,10,10,10
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
Asia-Pacific (APAC),6,6,6,6,6,6
Asia-Pacific (APAC),6,6,6,6,6,6
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
"Greater Denver Area, Western US",6,6,6,6,6,6
"Greater New York Area, East Coast, Northeastern US",10,10,10,10,10,10
Asia-Pacific (APAC),6,6,6,6,6,6
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
Asia-Pacific (APAC),6,6,6,6,6,6
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
European Union (EU),5,5,5,5,5,5
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
"Great Lakes, Midwestern US",5,5,5,5,5,5
"Greater Los Angeles Area, West Coast, Western US",10,10,10,10,10,10
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
"Greater Los Angeles Area, West Coast, Western US",10,10,10,10,10,10
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
"Greater New York Area, East Coast, Northeastern US",10,10,10,10,10,10
"Greater Phoenix Area, Western US",6,6,6,6,6,6
"Greater Philadelphia Area, East Coast, Southern US",9,9,9,9,9,9
"Greater New York Area, East Coast, Northeastern US",10,10,10,10,10,10
"Asia-Pacific (APAC), Australasia",8,8,8,8,8,8
"San Francisco Bay Area, Silicon Valley, West Coast",10,10,10,10,10,10
Asia-Pacific (APAC),6,6,6,6,6,6
"Great Lakes, Midwestern US",5,5,5,5,5,5
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
"Greater New York Area, East Coast, Northeastern US",10,10,10,10,10,10
"Greater Los Angeles Area, West Coast, Western US",10,10,10,10,10,10
"San Francisco Bay Area, West Coast, Western US",10,10,10,10,10,10
"Greater New York Area, East Coast, Northeastern US",10,10,10,10,10,10
"Greater Los Angeles Area, West Coast, Western US",10,10,10,10,10,10
"Greater Boston Area, East Coast, New England",9,9,9,9,9,9
"West Coast, Western US",5,5,5,5,5,5
"East Coast, Southern US",5,5,5,5,5,5
Asia-Pacific (APAC),6,6,6,6,6,6
