Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Collaboration, Enterprise Software, Information Technology, Search Engine",10,10,10,10,10,10
"Blockchain, Cryptocurrency, Internet, Software, Web Apps",10,10,10,10,10,10
"Artificial Intelligence, GPU, Hardware, Software, Virtual Reality",11,11,11,11,11,11
"Artificial Intelligence, Augmented Reality, Social Media, Social Network, Virtual Reality",14,14,14,14,14,14
"Artificial Intelligence, Information Technology, Product Design, Software",10,10,10,10,10,10
"Advertising, Internet, Online Games, Online Portals, Social Media Marketing",13,13,13,13,13,13
"Enterprise Software, Marketing, Marketing Automation, SaaS, Sales Automation, Software",14,14,14,14,14,14
"Consumer Electronics, Hardware, Mobile Devices, Operating Systems, Wearables",12,12,12,12,12,12
"Crowdfunding, Finance, Financial Services, Funding Platform, Venture Capital",12,12,12,12,12,12
"Blockchain, Cryptocurrency, FinTech",5,5,5,5,5,5
"Compliance, FinTech, Fraud Detection, Identity Management, SaaS",11,11,11,11,11,11
"Bitcoin, Blockchain, Cryptocurrency, FinTech, Trading Platform",10,10,10,10,10,10
"Angel Investment, Crowdfunding, FinTech, Funding Platform, Venture Capital",12,12,12,12,12,12
"Consumer Electronics, Gaming, iOS, Product Design, Software",11,11,11,11,11,11
"Finance, Financial Services, FinTech, Venture Capital",9,9,9,9,9,9
"Consumer Goods, Grocery, Retail",6,6,6,6,6,6
"Consumer, Consumer Electronics, Consumer Software, Information Technology",10,10,10,10,10,10
"Apps, Blockchain, Casual Games, Developer Platform, Video Games",12,12,12,12,12,12
"Artificial Intelligence, Augmented Reality, Developer Platform, Mobile Apps, Virtual Reality",14,14,14,14,14,14
"Finance, Financial Services, Venture Capital",7,7,7,7,7,7
"Ediscovery, Events, Search Engine, Sports, Ticketing",10,10,10,10,10,10
"Mobile, Public Relations, Telecommunications",6,6,6,6,6,6
"Clean Energy, CleanTech, Electrical Distribution, Energy Management, Renewable Energy",13,13,13,13,13,13
"Gaming, Media and Entertainment, Social Media, Video, Video Games, Video Streaming",16,16,16,16,16,16
"Chemical, Energy, Oil and Gas, Retail, Textiles",11,11,11,11,11,11
"Bitcoin, Blockchain, Cryptocurrency, Finance, FinTech",9,9,9,9,9,9
"Augmented Reality, B2B, Cyber Security, FinTech, SaaS, Sustainability, Virtual Reality",16,16,16,16,16,16
"Artificial Intelligence, Gaming, Machine Learning, Virtual Reality",10,10,10,10,10,10
"Biotechnology, Health Care, Hospital, Medical, Non Profit, Wellness",13,13,13,13,13,13
"Advanced Materials, Aerospace, Manufacturing, Space Travel, Transportation",11,11,11,11,11,11
"Apps, Mobile Apps, Ride Sharing, Software, Transportation",11,11,11,11,11,11
"Consumer Electronics, Security, Smart Home",7,7,7,7,7,7
"Analytics, Mobile Apps, SaaS, Web Apps",9,9,9,9,9,9
"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical",9,9,9,9,9,9
"B2B, E-Commerce, FinTech, Marketplace",9,9,9,9,9,9
"Biotechnology, Health Care, Medical, Pharmaceutical",8,8,8,8,8,8
"Automotive, Autonomous Vehicles, E-Commerce",8,8,8,8,8,8
"Cryptocurrency, Financial Services, FinTech, Information Technology",9,9,9,9,9,9
"Apps, Location Based Services, Media and Entertainment, Subscription Service",12,12,12,12,12,12
"Collaboration, Enterprise Software, SaaS, Software",8,8,8,8,8,8
"Android, Messaging, Mobile, Subscription Service",8,8,8,8,8,8
"Banking, Finance, Financial Services, Venture Capital",9,9,9,9,9,9
"Hospitality, Property Management, Real Estate, SaaS, Smart Building, Smart Home, Software",17,17,17,17,17,17
"Health Care, Information Technology, Medical",7,7,7,7,7,7
"B2B, Financial Services, FinTech, Mobile Payments, Payments, SaaS",13,13,13,13,13,13
"Child Care, Information Services, Information Technology",8,8,8,8,8,8
"Analytics, Enterprise Software, Security, Web Hosting",9,9,9,9,9,9
"Cryptocurrency, Finance, Financial Services, FinTech",8,8,8,8,8,8
"Enterprise, Financial Services, Information Technology, Venture Capital",10,10,10,10,10,10
"Consumer Electronics, GreenTech, Hardware, Internet of Things, Smart Home, Software, Speech Recognition",18,18,18,18,18,18
"Cyber Security, Enterprise Software, Identity Management, Privacy, Software",12,12,12,12,12,12
"Banking, Financial Services, Information Technology, Payments",9,9,9,9,9,9
"E-Learning, EdTech, Education, Tutoring",9,9,9,9,9,9
"Artificial Intelligence, Cloud Security, Cyber Security, Risk Management",11,11,11,11,11,11
"3D Technology, Gaming, Online Games, Software, Video Games",12,12,12,12,12,12
"Electric Vehicle, Ride Sharing, Sharing Economy, Transportation",10,10,10,10,10,10
"Information Services, Journalism, Media and Entertainment, Public Relations, SaaS, Software",15,15,15,15,15,15
"Energy, Energy Efficiency, GreenTech, Renewable Energy",9,9,9,9,9,9
"Blockchain, Consumer Lending, Cryptocurrency, Financial Services, FinTech",11,11,11,11,11,11
"Bitcoin, Communications Infrastructure, Hardware, Media and Entertainment",10,10,10,10,10,10
"Cyber Security, Insurance, InsurTech",6,6,6,6,6,6
"App Marketing, Mobile Advertising, Mobile Apps, Software",10,10,10,10,10,10
"Business Development, Financial Services, Venture Capital",8,8,8,8,8,8
"Artificial Intelligence, Crowdsourcing, Cyber Security, Network Security, SaaS",12,12,12,12,12,12
"Financial Services, FinTech, Insurance, InsurTech",8,8,8,8,8,8
"Banking, Credit Cards, Financial Services, Wealth Management",10,10,10,10,10,10
"Artificial Intelligence, Call Center, Customer Service, Enterprise Software, Machine Learning, Software",16,16,16,16,16,16
"Biotechnology, Finance, Venture Capital",6,6,6,6,6,6
"Analytics, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Productivity Tools, SaaS",16,16,16,16,16,16
"3D Printing, Industrial Engineering, Manufacturing, Mechanical Engineering",10,10,10,10,10,10
"Information Technology, Internet, Network Security, Privacy, Software",11,11,11,11,11,11
"Cloud Computing, Developer Tools, Internet, Project Management, Software",12,12,12,12,12,12
"Computer, Consumer Electronics, Hardware, IT Infrastructure, Software",11,11,11,11,11,11
