Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
www.google.com/,1,1,1,1,1,1
mystenlabs.com,1,1,1,1,1,1
www.nvidia.com,1,1,1,1,1,1
meta.com,1,1,1,1,1,1
www.intel.com/,1,1,1,1,1,1
www.tencent.com/en-us,1,1,1,1,1,1
www.drift.com,1,1,1,1,1,1
www.apple.com,1,1,1,1,1,1
www.seedrs.com,1,1,1,1,1,1
www.algorand.com/,1,1,1,1,1,1
www.alloy.com,1,1,1,1,1,1
www.coinbase.com,1,1,1,1,1,1
www.ourcrowd.com,1,1,1,1,1,1
www.razer.com,1,1,1,1,1,1
www.joinef.com,1,1,1,1,1,1
relianceretail.com/,1,1,1,1,1,1
nothing.tech/,1,1,1,1,1,1
www.animocabrands.com,1,1,1,1,1,1
unity.com/,1,1,1,1,1,1
www.techstars.com,1,1,1,1,1,1
seatgeek.com,1,1,1,1,1,1
www.airtel.in,1,1,1,1,1,1
www.lunarenergy.com,1,1,1,1,1,1
www.twitch.tv,1,1,1,1,1,1
www.ril.com,1,1,1,1,1,1
www.blockchaincapital.com,1,1,1,1,1,1
www.startupwiseguys.com,1,1,1,1,1,1
inworld.ai,1,1,1,1,1,1
www.mayoclinic.org,1,1,1,1,1,1
www.spacex.com,1,1,1,1,1,1
lyft.com,1,1,1,1,1,1
ring.com/,1,1,1,1,1,1
www.mixpanel.com,1,1,1,1,1,1
www.roche.com/,1,1,1,1,1,1
www.capiter.net/,1,1,1,1,1,1
www.bms.com,1,1,1,1,1,1
www.carvana.com/,1,1,1,1,1,1
www.investvoyager.com,1,1,1,1,1,1
www.moviepass.com/,1,1,1,1,1,1
www.atlassian.com/,1,1,1,1,1,1
www.whatsapp.com,1,1,1,1,1,1
www.cicc.com/index_en.xhtml,1,1,1,1,1,1
www.smartz.cloud/,1,1,1,1,1,1
www.onemedical.com,1,1,1,1,1,1
www.meshpayments.com,1,1,1,1,1,1
www.kinside.com/,1,1,1,1,1,1
www.cloudflare.com,1,1,1,1,1,1
gemini.com,1,1,1,1,1,1
www.expertdojo.com,1,1,1,1,1,1
sense.com/,1,1,1,1,1,1
bitwarden.com,1,1,1,1,1,1
www.fisglobal.com,1,1,1,1,1,1
www.pw.live,1,1,1,1,1,1
cyble.com,1,1,1,1,1,1
corp.roblox.com,1,1,1,1,1,1
www.yulu.bike,1,1,1,1,1,1
muckrack.com,1,1,1,1,1,1
octopus.energy/,1,1,1,1,1,1
celsius.network,1,1,1,1,1,1
bitcoin.team,1,1,1,1,1,1
www.at-bay.com/,1,1,1,1,1,1
branch.io,1,1,1,1,1,1
ipventures.in/,1,1,1,1,1,1
www.crowdstrike.com,1,1,1,1,1,1
gromo.in/,1,1,1,1,1,1
www.citigroup.com,1,1,1,1,1,1
www.polyai.com,1,1,1,1,1,1
www.indiebio.co,1,1,1,1,1,1
www.datadoghq.com,1,1,1,1,1,1
carbon3d.com,1,1,1,1,1,1
protocol.ai/,1,1,1,1,1,1
github.com,1,1,1,1,1,1
www.hp.com,1,1,1,1,1,1
www.zynga.com,1,1,1,1,1,1
readyplayer.me,1,1,1,1,1,1
www.siemens.com,1,1,1,1,1,1
www.grubmarket.com,1,1,1,1,1,1
www.getsquire.com,1,1,1,1,1,1
gothamgreens.com/,1,1,1,1,1,1
www.medtronic.com/,1,1,1,1,1,1
corporate.comcast.com,1,1,1,1,1,1
www.helium.com,1,1,1,1,1,1
taranis.ag,1,1,1,1,1,1
www.ubisoft.com,1,1,1,1,1,1
stripe.com,1,1,1,1,1,1
www.bostonscientific.com,1,1,1,1,1,1
getstake.com/,1,1,1,1,1,1
sunstone.edu.in,1,1,1,1,1,1
blinkit.com,1,1,1,1,1,1
www.openai.com/,1,1,1,1,1,1
www.novartis.com,1,1,1,1,1,1
onesignal.com,1,1,1,1,1,1
www.zipmex.com,1,1,1,1,1,1
www.earlysalary.com/,1,1,1,1,1,1
www.boopos.com/,1,1,1,1,1,1
www.wayfair.com,1,1,1,1,1,1
yuga.com,1,1,1,1,1,1
www.atompower.com,1,1,1,1,1,1
thirdweb.com,1,1,1,1,1,1
helloalma.com,1,1,1,1,1,1
fairmarkit.com/,1,1,1,1,1,1
www.moltenventures.com,1,1,1,1,1,1
www.bankofamerica.com,1,1,1,1,1,1
www.nokia.com,1,1,1,1,1,1
www.twilio.com,1,1,1,1,1,1
www.jio.com,1,1,1,1,1,1
mensabrands.com/,1,1,1,1,1,1
www.atob.com,1,1,1,1,1,1
www.hellofresh.com/,1,1,1,1,1,1
www.phonepe.com,1,1,1,1,1,1
www.tesla.com,1,1,1,1,1,1
coindcx.com,1,1,1,1,1,1
www.carbyne.com,1,1,1,1,1,1
www.exponent.energy/,1,1,1,1,1,1
www.cymulate.com,1,1,1,1,1,1
www.fnz.com,1,1,1,1,1,1
duckduckgo.com,1,1,1,1,1,1
www.riotgames.com,1,1,1,1,1,1
www.flow.life,1,1,1,1,1,1
www.drivenets.com/,1,1,1,1,1,1
www.helix.com,1,1,1,1,1,1
www.honehq.com,1,1,1,1,1,1
www.graas.ai/,1,1,1,1,1,1
in.sugarcosmetics.com,1,1,1,1,1,1
www.kucoin.com/,1,1,1,1,1,1
www.sunrun.com/,1,1,1,1,1,1
www.nio.com/,1,1,1,1,1,1
www.bt.com/,1,1,1,1,1,1
