Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
Google is a multinational corporation that specializes in Internet-related services and products.,15,15,15,15,15,15
"Mysten Labs develops tools that make web3 secure, reliable, and ready for mass adoption.",17,17,17,17,17,17
"NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",18,18,18,18,18,18
"Meta is a social technology company that enables people to connect, find communities, and grow businesses.",19,19,19,19,19,19
"Intel designs, manufactures, and sells integrated digital technology platforms worldwide.",13,13,13,13,13,13
"Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services.",21,21,21,21,21,21
Drift is a Revenue Acceleration platform that uses Conversational Marketing and Conversational Sales to help companies grow revenue.,19,19,19,19,19,19
"Apple is a multinational corporation that designs, manufactures, and markets consumer electronics, personal computers, and software.",21,21,21,21,21,21
Seedrs is a UK-based investment and crowdfunding platform.,11,11,11,11,11,11
"Algorand is a scalable, secure and decentralized digital currency and transactions platform.",14,14,14,14,14,14
Alloy is a developer of an identity verification platform used to detect fraud and make identity management effective and simple for banks.,23,23,23,23,23,23
"Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency.",19,19,19,19,19,19
OurCrowd is a venture investing platform that enables institutions and individuals to invest and engage in emerging companies.,19,19,19,19,19,19
"Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",18,18,18,18,18,18
Entrepreneur First brings ambitious founders together to build globally important technology companies.,13,13,13,13,13,13
"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",20,20,20,20,20,20
Nothing is a consumer tech company that develops a digital technology to connect products and services.,17,17,17,17,17,17
Animoca Brands is driving digital property rights via NFTs and gaming to help build the open metaverse.,18,18,18,18,18,18
Unity provides multiplatform tools and services to developers of interactive content.,12,12,12,12,12,12
Techstars is a global platform that provides investment and innovation.,11,11,11,11,11,11
SeatGeek operates a mobile-focused ticket platform and search engine that lets fans buy and sell tickets for events.,21,21,21,21,21,21
"Airtel is a global telecommunications company that provides mobile, voice, and data solutions.",16,16,16,16,16,16
Lunar Energy builds clean energy products to deliver home electrification at scale.,13,13,13,13,13,13
"Twitch is a social video platform where gamers can broadcast, watch, and talk about video games.",19,19,19,19,19,19
"Reliance Industries is engaged in the energy, petrochemical, retail, and textile businesses.",16,16,16,16,16,16
Blockchain Capital is a venture capital firm investing in Blockchain-enabled technology companies.,15,15,15,15,15,15
Startup Wise Guys is a B2B startup accelerator.,9,9,9,9,9,9
"Inworld AI is a creative platform for AI-driven virtual characters, immersive realities, and metaverse spaces.",20,20,20,20,20,20
"MayoClinic is a nonprofit medical practice and medical research group focused on integrated health care, education, and research.",21,21,21,21,21,21
SpaceX is an aviation and aerospace company that focuses on reducing costs associated with space travel.,17,17,17,17,17,17
"Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides.",19,19,19,19,19,19
Ring is an outdoor home security that provides homeowners a line of preventative security doorbells and cameras.,18,18,18,18,18,18
Mixpanel is an analytics platform that helps companies measure data and build better products through data.,17,17,17,17,17,17
Roche is a pharmaceutical and diagnostics company that focuses on improving people’s lives.,15,15,15,15,15,15
Capiter is a B2B marketplace that provides a payment method that offers cash flow solutions for small to medium-sized businesses.,23,23,23,23,23,23
"Bristol Myers Squibb engages in the discovery, development, licensing, manufacturing, marketing, distribution, and sale of pharmaceuticals.",23,23,23,23,23,23
Carvana is an e-commerce platform for buying and selling used cars.,14,14,14,14,14,14
Voyager offers a secure way to invest in cryptocurrencies and altcoins using its mobile application.,16,16,16,16,16,16
MoviePass employs location-based technologies to allow individuals to watch movies at local theaters for a fixed monthly price.,21,21,21,21,21,21
"Atlassian provides collaboration, development, and issue tracking software for teams.",13,13,13,13,13,13
"WhatsApp is a proprietary, cross-platform, free instant messaging subscription service for smartphones.",17,17,17,17,17,17
"CICC, a joint venture investment bank, provides investment banking, capital market, individual sales, and trading services to its clients.",25,25,25,25,25,25
Simplifying Property Management.,4,4,4,4,4,4
One Medical is a members-only technology platform offering an array of concierge medical services.,17,17,17,17,17,17
