Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
Women Founded,2,2,2,2,2,2
Women Led,2,2,2,2,2,2
Black / African American Founded,5,5,5,5,5,5
Black / African American Founded,5,5,5,5,5,5
"East Asian Founded, East Asian Led",7,7,7,7,7,7
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",15,15,15,15,15,15
Women Founded,2,2,2,2,2,2
Women Founded,2,2,2,2,2,2
Women Led,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
Women Founded,2,2,2,2,2,2
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded",12,12,12,12,12,12
"Women Founded, Women Led",5,5,5,5,5,5
"Women Founded, Women Led",5,5,5,5,5,5
Women Led,2,2,2,2,2,2
"Black / African American Founded, Women Founded",8,8,8,8,8,8
"Black / African American Founded, Women Founded",8,8,8,8,8,8
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
Women Founded,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
"South Asian Founded, Southeast Asian Led",7,7,7,7,7,7
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
"Black / African American Founded, Women Led",8,8,8,8,8,8
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",15,15,15,15,15,15
Women Founded,2,2,2,2,2,2
Women Led,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Black / African American Founded, Black / African American Led, Hispanic / Latine Founded, Hispanic / Latine Led",21,21,21,21,21,21
Women Founded,2,2,2,2,2,2
"Hispanic / Latine Founded, South Asian Led",8,8,8,8,8,8
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
"Women Founded, Women Led",5,5,5,5,5,5
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Black / African American Founded, Hispanic / Latine Founded",10,10,10,10,10,10
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"South Asian Founded, South Asian Led",7,7,7,7,7,7
"Hispanic / Latine Founded, Women Founded",7,7,7,7,7,7
Women Founded,2,2,2,2,2,2
"Women Founded, Women Led",5,5,5,5,5,5
"Women Founded, Women Led",5,5,5,5,5,5
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
"Women Founded, Women Led",5,5,5,5,5,5
"Women Founded, Women Led",5,5,5,5,5,5
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
"Women Founded, Women Led",5,5,5,5,5,5
Women Founded,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
Black / African American Founded,5,5,5,5,5,5
"Women Founded, Women Led",5,5,5,5,5,5
Women Founded,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
"Hispanic / Latine Founded, Hispanic / Latine Led, Middle Eastern / North African Founded, Middle Eastern / North African Led, Women Founded, Women Led",29,29,29,29,29,29
"Southeast Asian Founded, Women Founded, Women Led",9,9,9,9,9,9
Women Founded,2,2,2,2,2,2
Women Founded,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
Women Founded,2,2,2,2,2,2
Women Led,2,2,2,2,2,2
Women Founded,2,2,2,2,2,2
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",15,15,15,15,15,15
"East Asian Led, South Asian Founded, South Asian Led",11,11,11,11,11,11
"Women Founded, Women Led",5,5,5,5,5,5
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
Black / African American Led,5,5,5,5,5,5
Women Founded,2,2,2,2,2,2
Women Founded,2,2,2,2,2,2
Women Founded,2,2,2,2,2,2
"Black / African American Founded, Women Founded",8,8,8,8,8,8
"Women Founded, Women Led",5,5,5,5,5,5
"Black / African American Founded, Southeast Asian Founded",9,9,9,9,9,9
"Women Founded, Women Led",5,5,5,5,5,5
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
Women Founded,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
Women Founded,2,2,2,2,2,2
East Asian Founded,3,3,3,3,3,3
Women Founded,2,2,2,2,2,2
Women Led,2,2,2,2,2,2
Women Led,2,2,2,2,2,2
"East Asian Led, Women Founded, Women Led",9,9,9,9,9,9
"Hispanic / Latine Founded, Women Founded",7,7,7,7,7,7
Women Founded,2,2,2,2,2,2
Women Founded,2,2,2,2,2,2
"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",15,15,15,15,15,15
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
"Black / African American Founded, Black / African American Led, Women Founded",14,14,14,14,14,14
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
Women Led,2,2,2,2,2,2
Black / African American Founded,5,5,5,5,5,5
Women Founded,2,2,2,2,2,2
"Black / African American Led, Women Founded",8,8,8,8,8,8
"Women Founded, Women Led",5,5,5,5,5,5
Women Led,2,2,2,2,2,2
Women Led,2,2,2,2,2,2
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
Women Founded,2,2,2,2,2,2
Hispanic / Latine Founded,4,4,4,4,4,4
East Asian Led,3,3,3,3,3,3
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"East Asian Founded, East Asian Led, Native Hawaiian / Pacific Islander Led, Southeast Asian Led",18,18,18,18,18,18
"Women Founded, Women Led",5,5,5,5,5,5
"Women Founded, Women Led",5,5,5,5,5,5
"South Asian Founded, South Asian Led",7,7,7,7,7,7
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
"Women Founded, Women Led",5,5,5,5,5,5
Hispanic / Latine Founded,4,4,4,4,4,4
"East Asian Founded, East Asian Led, Women Founded",10,10,10,10,10,10
Black / African American Led,5,5,5,5,5,5
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
Women Founded,2,2,2,2,2,2
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
"Hispanic / Latine Founded, Hispanic / Latine Led, Southeast Asian Led, Women Founded, Women Led",19,19,19,19,19,19
"Black / African American Founded, Black / African American Led, Women Founded, Women Led",17,17,17,17,17,17
"Women Founded, Women Led",5,5,5,5,5,5
"Women Founded, Women Led",5,5,5,5,5,5
Hispanic / Latine Founded,4,4,4,4,4,4
"Hispanic / Latine Founded, Hispanic / Latine Led",9,9,9,9,9,9
Women Founded,2,2,2,2,2,2
"Women Founded, Women Led",5,5,5,5,5,5
"Black / African American Founded, Black / African American Led",11,11,11,11,11,11
Women Founded,2,2,2,2,2,2
