Text,Lemma,PoS,Tag,Dep,Shape,Sentiment
"['10000000000', 'inf']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['50000000', '100000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
['Less than 1000000'],7,7,7,7,7,7
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
['Less than 1000000'],7,7,7,7,7,7
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['50000000', '100000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
['Less than 1000000'],7,7,7,7,7,7
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['50000000', '100000000']",9,9,9,9,9,9
['Less than 1000000'],7,7,7,7,7,7
"['500000000', '1000000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
['Less than 1000000'],7,7,7,7,7,7
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['50000000', '100000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['50000000', '100000000']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
['Less than 1000000'],7,7,7,7,7,7
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000000', 'inf']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['50000000', '100000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['50000000', '100000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['10000000', '50000000']",9,9,9,9,9,9
"['500000000', '1000000000']",9,9,9,9,9,9
"['1000000000', '10000000000']",9,9,9,9,9,9
"['1000000', '10000000']",9,9,9,9,9,9
['Less than 1000000'],7,7,7,7,7,7
"['50000000', '100000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
"['100000000', '500000000']",9,9,9,9,9,9
